property_id,address,sqft,asking_annual_rent,rent_per_sqft,distance_from_market_st_miles,zoning,parking,condition,available_date,notes
Z-9001,88 East 18th St Paterson NJ,6200,124000,20.00,0.8,Auto Services,8 spaces shared lot,Good - recent paint,2027-02-01,Former tire shop closed in October; turnkey
Z-9002,142 Pennington Ave Paterson NJ,5800,116000,20.00,1.2,Light Industrial,Owned lot 14 spaces,Fair - paint booth needs replacing,2027-03-15,Larger than needed but ventilation already in
Z-9003,204 Crooks Ave Paterson NJ,7400,138900,18.77,1.5,Auto Services,Owned lot 18 spaces,Good,2027-01-15,Closest match on rent per sqft; bigger bay
Z-9004,28 Broadway Paterson NJ (cross-street from current Broadway shop),5200,99840,19.20,2.1,Auto Services,Shared lot 6 spaces,Excellent - just renovated,2027-04-01,Closest match on size; but moves us further from Market St core
Z-9005,156 East 17th St Paterson NJ,5600,106400,19.00,0.9,Auto Services,Owned 10 spaces,Fair - older lift posts,2027-02-15,Mechanical shop closing; some equipment could transfer
Z-9006,77 Park Ave Paterson NJ,6800,129200,19.00,1.0,Auto Services,12 spaces,Good - just resealed floor,2027-03-01,Direct comp to Market St; same corridor
Z-9007,98 East 22nd St Paterson NJ,5400,108000,20.00,1.4,Auto Services,9 spaces,Fair,2027-02-01,Smaller bay but priced low
Z-9008,178 Crooks Ave Paterson NJ,4800,96000,20.00,1.6,Auto Services,Owned lot 7 spaces,Good,2027-01-01,Smallest of the watchlist; backup option

# Notes (Tony's read, October 29, 2026)
# Z-9001 and Z-9006 are the strongest direct comps (Auto Services zoning,
#   similar sqft, similar corridor, available before lease expiration).
# Z-9002 is bigger than we need but the existing ventilation saves $30-40K
#   in conversion costs.
# Z-9003 is the cheapest per sqft but requires a Crooks Ave move which we
#   discussed last year and decided against.
# Z-9004 puts Market Street operations 2 miles from current; lose
#   walk-in traffic.
# Default move cost estimate: $25-40K (relocation only, equipment migration excluded).
#
# Floor (do not pay above this): $19.20/sqft on corridor comparable size.
# Ceiling (walk threshold): $24/sqft and we go to Z-9003 or Z-9006.
