iata_code,name,city_name,city_code,country_name,country_code,latitude,longitude,timezone
JFK,John F Kennedy International Airport,New York,NYC,United States,US,40.6413,-73.7781,America/New_York
EWR,Newark Liberty International Airport,Newark,NYC,United States,US,40.6895,-74.1745,America/New_York
LGA,LaGuardia Airport,New York,NYC,United States,US,40.7772,-73.8726,America/New_York
BOS,Logan International Airport,Boston,BOS,United States,US,42.3656,-71.0096,America/New_York
ICN,Incheon International Airport,Seoul,SEL,South Korea,KR,37.4602,126.4407,Asia/Seoul
GMP,Gimpo International Airport,Seoul,SEL,South Korea,KR,37.5583,126.7906,Asia/Seoul
NRT,Narita International Airport,Tokyo,TYO,Japan,JP,35.7647,140.3864,Asia/Tokyo
HND,Haneda Airport,Tokyo,TYO,Japan,JP,35.5494,139.7798,Asia/Tokyo
LAX,Los Angeles International Airport,Los Angeles,LAX,United States,US,33.9416,-118.4085,America/Los_Angeles
SFO,San Francisco International Airport,San Francisco,SFO,United States,US,37.6213,-122.3790,America/Los_Angeles
