date,title,explanation,url,hdurl,media_type,copyright
2026-10-04,VIIRS NDVI 8-day composite NDVI 0.21 (Sparse / stressed grass cover),"NDVI 0.21 is well below the 5-year October mean of 0.36 for this section. North pasture imagery shows a fading green band along the playa lake edge but the rest of the section reads brown to amber. South pasture is the worst on the place. Home pasture shows the watering-tank halo holding green but limited extent. | note=None | nbhd_ndvi=0.19 || {""meta"":[{""key"":""service"",""value"":""NASA Worldview (MODIS/VIIRS NDVI overlay + US Drought Monitor mirror)""},{""key"":""snapshot_taken_at"",""value"":""2026-10-06T10:00:00-05:00""}],""subject_property"":[{""field"":""label"",""value"":""Whitmore 160 \u2014 7820 County Road 28, Briscoe TX 79011""},{""field"":""centroid_lat"",""value"":35.5781},{""field"":""centroid_lon"",""value"":-100.2942},{""field"":""approx_acres"",""value"":160}],""pasture_subdivisions"":[{""label"":""North pasture"",""approx_acres"":68,""fencing_status"":""good""},{""label"":""South pasture"",""approx_acres"":52,""fencing_status"":""three sections breached at coyote-incursion point, June 29""},{""label"":""Home pasture (calving traps + holding)"",""approx_acres"":28,""fencing_status"":""good""},{""label"":""House lot + headquarters + working pens"",""approx_acres"":12,""fencing_status"":""good""}],""drought_monitor"":[{""field"":""as_of"",""value"":""2026-10-02""},{""field"":""wheeler_county"",""value"":""D2 \u2014 Severe Drought (trending toward D3)""},{""field"":""donley_county"",""value"":""D2 \u2014 Severe Drought""},{""field"":""hall_county"",""value"":""D3 \u2014 Extreme Drought""},{""field"":""armstrong_county"",""value"":""D2 \u2014 Severe Drought""},{""field"":""note"",""value"":""Briscoe lies near the Wheeler/Donley border. Conditions are consistent with D2 verging D3 on the property.""}],""agronomy_read"":[{""field"":""estimated_carrying_capacity_aum_per_acre"",""value"":0.4},{""field"":""five_year_normal_aum_per_acre"",""value"":0.7},{""field"":""implied_winter_carrying_capacity_head_at_3_ml_pasture_subdivisions"",""value"":""Approximately 55-65 mature head can be carried on standing forage through December without supplemental hay. 79 cows plus 5 bulls plus any held-back heifers exceeds standing capacity. Supplemental hay required from late October through spring green-up at higher-than-normal levels.""}],""hay_demand"":[{""field"":""round_bales_required_estimate"",""value"":78},{""field"":""method"",""value"":""Mature stock 84 head, 9 held-back heifers, plus weaned calves held back for delayed feeder sale if any, at 1.8% body weight per day in dry matter, 165 days, adjusted for utility loss and standing forage offset.""},{""field"":""implied_hay_cost_at_78_per_bale"",""value"":6084},{""field"":""implied_hay_cost_at_82_per_bale_freeze_case"",""value"":6396},{""field"":""implied_hay_cost_at_75_per_bale_current_supplier_rate"",""value"":5850},{""field"":""note_versus_recurring_template"",""value"":""The recurring 'Feed and Ranch Supplies' template at $850/mo would budget $5,100 across the same 165 days. The drought-driven hay-only cost above is already at or near that figure, and the cubes/mineral/salt run separately on top, supporting the conclusion that the May-Sep $1,200/mo actual carries forward.""}]}",https://apod.nasa.gov/img/20261004.jpg,https://apod.nasa.gov/img/20261004_hd.jpg,image,NASA
2026-09-26,Sentinel-2 / NDVI NDVI 0.23 (None),None | note=Slight decline since September (was 0.27 mid-September). Trend negative through the dry stretch. | nbhd_ndvi=None,https://apod.nasa.gov/img/20260926.jpg,https://apod.nasa.gov/img/20260926_hd.jpg,image,NASA
2026-09-26a,MODIS NDVI 16-day composite NDVI 0.25 (Sparse / stressed grass cover),Historical read at NDVI 0.25. Sparse / stressed grass cover across the section. | note=None | nbhd_ndvi=0.24,https://apod.nasa.gov/img/20260926a.jpg,https://apod.nasa.gov/img/20260926a_hd.jpg,image,NASA
2026-09-18,Sentinel-2 / NDVI NDVI 0.52 (Healthy cover),Historical read at NDVI 0.52. Healthy cover across the section. | note=None | nbhd_ndvi=0.51,https://apod.nasa.gov/img/20260918.jpg,https://apod.nasa.gov/img/20260918_hd.jpg,image,NASA
2026-09-10,MODIS NDVI 16-day composite NDVI 0.45 (Healthy cover),Historical read at NDVI 0.45. Healthy cover across the section. | note=None | nbhd_ndvi=0.45,https://apod.nasa.gov/img/20260910.jpg,https://apod.nasa.gov/img/20260910_hd.jpg,image,NASA
2026-09-02,MODIS NDVI 16-day composite NDVI 0.46 (Healthy cover),Historical read at NDVI 0.46. Healthy cover across the section. | note=None | nbhd_ndvi=0.47,https://apod.nasa.gov/img/20260902.jpg,https://apod.nasa.gov/img/20260902_hd.jpg,image,NASA
2026-08-25,Sentinel-2 / NDVI NDVI 0.3 (Moderate cover),Historical read at NDVI 0.3. Moderate cover across the section. | note=None | nbhd_ndvi=0.31,https://apod.nasa.gov/img/20260825.jpg,https://apod.nasa.gov/img/20260825_hd.jpg,image,NASA
2026-08-17,MODIS NDVI 16-day composite NDVI 0.51 (Healthy cover),Historical read at NDVI 0.51. Healthy cover across the section. | note=None | nbhd_ndvi=0.55,https://apod.nasa.gov/img/20260817.jpg,https://apod.nasa.gov/img/20260817_hd.jpg,image,NASA
2026-08-09,MODIS NDVI 16-day composite NDVI 0.31 (Moderate cover),Historical read at NDVI 0.31. Moderate cover across the section. | note=None | nbhd_ndvi=0.3,https://apod.nasa.gov/img/20260809.jpg,https://apod.nasa.gov/img/20260809_hd.jpg,image,NASA
2026-08-01,Sentinel-2 / NDVI NDVI 0.2 (Sparse / stressed grass cover),Historical read at NDVI 0.2. Sparse / stressed grass cover across the section. | note=None | nbhd_ndvi=0.19,https://apod.nasa.gov/img/20260801.jpg,https://apod.nasa.gov/img/20260801_hd.jpg,image,NASA
2026-07-24,Sentinel-2 / NDVI NDVI 0.51 (Healthy cover),Historical read at NDVI 0.51. Healthy cover across the section. | note=None | nbhd_ndvi=0.49,https://apod.nasa.gov/img/20260724.jpg,https://apod.nasa.gov/img/20260724_hd.jpg,image,NASA
2026-07-16,VIIRS NDVI 8-day composite NDVI 0.47 (Healthy cover),Historical read at NDVI 0.47. Healthy cover across the section. | note=None | nbhd_ndvi=0.45,https://apod.nasa.gov/img/20260716.jpg,https://apod.nasa.gov/img/20260716_hd.jpg,image,NASA
2026-07-08,Sentinel-2 / NDVI NDVI 0.3 (Moderate cover),Historical read at NDVI 0.3. Moderate cover across the section. | note=None | nbhd_ndvi=0.28,https://apod.nasa.gov/img/20260708.jpg,https://apod.nasa.gov/img/20260708_hd.jpg,image,NASA
