id,created_at,updated_at,published_version,title,description,file_url,content_type,file_name,size
asset-hero-01,2026-08-15T10:00:00.000Z,2026-09-30T16:00:00.000Z,1,Hero image Station 1,Hero image for Station 1,https://assets.cornerstone-museum.example/hero/station-01.jpg,image/jpeg,station-01-hero.jpg,452000
asset-audio-01,2026-08-15T10:00:00.000Z,2026-09-30T16:00:00.000Z,1,Audio clip Station 1,Audio clip for Station 1,https://assets.cornerstone-museum.example/audio/station-01.mp3,audio/mpeg,station-01-primary-clip.mp3,2840000
asset-hero-02,2026-08-15T10:00:00.000Z,2026-09-30T16:00:00.000Z,1,Hero image Station 2,Hero image for Station 2,https://assets.cornerstone-museum.example/hero/station-02.jpg,image/jpeg,station-02-hero.jpg,452000
asset-audio-02,2026-08-15T10:00:00.000Z,2026-09-30T16:00:00.000Z,1,Audio clip Station 2,Audio clip for Station 2,https://assets.cornerstone-museum.example/audio/station-02.mp3,audio/mpeg,station-02-primary-clip.mp3,2840000
asset-hero-03,2026-08-15T10:00:00.000Z,2026-09-30T16:00:00.000Z,1,Hero image Station 3,Hero image for Station 3,https://assets.cornerstone-museum.example/hero/station-03.jpg,image/jpeg,station-03-hero.jpg,452000
asset-audio-03,2026-08-15T10:00:00.000Z,2026-09-30T16:00:00.000Z,1,Audio clip Station 3,Audio clip for Station 3,https://assets.cornerstone-museum.example/audio/station-03.mp3,audio/mpeg,station-03-primary-clip.mp3,2840000
asset-hero-04,2026-08-15T10:00:00.000Z,2026-09-30T16:00:00.000Z,1,Hero image Station 4,Hero image for Station 4,https://assets.cornerstone-museum.example/hero/station-04.jpg,image/jpeg,station-04-hero.jpg,452000
asset-audio-04,2026-08-15T10:00:00.000Z,2026-09-30T16:00:00.000Z,1,Audio clip Station 4,Audio clip for Station 4,https://assets.cornerstone-museum.example/audio/station-04.mp3,audio/mpeg,station-04-primary-clip.mp3,2840000
asset-hero-05,2026-08-15T10:00:00.000Z,2026-09-30T16:00:00.000Z,1,Hero image Station 5,Hero image for Station 5,https://assets.cornerstone-museum.example/hero/station-05.jpg,image/jpeg,station-05-hero.jpg,452000
asset-audio-05,2026-08-15T10:00:00.000Z,2026-09-30T16:00:00.000Z,1,Audio clip Station 5,Audio clip for Station 5,https://assets.cornerstone-museum.example/audio/station-05.mp3,audio/mpeg,station-05-primary-clip.mp3,2840000
asset-hero-06,2026-08-15T10:00:00.000Z,2026-09-30T16:00:00.000Z,1,Hero image Station 6,Hero image for Station 6,https://assets.cornerstone-museum.example/hero/station-06.jpg,image/jpeg,station-06-hero.jpg,452000
asset-audio-06,2026-08-15T10:00:00.000Z,2026-09-30T16:00:00.000Z,1,Audio clip Station 6,Audio clip for Station 6,https://assets.cornerstone-museum.example/audio/station-06.mp3,audio/mpeg,station-06-primary-clip.mp3,2840000
asset-hero-07,2026-08-15T10:00:00.000Z,2026-09-30T16:00:00.000Z,1,Hero image Station 7,Hero image for Station 7,https://assets.cornerstone-museum.example/hero/station-07.jpg,image/jpeg,station-07-hero.jpg,452000
asset-audio-07,2026-08-15T10:00:00.000Z,2026-09-30T16:00:00.000Z,1,Audio clip Station 7,Audio clip for Station 7,https://assets.cornerstone-museum.example/audio/station-07.mp3,audio/mpeg,station-07-primary-clip.mp3,2840000
asset-press-walkthrough-photos,2026-10-01T20:00:00.000Z,2026-10-01T22:00:00.000Z,1,Press walkthrough photo pack,Photo pack from the press walkthrough on Oct 1.,https://assets.cornerstone-museum.example/press/walkthrough-oct-1.zip,application/zip,press-walkthrough-oct-1.zip,18400000
