id,account_id,type,status,amount,currency,native_amount,native_currency,description,created_at
cb_tx_0001,cb_acc_02,sell,completed,28.99000000,USDC,307.87,SEK,Study wallet sell (synthetic),2026-10-17T12:00:00Z
cb_tx_0002,cb_acc_03,send,completed,9.00000000,USDC,95.58,SEK,Study wallet send (synthetic),2026-07-09T04:00:00Z
cb_tx_0003,cb_acc_04,receive,completed,0.01664385,BTC,11153.49,SEK,Study wallet receive (synthetic),2026-09-20T06:00:00Z
cb_tx_0004,cb_acc_01,staking_reward,completed,38.84000000,USDC,412.48,SEK,Study wallet staking_reward (synthetic),2026-07-05T21:00:00Z
cb_tx_0005,cb_acc_02,buy,completed,41.51000000,USDC,440.84,SEK,Study wallet buy (synthetic),2026-10-01T22:00:00Z
cb_tx_0006,cb_acc_03,sell,completed,37.41000000,USDC,397.29,SEK,Study wallet sell (synthetic),2026-10-13T17:00:00Z
cb_tx_0007,cb_acc_04,send,completed,0.01089980,ETH,394.19,SEK,Study wallet send (synthetic),2026-07-23T06:00:00Z
cb_tx_0008,cb_acc_01,receive,completed,0.01033965,SOL,16.59,SEK,Study wallet receive (synthetic),2026-06-29T13:00:00Z
cb_tx_0009,cb_acc_02,staking_reward,completed,0.00980708,SOL,15.26,SEK,Study wallet staking_reward (synthetic),2026-09-16T16:00:00Z
cb_tx_0010,cb_acc_03,buy,completed,0.01487789,ETH,531.15,SEK,Study wallet buy (synthetic),2026-06-25T12:00:00Z
cb_tx_0011,cb_acc_04,sell,completed,0.01111467,BTC,7783.09,SEK,Study wallet sell (synthetic),2026-06-02T05:00:00Z
cb_tx_0012,cb_acc_01,send,completed,0.01817508,BTC,12945.57,SEK,Study wallet send (synthetic),2026-10-15T04:00:00Z
cb_tx_0013,cb_acc_02,receive,completed,0.01599118,ETH,601.13,SEK,Study wallet receive (synthetic),2026-06-01T22:00:00Z
cb_tx_0014,cb_acc_03,staking_reward,completed,18.18000000,USDC,193.07,SEK,Study wallet staking_reward (synthetic),2026-06-27T10:00:00Z
cb_tx_0015,cb_acc_04,buy,completed,0.01033269,BTC,7665.46,SEK,Study wallet buy (synthetic),2026-08-29T00:00:00Z
cb_tx_0016,cb_acc_01,sell,completed,0.00641353,BTC,4736.17,SEK,Study wallet sell (synthetic),2026-09-30T15:00:00Z
cb_tx_0017,cb_acc_02,send,completed,0.01349194,BTC,10136.07,SEK,Study wallet send (synthetic),2026-05-12T20:00:00Z
cb_tx_0018,cb_acc_03,receive,completed,0.00302384,SOL,5.29,SEK,Study wallet receive (synthetic),2026-05-27T12:00:00Z
cb_tx_0019,cb_acc_04,staking_reward,completed,0.00788470,SOL,13.55,SEK,Study wallet staking_reward (synthetic),2026-07-16T05:00:00Z
cb_tx_0020,cb_acc_01,buy,completed,0.01230771,BTC,9492.78,SEK,Study wallet buy (synthetic),2026-09-11T08:00:00Z
cb_tx_0021,cb_acc_02,sell,completed,0.01665800,SOL,27.01,SEK,Study wallet sell (synthetic),2026-06-09T17:00:00Z
cb_tx_0022,cb_acc_03,send,completed,0.00122193,SOL,2.02,SEK,Study wallet send (synthetic),2026-09-20T18:00:00Z
cb_tx_0023,cb_acc_04,receive,completed,0.01195196,ETH,457.78,SEK,Study wallet receive (synthetic),2026-06-27T06:00:00Z
cb_tx_0024,cb_acc_01,staking_reward,completed,51.93000000,USDC,551.50,SEK,Study wallet staking_reward (synthetic),2026-05-19T09:00:00Z
cb_tx_0025,cb_acc_02,buy,completed,0.01008631,SOL,16.02,SEK,Study wallet buy (synthetic),2026-06-12T19:00:00Z
cb_tx_0026,cb_acc_03,sell,completed,0.00229702,SOL,3.77,SEK,Study wallet sell (synthetic),2026-08-10T00:00:00Z
cb_tx_0027,cb_acc_04,send,completed,9.21000000,USDC,97.81,SEK,Study wallet send (synthetic),2026-07-04T00:00:00Z
