No	Activity Title	Primary Target	Age Range	Key Materials	Status	Draft Date
1	Kinetic Sand Letter Hunt	Tactile discrimination	3 to 5	kinetic sand, letter tiles	Drafted	2025-09-14
2	Therapy Putty Coin Dig	Hand strength	4 to 7	therapy putty, coins	Drafted	2025-09-18
3	Playdough Pinch Pots	Pincer grasp	3 to 6	playdough, beads	Drafted	2025-09-22
4	Watercolor Wrist Warmups	Wrist mobility	5 to 9	watercolor paper, brushes	Drafted	2025-09-29
5	Rice Bin Treasure Sort	Tactile tolerance	2 to 5	rice, small toys, scoops	Drafted	2025-10-03
6	Vertical Easel Painting	Shoulder stability	4 to 8	easel, washable paint	Drafted	2025-10-09
7	Clothespin Color Match	Pincer strength	3 to 6	clothespins, color cards	Drafted	2025-10-15
8	Obstacle Crawl Course	Proprioception	3 to 7	cushions, tunnel, mat	Drafted	2025-10-20
9	Spray Bottle Window Art	Hand strength	4 to 8	spray bottles, washable paint	Drafted	2025-10-27
10	Bean Bag Body Map	Body awareness	3 to 6	bean bags, floor map	Drafted	2025-11-02
11	Tweezer Pom Transfer	Fine motor precision	4 to 7	tweezers, pom poms	Drafted	2025-11-08
12	Scissor Snip Garden	Scissor skills	4 to 8	paper strips, safety scissors	Drafted	2025-11-13
13	Weighted Lap Story Time	Calming input	2 to 6	weighted lap pad, books	Drafted	2025-11-19
14	Texture Path Walk	Tactile tolerance	2 to 5	texture tiles	Drafted	2025-11-25
15	Mirror Face Painting	Midline crossing	4 to 8	mirror, face paint	Drafted	2025-12-01
16	Cotton Ball Blow Race	Oral motor	3 to 6	cotton balls, straws	Drafted	2025-12-07
17	Sticker Peel Challenge	Pincer grasp	3 to 5	stickers, paper	Drafted	2025-12-12
18	Balloon Volley Sit	Core stability	4 to 8	balloon, therapy ball	Drafted	2025-12-18
19	Lacing Card Shapes	Bilateral coordination	4 to 7	lacing cards, laces	Outlined	-
20	Sponge Water Transfer	Hand strength	3 to 6	sponges, bowls	Outlined	-
21	Chalk Maze Crawl	Motor planning	4 to 8	sidewalk chalk	Outlined	-
22	Magnetic Tile Towers	Visual motor	4 to 8	magnetic tiles	Outlined	-
23	Pipe Cleaner Bead String	Pincer precision	3 to 6	pipe cleaners, beads	Outlined	-
24	Shaving Cream Letters	Tactile writing	4 to 7	shaving cream, tray	Outlined	-
25	Animal Walk Circuit	Proprioception	3 to 7	open floor space	Outlined	-
26	Hole Punch Patterns	Hand strength	5 to 9	hole punch, cardstock	Outlined	-
27	Ice Cube Rescue	Tactile tolerance	3 to 6	ice, warm water, tools	Outlined	-
28	Ribbon Wand Dancing	Gross motor	2 to 6	ribbon wands	Outlined	-
29	Button Snake Threading	Bilateral coordination	4 to 7	felt, buttons, ribbon	Outlined	-
30	Crash Pad Jump Zone	Proprioception	3 to 8	crash pad	Outlined	-
31	Cereal Necklace Make	Pincer grasp	3 to 6	cereal loops, string	Idea	-
32	Dry Erase Trace Path	Visual motor	4 to 8	dry erase board	Idea	-
33	Foam Stamp Stories	Grasp variety	3 to 7	foam stamps, ink	Idea	-
34	Sock Ball Toss	Eye hand coordination	3 to 7	sock balls, basket	Idea	-
35	Pudding Finger Paint	Tactile tolerance	2 to 5	pudding, tray	Idea	-
36	Stepping Stone Hop	Motor planning	3 to 7	floor markers	Idea	-
37	Pegboard Color Designs	Pincer precision	4 to 8	pegboard, pegs	Idea	-
38	Stretchy Band Pulls	Hand strength	5 to 9	resistance bands	Idea	-
39	Bubble Pop Reach	Midline crossing	2 to 6	bubble solution	Idea	-
40	Calm Down Glitter Jar	Self regulation	3 to 9	jar, glitter, glue	Idea	-
