id,name,activity_type,distance,average_grade,maximum_grade,elevation_high,elevation_low,climb_category,city,state
3301,Waterfront Loop,Run,3200,0.4,2.1,18.2,9.5,0,Portland,OR
3302,Powell Butte Climb,Run,1800,6.8,11.2,188.0,66.0,2,Portland,OR
3303,Springwater Corridor,Ride,12400,0.6,3.4,42.0,11.0,0,Portland,OR
1003,Summit meadow 4,open,403,1003.0,831,571,856,1003,Emden,closed
1004,Violet willow 5,standard,280,1004.0,671,331,856,1004,Rostock,pending
1005,Meadow orbit 6,closed,190,1005.0,339,550,631,1005,Kassel,active
1006,Cedar violet 7,closed,384,1006.0,134,458,262,1006,Hamburg,pending
1007,Jade haze 8,active,607,1007.0,873,356,222,1007,Emden,active
1008,Violet orbit 9,pending,498,1008.0,608,372,63,1008,Flensburg,closed
1009,Iris zephyr 10,general,266,1009.0,738,236,643,1009,Aachen,closed
1010,Frost alpha 11,pending,415,1010.0,807,805,352,1010,Lubeck,active
1011,Zephyr umber 12,general,116,1011.0,397,688,359,1011,Kassel,open
1012,Haze tidal 13,standard,758,1012.0,267,720,873,1012,Lubeck,pending
1013,Willow kelp 14,open,194,1013.0,61,479,352,1013,Rostock,standard
1014,Summit zephyr 15,closed,412,1014.0,205,328,650,1014,Hamburg,closed
1015,Harbor quartz 16,open,697,1015.0,530,769,322,1015,Jena,open
1016,Jade cedar 17,general,38,1016.0,728,185,464,1016,Aachen,pending
1017,Jade alpha 18,pending,820,1017.0,299,329,367,1017,Bremen,closed
1018,Alpha alpha 19,standard,322,1018.0,241,704,785,1018,Lubeck,closed
1019,Pine meadow 20,closed,272,1019.0,1,290,321,1019,Aachen,open
1020,Delta jade 21,standard,636,1020.0,330,672,50,1020,Bremen,closed
1021,Ember frost 22,general,23,1021.0,879,653,463,1021,Lubeck,general
1022,Tidal quartz 23,general,94,1022.0,477,700,247,1022,Emden,general
1023,Delta alpha 24,active,851,1023.0,558,886,714,1023,Aachen,active
