Date Finished	Title	Author	Type	Format	Rating	Notes
2025-09-14	Sing, Unburied, Sing	Jesmyn Ward	Fiction	Hardcover	5	Reread before the fall semester
2025-10-02	The Underground Railroad	Colson Whitehead	Fiction	Kindle	4	Discussed with John on the lanai
2025-10-21	Cultural Humility in Mental Health Care	J. Hook et al.	Professional	PDF	5	Cited two chapters for Nova prep
2025-11-08	Beloved	Toni Morrison	Fiction	Paperback	5	Annual reread, still the standard
2025-11-30	JAMA Psychiatry, Nov issue	Various	Journal	Digital	4	Two articles on stigma measurement
2025-12-15	Let Us Descend	Jesmyn Ward	Fiction	Hardcover	4	Gift from John, read over the holidays
2026-01-09	The Body Keeps the Score	Bessel van der Kolk	Professional	Paperback	4	Refresher for the trauma module
2026-01-27	American Journal of Psychiatry, Jan	Various	Journal	Digital	5	Flagged the intergenerational trauma piece
2026-02-11	Harlem Shuffle	Colson Whitehead	Fiction	Kindle	4	Slower than his others, still sharp
2026-02-24	Journal of Clinical Psychiatry, Feb	Various	Journal	Digital	4	Antidepressant adherence review
