id,name,type,messages_total,messages_unread,threads_total,threads_unread
Label_INBOX,INBOX,system,342,27,289,18
Label_SENT,SENT,system,128,0,118,0
Label_DRAFT,DRAFT,system,4,0,4,0
Label_TRASH,TRASH,system,12,0,12,0
Label_SPAM,SPAM,system,3,3,3,3
Label_1001,Grace-Church/Holiday-2026,user,38,6,22,4
Label_1002,Grace-Church/Holiday-2026/Pledges,user,16,6,12,4
Label_1003,Grace-Church/Holiday-2026/Vendors,user,9,0,5,0
Label_1004,Grace-Church/Holiday-2026/Volunteers,user,7,0,4,0
Label_1005,Family,user,84,4,62,3
Label_1006,Medical,user,19,1,15,1
Label_1007,Estate,user,8,0,6,0
Label_20,Wellness,user,42,3,32,3
Label_21,Wellness/Clients,user,28,1,22,1
Label_22,Wellness/Preparations,user,8,0,6,0
Label_23,Wellness/Screenings,user,6,2,4,2
Label_24,Medical,user,64,4,48,4
Label_25,Medical/Berzeliite,user,32,2,24,2
Label_26,Medical/Dr-Ortega,user,8,0,6,0
Label_27,Medical/Desert-Eye,user,4,0,3,0
Label_28,Medical/Borderland-Dental,user,4,0,3,0
Label_29,Family,user,148,8,72,4
Label_30,Family/Sofia,user,42,2,28,2
Label_31,Family/Carlos,user,38,3,22,1
Label_32,Family/Lupe,user,34,1,24,1
Label_33,Family/Grandkids,user,22,0,16,0
Label_34,Family/Rosa,user,42,2,32,2
Label_35,Church,user,128,5,64,3
Label_36,Church/Pastor,user,34,1,24,0
Label_37,Church/Council,user,18,0,14,0
Label_38,Church/Events,user,42,3,26,2
Label_39,Church/Prayer,user,22,1,18,1
Label_40,Finance,user,68,0,48,0
Label_41,Finance/Rio-Grande-FCU,user,24,0,18,0
Label_42,Finance/Vanguard,user,12,0,10,0
Label_43,Finance/Utilities,user,22,0,16,0
Label_44,Estate,user,8,0,6,0
Label_45,Estate/Lorena,user,6,0,5,0
Label_46,Grief,user,14,0,12,0
Label_47,Journal,user,8,0,7,0
Label_48,Recipes,user,22,0,18,0
Label_49,Garden,user,18,0,14,0
Label_50,Curandera-Practice,user,42,2,32,2
Label_51,Curandera-Practice/Notes,user,22,0,18,0
Label_52,Curandera-Practice/Clients,user,20,2,14,2
