id,summary,description,time_zone,access_role,primary,color_id
primary,Jae Chandler,Main calendar,America/New_York,owner,true,1
family,Chandler Family,Shared family,America/New_York,writer,false,2
cal_0,Calendar 0,,America/New_York,reader,false,6
cal_1,Calendar 1,,America/New_York,reader,false,11
cal_2,Calendar 2,,America/New_York,reader,false,4
cal_3,Calendar 3,,America/New_York,reader,false,3
cal_4,Calendar 4,,America/New_York,reader,false,5
cal_5,Calendar 5,,America/New_York,reader,false,7
cal_6,Calendar 6,,America/New_York,reader,false,11
cal_7,Calendar 7,,America/New_York,reader,false,1
cal_8,Calendar 8,,America/New_York,reader,false,7
cal_9,Calendar 9,,America/New_York,reader,false,8
cal_10,Calendar 10,,America/New_York,reader,false,3
cal_11,Calendar 11,,America/New_York,reader,false,9
cal_12,Calendar 12,,America/New_York,reader,false,5
cal_13,Calendar 13,,America/New_York,reader,false,2
cal_14,Calendar 14,,America/New_York,reader,false,8
cal_15,Calendar 15,,America/New_York,reader,false,4
cal_16,Calendar 16,,America/New_York,reader,false,8
cal_17,Calendar 17,,America/New_York,reader,false,11
cal_18,Calendar 18,,America/New_York,reader,false,2
cal_19,Calendar 19,,America/New_York,reader,false,11
cal_20,Calendar 20,,America/New_York,reader,false,2
cal_21,Calendar 21,,America/New_York,reader,false,1
cal_22,Calendar 22,,America/New_York,reader,false,2
cal_23,Calendar 23,,America/New_York,reader,false,11
cal_24,Calendar 24,,America/New_York,reader,false,11
cal_25,Calendar 25,,America/New_York,reader,false,1
cal_26,Calendar 26,,America/New_York,reader,false,8
cal_27,Calendar 27,,America/New_York,reader,false,4
cal_28,Calendar 28,,America/New_York,reader,false,3
cal_29,Calendar 29,,America/New_York,reader,false,5
cal_30,Calendar 30,,America/New_York,reader,false,7
cal_31,Calendar 31,,America/New_York,reader,false,4
cal_32,Calendar 32,,America/New_York,reader,false,10
cal_33,Calendar 33,,America/New_York,reader,false,1
cal_34,Calendar 34,,America/New_York,reader,false,3
cal_35,Calendar 35,,America/New_York,reader,false,6
cal_36,Calendar 36,,America/New_York,reader,false,1
cal_37,Calendar 37,,America/New_York,reader,false,9
cal_38,Calendar 38,,America/New_York,reader,false,7
cal_39,Calendar 39,,America/New_York,reader,false,5
cal_40,Calendar 40,,America/New_York,reader,false,10
cal_41,Calendar 41,,America/New_York,reader,false,11
cal_42,Calendar 42,,America/New_York,reader,false,10
cal_43,Calendar 43,,America/New_York,reader,false,6
cal_44,Calendar 44,,America/New_York,reader,false,1
cal_45,Calendar 45,,America/New_York,reader,false,4
cal_46,Calendar 46,,America/New_York,reader,false,10
cal_47,Calendar 47,,America/New_York,reader,false,1
cal_48,Calendar 48,,America/New_York,reader,false,1
cal_49,Calendar 49,,America/New_York,reader,false,9
cal_50,Calendar 50,,America/New_York,reader,false,4
cal_51,Calendar 51,,America/New_York,reader,false,10
cal_52,Calendar 52,,America/New_York,reader,false,10
cal_53,Calendar 53,,America/New_York,reader,false,1
cal_54,Calendar 54,,America/New_York,reader,false,11
cal_55,Calendar 55,,America/New_York,reader,false,5
cal_56,Calendar 56,,America/New_York,reader,false,7
cal_57,Calendar 57,,America/New_York,reader,false,9
cal_58,Calendar 58,,America/New_York,reader,false,1
cal_59,Calendar 59,,America/New_York,reader,false,8
cal_60,Calendar 60,,America/New_York,reader,false,6
cal_61,Calendar 61,,America/New_York,reader,false,8
cal_62,Calendar 62,,America/New_York,reader,false,5
cal_63,Calendar 63,,America/New_York,reader,false,2
cal_64,Calendar 64,,America/New_York,reader,false,5
cal_65,Calendar 65,,America/New_York,reader,false,5
cal_66,Calendar 66,,America/New_York,reader,false,7
cal_67,Calendar 67,,America/New_York,reader,false,6
cal_68,Calendar 68,,America/New_York,reader,false,1
cal_69,Calendar 69,,America/New_York,reader,false,3
cal_70,Calendar 70,,America/New_York,reader,false,10
cal_71,Calendar 71,,America/New_York,reader,false,10
cal_72,Calendar 72,,America/New_York,reader,false,5
cal_73,Calendar 73,,America/New_York,reader,false,10
cal_74,Calendar 74,,America/New_York,reader,false,5
cal_75,Calendar 75,,America/New_York,reader,false,7
cal_76,Calendar 76,,America/New_York,reader,false,7
cal_77,Calendar 77,,America/New_York,reader,false,2
cal_78,Calendar 78,,America/New_York,reader,false,7
cal_79,Calendar 79,,America/New_York,reader,false,11
cal_80,Calendar 80,,America/New_York,reader,false,4
cal_81,Calendar 81,,America/New_York,reader,false,2
