object_id,length,width,height,distance_unit,weight,mass_unit,template
parcel-0001,12,10,8,in,7.9,lb,
parcel-0002,14,12,6,in,3.4,lb,
parcel-0003,12,8,6,in,10.1,lb,
parcel-0004,18,10,4,in,10.8,lb,
parcel-0005,18,8,6,in,7.0,lb,
parcel-0006,14,12,8,in,4.0,lb,
parcel-0007,18,8,4,in,2.3,lb,
parcel-0008,12,12,8,in,7.2,lb,
parcel-0009,14,12,10,in,3.7,lb,
parcel-0010,14,10,6,in,10.5,lb,
parcel-0011,14,12,6,in,10.1,lb,
parcel-0012,18,12,6,in,4.3,lb,
parcel-0013,14,10,10,in,4.4,lb,
parcel-0014,12,12,4,in,6.2,lb,
parcel-0015,12,10,6,in,3.8,lb,
parcel-0016,14,10,4,in,2.7,lb,
parcel-0017,12,8,4,in,8.8,lb,
parcel-0018,18,8,4,in,11.9,lb,
parcel-0019,18,10,4,in,3.1,lb,
parcel-0020,16,10,10,in,2.4,lb,
parcel-0021,10,10,10,in,7.1,lb,
parcel-0022,16,8,10,in,2.6,lb,
parcel-0023,14,8,4,in,11.6,lb,
parcel-0024,12,8,10,in,5.3,lb,
parcel-0025,16,8,4,in,10.0,lb,
parcel-0026,10,12,4,in,11.7,lb,
parcel-0027,10,12,8,in,11.8,lb,
parcel-0028,10,10,4,in,4.4,lb,
parcel-0029,16,10,10,in,3.6,lb,
parcel-0030,10,8,10,in,11.3,lb,
parcel-0031,12,10,6,in,8.6,lb,
parcel-0032,16,8,6,in,2.4,lb,
parcel-0033,12,12,6,in,11.7,lb,
parcel-0034,14,12,10,in,3.4,lb,
parcel-0035,10,12,6,in,11.4,lb,
parcel-0036,16,8,6,in,11.2,lb,
parcel-0037,16,12,6,in,9.2,lb,
parcel-0038,12,8,4,in,11.2,lb,
parcel-0039,14,12,8,in,6.2,lb,
parcel-0040,16,8,8,in,4.7,lb,
parcel-0041,10,8,6,in,5.5,lb,
parcel-0042,18,8,4,in,5.0,lb,
parcel-0043,18,8,6,in,7.9,lb,
