Month	Mortgage	Marcus_Tuition	Groceries	Dorothy_Support	Retirement_403b	Church_Tithe	Gas	Electric	Therapist_Copay	Phone	Dexcom	Internet	Life_Insurance_Supp	Oura	Total_Expenses	Net_Income	Surplus
Jan 2025	1150.00	700.00	452.18	350.00	350.00	250.00	158.40	127.50	120.00	90.00	75.00	65.00	45.00	6.00	3939.08	3941.67	2.59
Feb 2025	1150.00	700.00	441.73	350.00	350.00	250.00	155.20	119.80	120.00	90.00	75.00	65.00	45.00	6.00	3917.73	3941.67	23.94
Mar 2025	1150.00	700.00	448.90	350.00	350.00	250.00	162.15	124.60	120.00	90.00	75.00	65.00	45.00	6.00	3936.65	3941.67	5.02
Apr 2025	1150.00	700.00	455.22	350.00	350.00	250.00	159.80	118.40	120.00	90.00	75.00	65.00	45.00	6.00	3934.42	3941.67	7.25
May 2025	1150.00	700.00	461.05	350.00	350.00	250.00	163.90	121.20	120.00	90.00	75.00	65.00	45.00	6.00	3947.15	3941.67	-5.48
Jun 2025	1150.00	700.00	447.33	350.00	350.00	250.00	160.50	132.70	120.00	90.00	75.00	65.00	45.00	6.00	3941.53	4141.67	200.14
Jul 2025	1150.00	700.00	453.88	350.00	350.00	250.00	165.20	138.90	120.00	90.00	75.00	65.00	45.00	6.00	3958.98	3941.67	-17.31
Aug 2025	1150.00	700.00	449.64	350.00	350.00	250.00	158.70	135.40	120.00	90.00	75.00	65.00	45.00	6.00	3944.74	3941.67	-3.07
Sep 2025	1150.00	700.00	444.19	350.00	350.00	250.00	156.30	128.60	120.00	90.00	75.00	65.00	45.00	6.00	3930.09	3941.67	11.58
Oct 2025	1150.00	700.00	457.91	350.00	350.00	250.00	161.80	122.30	120.00	90.00	75.00	65.00	45.00	6.00	3942.01	4241.67	299.66
Nov 2025	1150.00	700.00	462.47	350.00	350.00	250.00	154.60	126.90	120.00	90.00	75.00	65.00	45.00	6.00	3944.97	3941.67	-3.30
Dec 2025	1150.00	700.00	489.32	350.00	350.00	250.00	157.10	124.50	120.00	90.00	75.00	65.00	45.00	6.00	3971.92	4441.67	469.75
