Date	Start_Time	Route	Distance_Miles	Duration_Minutes	Avg_Pace	Steps	Listening_To	Weather	Notes
Jan 6 2025	6:15 AM	Shelby Farms Greenline East Loop	2.3	38	16:31	4820	Lauren Daigle playlist	40F clear	First walk of year, steady pace
Jan 9 2025	6:20 AM	Shelby Farms Greenline East Loop	2.3	39	16:58	4820	Henri Nouwen audiobook	38F overcast	Slow morning, knees stiff
Jan 13 2025	6:10 AM	Shelby Farms Greenline West Loop	2.1	34	16:11	4400	Brandi Carlile playlist	44F cloudy	Good energy, faster than usual
Jan 16 2025	6:25 AM	Shelby Farms Greenline East Loop	2.3	40	17:23	4820	Prayer walk, no audio	37F windy	Skipped music, prayed for Dorothy
Jan 20 2025	6:15 AM	Shelby Farms Greenline East Loop	2.3	38	16:31	4820	Chris Tomlin playlist	42F clear	MLK Day reflection walk
Jan 23 2025	6:10 AM	Shelby Farms Greenline West Loop	2.1	33	15:43	4400	Brene Brown podcast	45F clear	
Jan 27 2025	6:20 AM	Shelby Farms Greenline East Loop	2.3	39	16:58	4820	Keith and Kristyn Getty	39F light rain	Light rain, wore jacket
Jan 30 2025	6:15 AM	Shelby Farms Greenline East Loop	2.3	38	16:31	4820	Lauren Daigle playlist	41F clear	
Feb 3 2025	6:10 AM	Shelby Farms Greenline Full Loop	3.0	49	16:20	6290	James Taylor playlist	48F clear	Longer route, felt strong
Feb 6 2025	6:15 AM	Shelby Farms Greenline East Loop	2.3	38	16:31	4820	Prayer walk	43F overcast	Praying about Marcus semester
Feb 10 2025	6:20 AM	Shelby Farms Greenline East Loop	2.3	40	17:23	4820	Chris Tomlin playlist	46F clear	
Feb 13 2025	6:10 AM	Shelby Farms Greenline West Loop	2.1	34	16:11	4400	Audiobook: Barbara Kingsolver	50F sunny	Beautiful morning
Feb 17 2025	6:15 AM	Shelby Farms Greenline Full Loop	3.0	48	16:00	6290	Patsy Cline playlist	52F clear	Presidents Day, extra time
