Guest_Name	Role	Booking_Date	Air_Date	Segment_Topic	Segment_Type	Status	Notes
Rev. Dr. Marcus Hill	Senior Pastor, Greater Hope Baptist	Oct 14 2024	Nov 2 2024	Faith and Mental Health in the Black Community	Interview	Aired	Excellent segment, 22 min
Lisa Chambers	Executive Director, Memphis Food Bank	Oct 28 2024	Nov 9 2024	Hunger Awareness and Holiday Outreach	Interview	Aired	Brought food drive data
Dr. Tanya Brooks	Family Physician, South Memphis Clinic	Nov 4 2024	Nov 16 2024	Diabetes Prevention in Urban Communities	Interview	Aired	Strong listener response
Nathaniel Reed	Gospel Artist, Memphis	Nov 12 2024	Nov 23 2024	New Album Release and Worship in Hard Times	Interview and Live Song	Aired	Played two tracks live
Sister Claudette James	Chaplain, Shelby County Jail	Nov 20 2024	Dec 7 2024	Ministry Behind Bars	Interview	Aired	
Mayor's Office Representative	City of Memphis Community Outreach	Dec 2 2024	Dec 14 2024	City Holiday Assistance Programs	Announcement and Q&A	Aired	Sub for Mayor who cancelled
Pastor Evelyn Tate	Grace Chapel AME, Memphis	Dec 9 2024	Dec 21 2024	Keeping Joy Through the Holidays	Interview	Aired	Christmas episode, high ratings
Dr. Samuel Price	Professor of Theology, Crescent City University	Jan 6 2025	Jan 18 2025	New Year and Spiritual Renewal	Interview	Aired	No relation to Rebecca
Keisha Monroe	Life Coach and Author	Jan 13 2025	Jan 25 2025	Setting Intentions for 2025	Interview	Aired	Promoted her new book
Rev. Calvin Morrow	Hospice Chaplain, Baptist Memorial	Jan 20 2025	Feb 1 2025	Grace at End of Life	Interview	Aired	Deeply personal episode
Dr. Angela Foster	Licensed Therapist, Midtown Counseling	Jan 27 2025	Feb 8 2025	Compassion Fatigue Among Caregivers	Interview	Aired	Referrals spiked after broadcast
Deacon Charles Mosley	Grace Community Church	Feb 3 2025	Feb 15 2025	Community Health Fair Preview	Announcement and Interview	Aired	Health fair promo
Sandra Coles	Nursing Professor, Bluff City Community College	Feb 10 2025	Feb 22 2025	Nurses as Healers: Faith and Medicine	Interview	Aired	Best friend appearance
TJ Jackson	Station Manager, WGSP 1490 AM	Feb 17 2025	Mar 1 2025	Six Years of Morning Reflections	Special Episode	Aired	Show anniversary
Pastor William Greer	Senior Pastor, Grace Community Church	Mar 3 2025	Mar 15 2025	Lenten Reflections and Community Fasting	Interview	Aired	
Dr. Yolanda Hicks	OB-GYN, Bluff City Women's Health	Mar 10 2025	Mar 22 2025	Women's Health Month	Interview	Aired	
