week,day,entree,vegetarian_option,fruit
Week of Nov 2,Monday,Bean burrito,Garden salad,Orange
Week of Nov 2,Tuesday,Hamburger,Bean bowl,Grapes
Week of Nov 2,Wednesday,Cheese pizza,Veggie wrap,Orange
Week of Nov 2,Thursday,Bean burrito,Garden salad,Apple
Week of Nov 2,Friday,Turkey wrap,Veggie wrap,Grapes
Week of Nov 9,Monday,Cheese pizza,Garden salad,Grapes
Week of Nov 9,Tuesday,Baked potato bar,Bean bowl,Apple
Week of Nov 9,Wednesday,Hamburger,Bean bowl,Orange
Week of Nov 9,Thursday,Beef nachos,Veggie wrap,Grapes
Week of Nov 9,Friday,Chicken sandwich,Bean bowl,Banana
Week of Nov 16,Monday,Turkey wrap,Bean bowl,Grapes
Week of Nov 16,Tuesday,Beef nachos,Bean bowl,Apple
Week of Nov 16,Wednesday,Hamburger,Veggie wrap,Apple
Week of Nov 16,Thursday,Hamburger,Bean bowl,Apple
Week of Nov 16,Friday,Popcorn chicken,Veggie wrap,Apple
Week of Nov 30,Monday,Popcorn chicken,Veggie wrap,Banana
Week of Nov 30,Tuesday,Chicken sandwich,Veggie wrap,Apple
Week of Nov 30,Wednesday,Spaghetti,Garden salad,Apple
Week of Nov 30,Thursday,Baked potato bar,Bean bowl,Banana
Week of Nov 30,Friday,Beef nachos,Garden salad,Banana
