expense_id,funding_line,vendor,description,amount,date,status
EXP-201,L-200,Harmony Instrument Supply,Dan tranh strings and bridges restock,1240.00,2026-09-09,Paid
EXP-202,L-200,Harmony Instrument Supply,Two loaner dan bau units,1890.00,2026-09-22,Paid
EXP-203,L-200,Bellaire Print & Copy,Bilingual songbooks print run,640.00,2026-10-03,Paid
EXP-204,L-200,Riverside AV,Portable PA for enrichment room,980.00,2026-10-19,Paid
EXP-205,L-200,Harmony Instrument Supply,Percussion set (pending delivery),1150.00,2026-11-10,Committed
EXP-301,L-300,Saigon Bakery,Refreshments - fall literacy night,420.00,2026-10-17,Paid
EXP-302,L-300,Cardinal Interpreters,Vietnamese/Spanish interpretation - showcase,900.00,2026-11-07,Paid
EXP-303,L-300,Bellaire Print & Copy,Family-event flyers and banners,510.00,2026-10-11,Paid
EXP-304,L-300,H Mart Bellaire,Cultural showcase supplies,365.00,2026-11-06,Paid
EXP-305,L-300,Cardinal Interpreters,Interpretation - dual-language info sessions,1200.00,2026-11-18,Committed
EXP-401,L-400,Crescent Oaks Transportation,Late bus - September activity runs,880.00,2026-10-01,Paid
EXP-402,L-400,Crescent Oaks Transportation,Late bus - October activity runs,910.00,2026-11-01,Paid
EXP-403,L-400,Crescent Oaks Transportation,Late bus - November activity runs (pending),910.00,2026-12-01,Committed
