event_id,event_name,event_date,event_type,planned,held_status,expected_attendance,logged_attendance,owner
EVT-01,Fall Literacy Night,2026-10-17,Literacy,Held,Held,180,176,Angela Brooks
EVT-02,Bilingual Cultural Showcase,2026-11-07,Culture,Held,Partial,240,240,Angela Brooks
EVT-03,Parent Workshop - Navigating Middle School,2026-10-24,Workshop,Held,Held,60,54,Tuan Ngo
EVT-04,Parent Workshop - Supporting Readers at Home,2026-11-14,Workshop,Held,Held,55,48,Deborah Whitfield
EVT-05,Dual-Language Info Session (Sharpstown),2026-10-30,Info,Held,Held,40,44,Andrew Pham
EVT-06,Dual-Language Info Session (Gulfton),2026-11-06,Info,Held,Held,40,38,Andrew Pham
EVT-07,STEM Family Night,2026-11-13,STEM,Planned,Postponed,120,90,Osvaldo Marino
EVT-08,Coffee with the Principal (Bellaire),2026-10-09,Community,Held,Held,25,17,Andrew Pham
EVT-09,Coffee with the Principal (Alief),2026-11-12,Community,Held,Held,25,12,Andrew Pham
EVT-10,Music Program Family Open House,2026-10-03,Music,Held,Held,150,142,Andrew Pham
EVT-11,Newcomer Welcome Reception,2026-09-19,Community,Held,Held,70,66,Marisol Rivas
EVT-12,Math Family Game Night,2026-11-20,STEM,Planned,Not Held,90,0,Ada Okafor
