sponsor_id,sponsor_name,contact_name,event_id,pledged_amount,stage,amount_received,pledge_date,last_touch_date
SP-01,Saigon Bakery,Mrs. Trinh,EVT-01,500,Paid,500,2026-09-05,2026-10-18
SP-02,H Mart Bellaire,Store Manager Cho,EVT-02,1000,Pledged,0,2026-09-12,2026-10-02
SP-03,Lotus Garden Restaurant,Owner Vu,EVT-10,750,Paid,750,2026-09-08,2026-10-04
SP-04,Kim Long Jewelers,D. Kim,EVT-02,600,Invoiced,0,2026-09-20,2026-11-01
SP-05,Viet Hoa Market,Manager Le,EVT-01,400,Paid,400,2026-09-10,2026-10-17
SP-06,Bellaire Family Dental,Dr. Sandhu,EVT-03,300,Pledged,0,2026-09-25,2026-09-25
SP-07,Midtown Auto Care,J. Alvarez,EVT-11,250,Paid,250,2026-09-14,2026-09-20
SP-08,Pho Binh House,Owner Tran,EVT-02,500,Pledged,0,2026-10-01,2026-10-01
SP-09,Third Ward Credit Union,Rep. Daniels,EVT-04,800,Invoiced,0,2026-10-05,2026-11-05
SP-10,Golden Dragon Grocery,Manager Ho,EVT-10,350,Paid,350,2026-09-11,2026-10-03
SP-11,Alief Community Pharmacy,Pharm. Okonkwo,EVT-09,200,Pledged,0,2026-10-12,2026-10-12
SP-12,Spring Branch Insurance,Agent Ruiz,EVT-05,300,Paid,300,2026-10-08,2026-10-30
SP-13,Chinatown Bookstore,Owner Yang,EVT-01,250,Paid,250,2026-09-09,2026-10-17
SP-14,Bright Smiles Orthodontics,Dr. Pham (no relation),EVT-07,500,Pledged,0,2026-10-20,2026-10-20
