ticket_id,subject,room,category,priority,status,created_date,updated_date,requester,resolution_note
IT-5001,Projector bulb out,STEM Lab,Hardware,High,Open,2026-09-14,2026-09-20,Marino,"Replaced bulb, confirmed working"
IT-5002,Lab desktops will not image,STEM Lab,Hardware,High,Open,2026-10-28,2026-11-11,Marino,
IT-5003,Library wifi drops during classes,Library,Network,Medium,Open,2026-09-30,2026-10-08,Delgado,"AP replaced, monitoring, stable since"
IT-5004,Smartboard unresponsive Rm 214,Room 214,Hardware,Medium,Pending,2026-10-15,2026-11-02,Whitfield,Awaiting replacement panel
IT-5005,Music room PA no sound,Music Room,Hardware,High,Open,2026-11-04,2026-11-10,Pham,
IT-5006,Charging cart not charging,Room 208,Hardware,Low,Open,2026-09-08,2026-09-12,Okafor,"Swapped power strip, resolved"
IT-5007,Printer offline front office,Front Office,Hardware,Medium,Solved,2026-10-02,2026-10-03,Delgado,Reinstalled driver
IT-5008,Lab safety goggles cabinet lock,STEM Lab,Facilities,Low,Open,2026-10-20,2026-10-30,Marino,Locksmith completed
IT-5009,Interactive panel flicker Rm 231,Room 231,Hardware,Medium,Open,2026-11-06,2026-11-12,Okafor,
IT-5010,Teacher laptop won't join domain,Room 205,Network,High,Solved,2026-09-22,2026-09-24,Whitfield,Rejoined domain
IT-5011,Doc camera missing Rm 219,Room 219,Hardware,Low,Open,2026-09-18,2026-09-26,Ngo,Located and returned
IT-5012,Lab 3D printer error code,STEM Lab,Hardware,Medium,Open,2026-11-08,2026-11-13,Marino,
IT-5013,Cafeteria display black screen,Cafeteria,Hardware,Low,Open,2026-10-11,2026-10-19,Delgado,"Cable reseated, working"
IT-5014,VPN access for counselor,Counseling,Network,Medium,Solved,2026-09-29,2026-10-01,Rivas,Access granted
IT-5015,Speaker static gym assembly,Gym,Hardware,Low,Closed,2026-09-15,2026-09-17,Washington,Replaced cable
IT-5016,Lab network port dead station 6,STEM Lab,Network,High,Open,2026-10-31,2026-11-12,Marino,
IT-5017,Tablet cart 4 tablets cracked,Room 222,Hardware,Low,Pending,2026-10-25,2026-11-03,Okafor,Repair quote requested
IT-5018,Projector mount loose Rm 210,Room 210,Facilities,Medium,Open,2026-09-05,2026-09-13,Whitfield,Facilities re-secured mount
IT-5019,Sound board channel dead music rm,Music Room,Hardware,High,Open,2026-11-09,2026-11-13,Pham,
IT-5020,Printer toner low front office,Front Office,Supplies,Low,Solved,2026-11-01,2026-11-02,Delgado,Toner replaced
IT-5021,Lab AC too cold for equipment,STEM Lab,Facilities,Low,Open,2026-10-07,2026-10-16,Marino,"Facilities adjusted, resolved"
IT-5022,Wifi weak in Rm 236,Room 236,Network,Medium,Open,2026-11-05,2026-11-11,Okafor,
IT-5023,Broken keyboard tray Rm 240,Room 240,Facilities,Low,Closed,2026-09-12,2026-09-14,Ngo,Replaced
IT-5024,Interactive pen not tracking Rm 217,Room 217,Hardware,Medium,Open,2026-09-25,2026-10-01,Whitfield,"Recalibrated, working"
IT-5025,Lab exhaust fan noise,STEM Lab,Facilities,Low,Pending,2026-10-29,2026-11-06,Marino,Work order submitted
IT-5026,Guest wifi captive portal broken,Library,Network,Medium,Open,2026-11-07,2026-11-12,Delgado,
IT-5027,Room 228 outlets not working,Room 228,Facilities,High,Open,2026-11-02,2026-11-11,Okafor,
IT-5028,Music room lighting out,Music Room,Facilities,Low,Open,2026-10-14,2026-10-22,Pham,"Bulbs replaced, resolved"
