task_id,goal_id,goal_name,action_item,owner,priority,status,evidence_attached,percent_complete,start_window,due_window,last_updated
CIP-001,G1,Literacy & Reading Growth,Deploy tiered reading intervention blocks in grades 6-7,ELA Lead Whitfield,High,Complete,yes,100,2026-08-18,2026-10-30,2026-10-28
CIP-002,G1,Literacy & Reading Growth,Onboard two reading interventionists,Kevin Park,High,Complete,yes,100,2026-08-11,2026-09-20,2026-09-18
CIP-003,G1,Literacy & Reading Growth,Quarterly running-records benchmarking cycle 1,ELA Lead Whitfield,Medium,Complete,no,100,2026-09-01,2026-10-15,2026-09-29
CIP-004,G1,Literacy & Reading Growth,Family reading-night curriculum kit,Angela Brooks,Medium,In Progress,no,60,2026-09-08,2026-12-05,2026-11-14
CIP-005,G1,Literacy & Reading Growth,Library bilingual title expansion order,Front Office - Delgado,Low,Complete,yes,100,2026-08-25,2026-10-10,2026-10-06
CIP-006,G1,Literacy & Reading Growth,Progress-monitoring data wall in ELA hallway,ELA Lead Whitfield,Low,In Progress,no,40,2026-09-15,2026-12-18,2026-10-02
CIP-007,G2,Math & STEM Achievement,Stand up after-school STEM tutoring cohort,Science Lead Marino,High,Blocked,no,20,2026-08-20,2026-10-25,2026-09-12
CIP-008,G2,Math & STEM Achievement,Adopt spiraled math intervention curriculum,Math Lead Okafor,High,In Progress,no,35,2026-08-22,2026-11-30,2026-09-30
CIP-009,G2,Math & STEM Achievement,Calibrate common formative assessments math 6-8,Math Lead Okafor,High,Not Started,no,0,2026-09-01,2026-11-15,2026-09-01
CIP-010,G2,Math & STEM Achievement,STEM lab equipment readiness for lab rotations,Jamal Washington,Medium,Blocked,no,15,2026-08-15,2026-10-20,2026-09-05
CIP-011,G2,Math & STEM Achievement,Recruit volunteer STEM mentors,Angela Brooks,Medium,Not Started,no,0,2026-09-10,2026-11-01,2026-09-10
CIP-012,G2,Math & STEM Achievement,Data protocol for math small-group regrouping,Math Lead Okafor,Medium,In Progress,no,30,2026-09-05,2026-12-01,2026-09-22
CIP-013,G2,Math & STEM Achievement,Marked complete without artifact - lab safety recertification,Science Lead Marino,High,Complete,no,100,2026-08-19,2026-10-05,2026-09-11
CIP-014,G3,Family & Community Engagement,Launch after-school Vietnamese music & enrichment program,Andrew Pham,High,Complete,yes,100,2026-08-12,2026-09-15,2026-09-15
CIP-015,G3,Family & Community Engagement,Fall literacy night for bilingual families,Angela Brooks,High,Complete,yes,100,2026-09-02,2026-10-17,2026-10-18
CIP-016,G3,Family & Community Engagement,Bilingual cultural showcase,Angela Brooks,High,Complete,no,100,2026-09-02,2026-11-07,2026-11-08
CIP-017,G3,Family & Community Engagement,Parent workshop series - navigating middle school,Counselor Ngo,Medium,In Progress,no,50,2026-09-12,2026-12-12,2026-10-24
CIP-018,G3,Family & Community Engagement,Dual-language expansion parent info sessions,Andrew Pham,High,In Progress,no,55,2026-09-01,2026-12-15,2026-11-10
CIP-019,G3,Family & Community Engagement,Secure community sponsors for family events,Angela Brooks,High,In Progress,no,45,2026-08-28,2026-12-20,2026-11-12
CIP-020,G3,Family & Community Engagement,Parent-volunteer program stand-up and hour logging,Front Office - Delgado,Medium,In Progress,no,40,2026-09-05,2026-12-31,2026-10-30
CIP-021,G3,Family & Community Engagement,Translate all family-facing notices EN/VI,Front Office - Delgado,Medium,Complete,no,100,2026-08-30,2026-10-30,2026-09-27
CIP-022,G3,Family & Community Engagement,Stalled - neighborhood coffee-with-principal circuit,Andrew Pham,Low,In Progress,no,25,2026-09-08,2026-12-19,2026-09-19
CIP-023,G4,"Culture, Climate & Attendance",Deploy attendance early-warning tiers,Counselor Rivas,High,In Progress,no,60,2026-08-18,2026-12-05,2026-11-09
CIP-024,G4,"Culture, Climate & Attendance",Restorative practices staff training round 1,Jamal Washington,High,Complete,yes,100,2026-08-14,2026-09-26,2026-09-24
CIP-025,G4,"Culture, Climate & Attendance",Chronic-absentee family outreach protocol,Counselor Rivas,High,In Progress,no,55,2026-09-01,2026-12-15,2026-11-11
CIP-026,G4,"Culture, Climate & Attendance",Marked complete without artifact - climate survey cycle 1,Counselor Ngo,Medium,Complete,no,100,2026-09-03,2026-10-24,2026-09-17
CIP-027,G4,"Culture, Climate & Attendance",Positive-behavior incentive system relaunch,Jamal Washington,Medium,In Progress,no,50,2026-08-25,2026-12-10,2026-10-28
CIP-028,G4,"Culture, Climate & Attendance",Hallway and cafeteria supervision plan refresh,Front Office - Delgado,Low,Complete,yes,100,2026-08-20,2026-09-30,2026-09-29
CIP-029,G4,"Culture, Climate & Attendance",Stalled - student advisory council charter,Counselor Ngo,Low,In Progress,no,20,2026-09-06,2026-12-18,2026-09-13
CIP-030,G1,Literacy & Reading Growth,Small-group phonics coaching logs,Kevin Park,High,Not Started,no,0,2026-08-15,2026-11-22,2026-11-18
CIP-031,G1,Literacy & Reading Growth,Read-aloud mentor scheduling,Front Office - Delgado,Low,In Progress,no,20,2026-08-18,2026-11-18,2026-09-23
CIP-032,G1,Literacy & Reading Growth,Leveled-library check-out audit,Math Lead Okafor,High,In Progress,no,50,2026-08-16,2026-12-11,2026-10-05
CIP-033,G2,Math & STEM Achievement,Manipulatives inventory for math labs,Counselor Ngo,Medium,Not Started,no,0,2026-09-22,2026-12-26,2026-09-24
CIP-034,G2,Math & STEM Achievement,STEM career-day partner outreach,Math Lead Okafor,Low,Not Started,no,0,2026-09-22,2026-11-23,2026-09-02
CIP-035,G2,Math & STEM Achievement,Formative data dashboard build,Angela Brooks,Medium,Complete,no,100,2026-09-19,2026-12-21,2026-10-06
CIP-036,G3,Family & Community Engagement,Sponsor thank-you and recognition plan,Counselor Ngo,Medium,In Progress,no,40,2026-08-28,2026-11-06,2026-10-13
CIP-037,G3,Family & Community Engagement,Family-engagement calendar publish,Math Lead Okafor,High,In Progress,no,40,2026-08-12,2026-12-13,2026-10-03
CIP-038,G3,Family & Community Engagement,Interpreter roster for evening events,Front Office - Delgado,Low,Complete,yes,100,2026-09-25,2026-11-09,2026-09-08
CIP-039,G3,Family & Community Engagement,Blog note bilingual cadence,Math Lead Okafor,High,In Progress,no,70,2026-09-22,2026-11-05,2026-11-16
CIP-040,G4,"Culture, Climate & Attendance",Tardy-sweep procedure update,Andrew Pham,Medium,Complete,yes,100,2026-08-23,2026-12-20,2026-10-17
CIP-041,G4,"Culture, Climate & Attendance",Counseling referral triage board,Math Lead Okafor,Medium,Complete,yes,100,2026-09-21,2026-11-10,2026-10-06
CIP-042,G4,"Culture, Climate & Attendance",Recognition assembly logistics,Andrew Pham,Low,Blocked,no,20,2026-08-27,2026-11-28,2026-11-10
CIP-043,G4,"Culture, Climate & Attendance",Newcomer buddy program,Math Lead Okafor,Medium,Complete,yes,100,2026-09-26,2026-11-04,2026-10-27
CIP-044,G1,Literacy & Reading Growth,Summer-bridge planning kickoff,Angela Brooks,High,Not Started,no,0,2026-08-26,2026-11-25,2026-11-25
CIP-045,G2,Math & STEM Achievement,Lab-rotation master schedule,Jamal Washington,Low,Complete,no,100,2026-09-17,2026-11-23,2026-10-13
CIP-046,G3,Family & Community Engagement,Volunteer background-check tracking,Counselor Ngo,Low,In Progress,no,60,2026-08-18,2026-11-03,2026-10-01
CIP-047,G4,"Culture, Climate & Attendance",Bus-duty coverage matrix,Math Lead Okafor,Medium,In Progress,no,30,2026-08-12,2026-11-03,2026-09-28
CIP-048,G1,Literacy & Reading Growth,Intervention exit-criteria rubric,Kevin Park,Medium,In Progress,no,40,2026-08-28,2026-11-24,2026-11-19
CIP-049,G2,Math & STEM Achievement,Math night materials prep,Angela Brooks,Low,Complete,no,100,2026-08-24,2026-12-14,2026-10-15
