artist_id,name,genres,followers,popularity
art_isbell,Jason Isbell,Americana,614000,68
art_stapleton,Chris Stapleton,Country,3820000,80
art_iron_wine,Iron and Wine,Indie Folk,412000,58
art_bon_iver,Bon Iver,Indie Folk,3140000,74
art_carrie_underwood,Carrie Underwood,Country,4820000,78
art_gospel_traditional,Traditional Hymns Choir,Gospel,84000,42
art_101,Sturgill Simpson,Americana,4673984,60
art_102,John Prine,Americana,3485316,65
art_103,Tyler Childers,Americana,4297763,76
art_104,Colter Wall,Americana,939158,40
art_105,Kacey Musgraves,Americana,2513642,30
art_106,Chris Knight,Americana,3531997,78
art_107,Amanda Shires,Americana,459955,47
art_108,Ryan Bingham,Americana,2237688,59
art_109,Lucinda Williams,Americana,4015892,40
art_110,Emmylou Harris,Americana,3083143,48
art_111,Steve Earle,Americana,1570013,59
art_112,Gillian Welch,Americana,1491302,53
art_113,Old Crow Medicine Show,Americana,513074,39
art_114,The Avett Brothers,Americana,4270584,49
art_115,The Head and the Heart,Americana,158791,45
art_116,First Aid Kit,Americana,3723298,45
art_117,The Milk Carton Kids,Americana,3511702,68
art_118,Nathaniel Rateliff,Americana,3885546,76
art_119,Rhiannon Giddens,Americana,3702448,44
art_120,The Wood Brothers,Americana,1002127,57
art_121,Devon Gilfillian,Americana,1357864,47
art_122,Molly Tuttle,Americana,780498,34
art_123,Sarah Jarosz,Americana,1118782,68
art_124,Punch Brothers,Americana,1103884,75
art_125,Andrew Bird,Americana,1962855,63
art_126,Iron Wine (side),Americana,3330416,49
art_127,Jason Isbell 400 Unit,Americana,2459713,50
art_128,M Ward,Americana,3163754,55
art_129,Josh Ritter,Americana,746210,67
art_130,Anais Mitchell,Americana,1087139,32
art_131,Fleet Foxes,Americana,3177824,52
art_132,Mumford and Sons,Americana,2977013,34
art_133,Lord Huron,Americana,258850,75
art_134,Angel Olsen,Americana,2082014,79
art_135,Sharon Van Etten,Americana,3965444,40
art_136,Kacy and Clayton,Americana,145032,71
art_137,Big Thief,Americana,2103009,66
art_138,Waxahatchee,Americana,3763705,38
art_139,Phoebe Bridgers,Americana,2175840,52
art_140,Aoife O Donovan,Americana,513879,75
art_141,Punch Brothers,Americana,2500221,72
art_142,Watchhouse,Americana,260839,61
art_143,Jenny Lewis,Americana,443820,32
art_144,Wilco,Americana,2061181,75
art_145,Whiskey Myers,Americana,2751980,58
art_146,Cody Jinks,Americana,1128375,65
art_147,Turnpike Troubadours,Americana,2369931,47
art_148,Alison Krauss,Americana,3568665,67
art_149,David Rawlings,Americana,3815329,45
art_150,Anders Osborne,Americana,3320111,31
art_151,The Deslondes,Americana,3622946,59
