Front	Back	Tags
Antidote for heparin overdose	Protamine sulfate	pharm2 anticoagulants
Antidote for warfarin overdose	Vitamin K (phytonadione)	pharm2 anticoagulants
Lab to monitor for heparin	aPTT	pharm2 anticoagulants
Lab to monitor for warfarin	INR, target 2 to 3	pharm2 anticoagulants
Classic side effect of ACE inhibitors	Dry, persistent cough	pharm2 cardiac
Hold parameter for metoprolol	Apical heart rate under 60 bpm	pharm2 cardiac
Loop diuretic example and key electrolyte	Furosemide, loses potassium	pharm2 diuretics
Potassium-sparing diuretic example	Spironolactone, keeps potassium	pharm2 diuretics
Onset of rapid-acting insulin (lispro)	About 15 minutes	pharm2 endocrine
Only insulin that can be given IV	Regular insulin	pharm2 endocrine
Peak of NPH insulin	6 to 8 hours	pharm2 endocrine
Order of drawing up two insulins	Clear before cloudy (regular before NPH)	pharm2 endocrine
Digoxin therapeutic level	0.5 to 2 ng/mL	pharm2 cardiac
First sign of digoxin toxicity	Anorexia, nausea, visual changes	pharm2 cardiac
Teaching for warfarin and diet	Keep vitamin K intake consistent	pharm2 anticoagulants
