broadcaster_id,broadcaster_login,broadcaster_name,game_id,game_name,title,broadcaster_language,tags,follower_count
twch_0000,channel_0,Channel 0,en,Gaming,3831,True,,15749
twch_0001,channel_1,Channel 1,en,Gaming,5944,True,,46733
twch_0002,channel_2,Channel 2,en,Music,2306,True,,7360
twch_0003,channel_3,Channel 3,en,Music,5319,True,,43098
twch_0004,channel_4,Channel 4,en,Music,7570,True,,16131
twch_0005,channel_5,Channel 5,en,Just Chatting,4836,True,,45671
twch_0006,channel_6,Channel 6,en,Gaming,8514,True,,36283
twch_0007,channel_7,Channel 7,en,Gaming,862,True,,26973
twch_0008,channel_8,Channel 8,en,Gaming,1524,True,,27206
twch_0009,channel_9,Channel 9,en,Just Chatting,2107,True,,40979
twch_0010,channel_10,Channel 10,en,Gaming,8955,True,,33939
twch_0011,channel_11,Channel 11,en,Just Chatting,1367,True,,22032
twch_0012,channel_12,Channel 12,en,Music,3930,True,,23404
twch_0013,channel_13,Channel 13,en,Gaming,845,True,,23830
twch_0014,channel_14,Channel 14,en,Gaming,375,True,,19698
twch_0015,channel_15,Channel 15,en,Music,8528,True,,8209
twch_0016,channel_16,Channel 16,en,Music,8102,True,,21483
twch_0017,channel_17,Channel 17,en,Just Chatting,3826,True,,1742
twch_0018,channel_18,Channel 18,en,Music,5771,True,,29394
twch_0019,channel_19,Channel 19,en,Gaming,2891,True,,36599
twch_0020,channel_20,Channel 20,en,Music,1279,True,,22440
twch_0021,channel_21,Channel 21,en,Music,7651,True,,5013
twch_0022,channel_22,Channel 22,en,Gaming,346,True,,3959
twch_0023,channel_23,Channel 23,en,Music,9231,True,,45044
twch_0024,channel_24,Channel 24,en,Just Chatting,1328,True,,38980
twch_0025,channel_25,Channel 25,en,Gaming,3658,True,,25813
twch_0026,channel_26,Channel 26,en,Gaming,4501,True,,5065
twch_0027,channel_27,Channel 27,en,Music,9966,True,,7588
twch_0028,channel_28,Channel 28,en,Just Chatting,1882,True,,34182
twch_0029,channel_29,Channel 29,en,Gaming,2416,True,,26871
twch_0030,channel_30,Channel 30,en,Just Chatting,8253,True,,45074
twch_0031,channel_31,Channel 31,en,Just Chatting,6877,True,,25357
twch_0032,channel_32,Channel 32,en,Music,3298,True,,34547
twch_0033,channel_33,Channel 33,en,Gaming,7654,True,,38571
