id,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,is_live
stream_0000,twch_0123,channel_94,Channel 126,game_0106,Game 33,live,27236,2026-09-22T01:07:11Z,en,True,
stream_0001,twch_0027,channel_62,Channel 96,game_0124,Game 86,live,45970,2026-05-09T18:02:02Z,en,True,
stream_0002,twch_0050,channel_32,Channel 87,game_0135,Game 134,live,29781,2026-05-05T11:02:56Z,en,True,
stream_0003,twch_0051,channel_145,Channel 120,game_0049,Game 68,live,11211,2026-03-02T00:47:31Z,en,True,
stream_0004,twch_0002,channel_63,Channel 124,game_0098,Game 10,live,36585,2026-06-11T17:23:15Z,en,True,
stream_0005,twch_0132,channel_56,Channel 142,game_0049,Game 98,live,17942,2026-04-08T23:06:27Z,en,True,
stream_0006,twch_0010,channel_132,Channel 2,game_0101,Game 128,live,41886,2026-04-15T18:33:14Z,en,True,
stream_0007,twch_0013,channel_148,Channel 147,game_0123,Game 59,live,13384,2026-01-25T14:20:41Z,en,True,
stream_0008,twch_0085,channel_67,Channel 124,game_0014,Game 111,live,40614,2026-01-18T00:11:47Z,en,True,
stream_0009,twch_0084,channel_80,Channel 73,game_0095,Game 108,live,45522,2026-01-19T01:11:18Z,en,True,
stream_0010,twch_0038,channel_49,Channel 8,game_0012,Game 105,live,20368,2026-08-03T21:14:40Z,en,True,
stream_0011,twch_0070,channel_72,Channel 1,game_0134,Game 82,live,11431,2026-06-12T01:11:17Z,en,True,
stream_0012,twch_0113,channel_79,Channel 37,game_0062,Game 122,live,41122,2026-07-19T21:59:49Z,en,True,
stream_0013,twch_0104,channel_51,Channel 140,game_0149,Game 30,live,34027,2026-01-24T01:51:59Z,en,True,
stream_0014,twch_0124,channel_105,Channel 126,game_0132,Game 73,live,10642,2026-02-25T09:25:53Z,en,True,
stream_0015,twch_0073,channel_33,Channel 24,game_0002,Game 39,live,21484,2026-08-30T02:39:56Z,en,True,
stream_0016,twch_0117,channel_112,Channel 138,game_0142,Game 139,live,3084,2026-08-22T07:26:01Z,en,True,
stream_0017,twch_0117,channel_20,Channel 42,game_0072,Game 58,live,7143,2026-06-06T01:14:52Z,en,True,
stream_0018,twch_0023,channel_139,Channel 7,game_0117,Game 70,live,13845,2026-01-07T02:11:18Z,en,True,
stream_0019,twch_0034,channel_64,Channel 78,game_0091,Game 27,live,8174,2026-04-02T09:39:14Z,en,True,
stream_0020,twch_0073,channel_9,Channel 74,game_0035,Game 40,live,22231,2026-07-27T17:18:18Z,en,True,
stream_0021,twch_0028,channel_25,Channel 93,game_0133,Game 0,live,11444,2026-09-28T10:23:44Z,en,True,
stream_0022,twch_0030,channel_25,Channel 118,game_0124,Game 129,live,325,2026-08-02T08:56:13Z,en,True,
stream_0023,twch_0046,channel_58,Channel 35,game_0093,Game 50,live,15490,2026-03-16T01:49:37Z,en,True,
