id,broadcaster_id,broadcaster_name,creator_id,creator_name,game_id,title,view_count,duration,created_at,url
clip_0000,Clip 0,twch_0056,channel_21,creator_2,Creator 71,2026-03-11T00:26:53Z,16,2459,https://clips.twitch.tv/clip_0000,en
clip_0001,Clip 1,twch_0081,channel_39,creator_7,Creator 0,2026-03-27T13:56:47Z,36,1386,https://clips.twitch.tv/clip_0001,en
clip_0002,Clip 2,twch_0146,channel_92,creator_39,Creator 25,2026-02-12T21:21:07Z,37,165,https://clips.twitch.tv/clip_0002,en
clip_0003,Clip 3,twch_0106,channel_139,creator_75,Creator 30,2026-05-10T04:46:22Z,21,2495,https://clips.twitch.tv/clip_0003,en
clip_0004,Clip 4,twch_0119,channel_130,creator_79,Creator 75,2026-03-02T09:15:35Z,36,3047,https://clips.twitch.tv/clip_0004,en
clip_0005,Clip 5,twch_0051,channel_94,creator_5,Creator 91,2026-03-17T12:00:56Z,41,3940,https://clips.twitch.tv/clip_0005,en
clip_0006,Clip 6,twch_0123,channel_31,creator_47,Creator 29,2026-05-05T14:54:59Z,41,2820,https://clips.twitch.tv/clip_0006,en
clip_0007,Clip 7,twch_0104,channel_40,creator_63,Creator 32,2026-07-31T14:32:40Z,31,6991,https://clips.twitch.tv/clip_0007,en
clip_0008,Clip 8,twch_0102,channel_100,creator_64,Creator 0,2026-10-01T16:01:44Z,17,5883,https://clips.twitch.tv/clip_0008,en
clip_0009,Clip 9,twch_0100,channel_79,creator_14,Creator 65,2026-08-23T17:23:11Z,38,9875,https://clips.twitch.tv/clip_0009,en
clip_0010,Clip 10,twch_0008,channel_131,creator_88,Creator 31,2026-06-22T13:46:09Z,10,7136,https://clips.twitch.tv/clip_0010,en
clip_0011,Clip 11,twch_0103,channel_58,creator_11,Creator 71,2026-10-04T11:51:11Z,23,4240,https://clips.twitch.tv/clip_0011,en
clip_0012,Clip 12,twch_0067,channel_18,creator_86,Creator 1,2026-09-29T04:27:14Z,38,8642,https://clips.twitch.tv/clip_0012,en
clip_0013,Clip 13,twch_0060,channel_39,creator_33,Creator 90,2026-04-21T02:50:54Z,29,7291,https://clips.twitch.tv/clip_0013,en
clip_0014,Clip 14,twch_0013,channel_60,creator_18,Creator 7,2026-06-02T17:45:40Z,15,9065,https://clips.twitch.tv/clip_0014,en
clip_0015,Clip 15,twch_0075,channel_149,creator_69,Creator 76,2026-09-26T10:34:26Z,33,7399,https://clips.twitch.tv/clip_0015,en
clip_0016,Clip 16,twch_0041,channel_37,creator_39,Creator 44,2026-08-02T01:52:40Z,19,8633,https://clips.twitch.tv/clip_0016,en
clip_0017,Clip 17,twch_0020,channel_58,creator_53,Creator 28,2026-04-20T11:56:17Z,27,4559,https://clips.twitch.tv/clip_0017,en
clip_0018,Clip 18,twch_0036,channel_13,creator_5,Creator 48,2026-07-06T21:37:53Z,35,1742,https://clips.twitch.tv/clip_0018,en
clip_0019,Clip 19,twch_0143,channel_85,creator_6,Creator 39,2026-09-11T11:32:44Z,20,7903,https://clips.twitch.tv/clip_0019,en
clip_0020,Clip 20,twch_0064,channel_20,creator_40,Creator 72,2026-06-27T18:32:31Z,42,4340,https://clips.twitch.tv/clip_0020,en
clip_0021,Clip 21,twch_0093,channel_2,creator_63,Creator 58,2026-08-08T00:04:50Z,21,4843,https://clips.twitch.tv/clip_0021,en
clip_0022,Clip 22,twch_0003,channel_31,creator_23,Creator 0,2026-10-14T21:52:34Z,31,858,https://clips.twitch.tv/clip_0022,en
clip_0023,Clip 23,twch_0093,channel_25,creator_28,Creator 44,2026-09-08T14:44:23Z,54,3128,https://clips.twitch.tv/clip_0023,en
clip_0024,Clip 24,twch_0103,channel_86,creator_88,Creator 39,2026-05-19T14:23:42Z,44,9393,https://clips.twitch.tv/clip_0024,en
clip_0025,Clip 25,twch_0029,channel_97,creator_12,Creator 57,2026-08-31T16:14:53Z,42,642,https://clips.twitch.tv/clip_0025,en
clip_0026,Clip 26,twch_0071,channel_18,creator_46,Creator 25,2026-06-03T18:59:13Z,54,9791,https://clips.twitch.tv/clip_0026,en
clip_0027,Clip 27,twch_0031,channel_81,creator_26,Creator 20,2026-07-06T10:52:05Z,10,5025,https://clips.twitch.tv/clip_0027,en
clip_0028,Clip 28,twch_0060,channel_111,creator_30,Creator 22,2026-04-13T05:34:33Z,48,7190,https://clips.twitch.tv/clip_0028,en
clip_0029,Clip 29,twch_0019,channel_141,creator_54,Creator 73,2026-04-06T03:41:27Z,34,482,https://clips.twitch.tv/clip_0029,en
clip_0030,Clip 30,twch_0129,channel_19,creator_5,Creator 56,2026-07-22T03:21:07Z,55,2393,https://clips.twitch.tv/clip_0030,en
clip_0031,Clip 31,twch_0086,channel_88,creator_98,Creator 58,2026-06-04T06:45:20Z,26,7945,https://clips.twitch.tv/clip_0031,en
clip_0032,Clip 32,twch_0014,channel_12,creator_17,Creator 0,2026-07-20T01:57:54Z,25,940,https://clips.twitch.tv/clip_0032,en
clip_0033,Clip 33,twch_0073,channel_115,creator_90,Creator 93,2026-03-03T04:03:37Z,45,7411,https://clips.twitch.tv/clip_0033,en
clip_0034,Clip 34,twch_0117,channel_33,creator_31,Creator 95,2026-09-14T13:48:14Z,23,5670,https://clips.twitch.tv/clip_0034,en
clip_0035,Clip 35,twch_0025,channel_97,creator_69,Creator 51,2026-02-04T08:49:31Z,26,9007,https://clips.twitch.tv/clip_0035,en
clip_0036,Clip 36,twch_0026,channel_67,creator_32,Creator 49,2026-05-13T13:42:31Z,30,9518,https://clips.twitch.tv/clip_0036,en
clip_0037,Clip 37,twch_0125,channel_63,creator_82,Creator 84,2026-03-25T13:31:02Z,41,6443,https://clips.twitch.tv/clip_0037,en
clip_0038,Clip 38,twch_0124,channel_13,creator_30,Creator 43,2026-04-23T20:07:51Z,35,8075,https://clips.twitch.tv/clip_0038,en
clip_0039,Clip 39,twch_0121,channel_110,creator_37,Creator 60,2026-05-23T06:41:46Z,10,5437,https://clips.twitch.tv/clip_0039,en
clip_0040,Clip 40,twch_0133,channel_52,creator_72,Creator 15,2026-06-29T10:53:50Z,32,3911,https://clips.twitch.tv/clip_0040,en
clip_0041,Clip 41,twch_0069,channel_19,creator_76,Creator 19,2026-06-01T15:59:01Z,29,734,https://clips.twitch.tv/clip_0041,en
clip_0042,Clip 42,twch_0101,channel_37,creator_35,Creator 80,2026-09-04T10:18:05Z,53,68,https://clips.twitch.tv/clip_0042,en
clip_0043,Clip 43,twch_0042,channel_97,creator_47,Creator 14,2026-06-18T00:48:38Z,42,2655,https://clips.twitch.tv/clip_0043,en
clip_0044,Clip 44,twch_0118,channel_121,creator_94,Creator 35,2026-09-08T05:38:38Z,15,1411,https://clips.twitch.tv/clip_0044,en
clip_0045,Clip 45,twch_0110,channel_136,creator_30,Creator 86,2026-07-05T22:40:16Z,12,664,https://clips.twitch.tv/clip_0045,en
clip_0046,Clip 46,twch_0126,channel_127,creator_48,Creator 67,2026-08-15T07:34:10Z,42,9760,https://clips.twitch.tv/clip_0046,en
clip_0047,Clip 47,twch_0101,channel_15,creator_8,Creator 48,2026-09-10T11:22:22Z,60,1969,https://clips.twitch.tv/clip_0047,en
clip_0048,Clip 48,twch_0016,channel_104,creator_95,Creator 93,2026-01-11T10:06:13Z,46,4999,https://clips.twitch.tv/clip_0048,en
clip_0049,Clip 49,twch_0033,channel_24,creator_70,Creator 66,2026-05-21T03:28:22Z,43,7446,https://clips.twitch.tv/clip_0049,en
clip_0050,Clip 50,twch_0007,channel_7,creator_81,Creator 26,2026-01-11T12:23:34Z,43,3210,https://clips.twitch.tv/clip_0050,en
clip_0051,Clip 51,twch_0042,channel_137,creator_19,Creator 61,2026-05-30T07:23:31Z,52,4878,https://clips.twitch.tv/clip_0051,en
clip_0052,Clip 52,twch_0030,channel_87,creator_98,Creator 89,2026-03-17T02:04:05Z,40,8241,https://clips.twitch.tv/clip_0052,en
clip_0053,Clip 53,twch_0036,channel_141,creator_50,Creator 85,2026-01-29T12:07:32Z,43,4461,https://clips.twitch.tv/clip_0053,en
clip_0054,Clip 54,twch_0037,channel_65,creator_16,Creator 30,2026-03-25T07:42:59Z,39,7849,https://clips.twitch.tv/clip_0054,en
clip_0055,Clip 55,twch_0124,channel_11,creator_73,Creator 62,2026-06-12T01:19:00Z,13,8,https://clips.twitch.tv/clip_0055,en
clip_0056,Clip 56,twch_0108,channel_107,creator_52,Creator 26,2026-02-22T09:29:01Z,18,7757,https://clips.twitch.tv/clip_0056,en
clip_0057,Clip 57,twch_0070,channel_5,creator_59,Creator 87,2026-07-21T15:14:14Z,36,3582,https://clips.twitch.tv/clip_0057,en
clip_0058,Clip 58,twch_0021,channel_54,creator_3,Creator 53,2026-02-19T06:15:07Z,15,2070,https://clips.twitch.tv/clip_0058,en
clip_0059,Clip 59,twch_0086,channel_53,creator_65,Creator 0,2026-07-15T12:58:09Z,46,1835,https://clips.twitch.tv/clip_0059,en
clip_0060,Clip 60,twch_0047,channel_11,creator_5,Creator 30,2026-02-19T01:17:45Z,57,2299,https://clips.twitch.tv/clip_0060,en
clip_0061,Clip 61,twch_0037,channel_28,creator_34,Creator 3,2026-02-24T00:55:41Z,39,3715,https://clips.twitch.tv/clip_0061,en
clip_0062,Clip 62,twch_0123,channel_108,creator_9,Creator 35,2026-08-23T03:16:23Z,38,7415,https://clips.twitch.tv/clip_0062,en
