id,login,display_name,type,broadcaster_type,description,view_count,created_at,profile_image_url
twu_0000,user_0,User 0,,,,,2026-05-29T18:38:18Z,https://img.twitch.tv/0
twu_0001,user_1,User 1,,,,,2026-06-27T12:02:48Z,https://img.twitch.tv/1
twu_0002,user_2,User 2,,,partner,,2026-06-20T02:31:09Z,https://img.twitch.tv/2
twu_0003,user_3,User 3,,,partner,,2026-04-24T12:28:43Z,https://img.twitch.tv/3
twu_0004,user_4,User 4,,,affiliate,,2026-01-05T16:11:43Z,https://img.twitch.tv/4
twu_0005,user_5,User 5,,,affiliate,,2026-05-31T05:06:02Z,https://img.twitch.tv/5
twu_0006,user_6,User 6,,,,,2026-03-16T04:01:27Z,https://img.twitch.tv/6
twu_0007,user_7,User 7,,,,,2026-06-13T11:09:44Z,https://img.twitch.tv/7
twu_0008,user_8,User 8,,,,,2026-07-15T02:35:48Z,https://img.twitch.tv/8
twu_0009,user_9,User 9,,,affiliate,,2026-08-31T03:45:02Z,https://img.twitch.tv/9
twu_0010,user_10,User 10,,,partner,,2026-06-29T15:32:21Z,https://img.twitch.tv/10
twu_0011,user_11,User 11,,,,,2026-06-28T17:00:28Z,https://img.twitch.tv/11
twu_0012,user_12,User 12,,,,,2026-08-25T03:36:46Z,https://img.twitch.tv/12
twu_0013,user_13,User 13,,,affiliate,,2026-09-12T00:56:54Z,https://img.twitch.tv/13
twu_0014,user_14,User 14,,,,,2026-03-18T04:08:33Z,https://img.twitch.tv/14
twu_0015,user_15,User 15,,,partner,,2026-10-06T04:06:26Z,https://img.twitch.tv/15
twu_0016,user_16,User 16,,,partner,,2026-05-09T10:53:55Z,https://img.twitch.tv/16
twu_0017,user_17,User 17,,,partner,,2026-06-06T07:39:21Z,https://img.twitch.tv/17
twu_0018,user_18,User 18,,,partner,,2026-01-30T20:07:10Z,https://img.twitch.tv/18
twu_0019,user_19,User 19,,,,,2026-03-24T13:40:27Z,https://img.twitch.tv/19
twu_0020,user_20,User 20,,,partner,,2026-02-14T13:46:53Z,https://img.twitch.tv/20
twu_0021,user_21,User 21,,,affiliate,,2026-04-19T00:10:31Z,https://img.twitch.tv/21
twu_0022,user_22,User 22,,,,,2026-08-25T18:44:14Z,https://img.twitch.tv/22
twu_0023,user_23,User 23,,,partner,,2026-07-14T00:43:03Z,https://img.twitch.tv/23
twu_0024,user_24,User 24,,,partner,,2026-09-10T23:23:17Z,https://img.twitch.tv/24
twu_0025,user_25,User 25,,,,,2026-05-11T20:23:22Z,https://img.twitch.tv/25
twu_0026,user_26,User 26,,,,,2026-09-29T20:13:42Z,https://img.twitch.tv/26
twu_0027,user_27,User 27,,,affiliate,,2026-06-16T02:44:40Z,https://img.twitch.tv/27
twu_0028,user_28,User 28,,,,,2026-07-31T13:31:53Z,https://img.twitch.tv/28
twu_0029,user_29,User 29,,,,,2026-01-22T06:32:13Z,https://img.twitch.tv/29
twu_0030,user_30,User 30,,,affiliate,,2026-01-13T05:53:27Z,https://img.twitch.tv/30
twu_0031,user_31,User 31,,,,,2026-03-08T00:16:13Z,https://img.twitch.tv/31
twu_0032,user_32,User 32,,,affiliate,,2026-03-28T16:58:01Z,https://img.twitch.tv/32
twu_0033,user_33,User 33,,,partner,,2026-08-09T03:33:26Z,https://img.twitch.tv/33
twu_0034,user_34,User 34,,,partner,,2026-07-14T19:29:01Z,https://img.twitch.tv/34
twu_0035,user_35,User 35,,,affiliate,,2026-01-14T01:32:53Z,https://img.twitch.tv/35
twu_0036,user_36,User 36,,,,,2026-09-09T15:24:58Z,https://img.twitch.tv/36
twu_0037,user_37,User 37,,,,,2026-01-29T08:48:54Z,https://img.twitch.tv/37
twu_0038,user_38,User 38,,,,,2026-03-20T20:05:08Z,https://img.twitch.tv/38
twu_0039,user_39,User 39,,,,,2026-02-11T15:52:30Z,https://img.twitch.tv/39
twu_0040,user_40,User 40,,,partner,,2026-06-26T11:05:40Z,https://img.twitch.tv/40
twu_0041,user_41,User 41,,,,,2026-08-18T17:13:10Z,https://img.twitch.tv/41
twu_0042,user_42,User 42,,,,,2026-09-29T23:08:05Z,https://img.twitch.tv/42
twu_0043,user_43,User 43,,,partner,,2026-04-28T04:41:16Z,https://img.twitch.tv/43
twu_0044,user_44,User 44,,,,,2026-04-16T09:30:50Z,https://img.twitch.tv/44
twu_0045,user_45,User 45,,,,,2026-05-25T15:29:06Z,https://img.twitch.tv/45
twu_0046,user_46,User 46,,,,,2026-02-04T12:57:07Z,https://img.twitch.tv/46
twu_0047,user_47,User 47,,,affiliate,,2026-05-22T02:30:12Z,https://img.twitch.tv/47
twu_0048,user_48,User 48,,,partner,,2026-06-13T10:36:14Z,https://img.twitch.tv/48
twu_0049,user_49,User 49,,,affiliate,,2026-06-08T09:05:40Z,https://img.twitch.tv/49
twu_0050,user_50,User 50,,,affiliate,,2026-01-19T05:27:03Z,https://img.twitch.tv/50
twu_0051,user_51,User 51,,,partner,,2026-04-11T04:12:25Z,https://img.twitch.tv/51
twu_0052,user_52,User 52,,,affiliate,,2026-08-07T08:44:27Z,https://img.twitch.tv/52
twu_0053,user_53,User 53,,,,,2026-05-30T01:51:05Z,https://img.twitch.tv/53
twu_0054,user_54,User 54,,,affiliate,,2026-01-10T03:11:52Z,https://img.twitch.tv/54
twu_0055,user_55,User 55,,,affiliate,,2026-07-15T07:56:48Z,https://img.twitch.tv/55
twu_0056,user_56,User 56,,,,,2026-07-08T03:31:08Z,https://img.twitch.tv/56
twu_0057,user_57,User 57,,,,,2026-05-18T15:57:03Z,https://img.twitch.tv/57
twu_0058,user_58,User 58,,,affiliate,,2026-01-28T14:19:47Z,https://img.twitch.tv/58
twu_0059,user_59,User 59,,,,,2026-05-11T01:41:59Z,https://img.twitch.tv/59
twu_0060,user_60,User 60,,,partner,,2026-01-08T03:10:52Z,https://img.twitch.tv/60
twu_0061,user_61,User 61,,,affiliate,,2026-07-03T20:47:45Z,https://img.twitch.tv/61
twu_0062,user_62,User 62,,,affiliate,,2026-07-08T20:44:28Z,https://img.twitch.tv/62
twu_0063,user_63,User 63,,,affiliate,,2026-01-11T22:58:50Z,https://img.twitch.tv/63
twu_0064,user_64,User 64,,,,,2026-01-19T02:44:20Z,https://img.twitch.tv/64
twu_0065,user_65,User 65,,,affiliate,,2026-02-18T03:21:27Z,https://img.twitch.tv/65
twu_0066,user_66,User 66,,,,,2026-08-17T20:28:05Z,https://img.twitch.tv/66
twu_0067,user_67,User 67,,,partner,,2026-01-08T07:13:34Z,https://img.twitch.tv/67
twu_0068,user_68,User 68,,,partner,,2026-04-03T07:37:02Z,https://img.twitch.tv/68
twu_0069,user_69,User 69,,,affiliate,,2026-05-27T23:05:55Z,https://img.twitch.tv/69
twu_0070,user_70,User 70,,,partner,,2026-05-08T13:55:15Z,https://img.twitch.tv/70
twu_0071,user_71,User 71,,,,,2026-09-03T14:29:05Z,https://img.twitch.tv/71
twu_0072,user_72,User 72,,,affiliate,,2026-05-31T14:07:33Z,https://img.twitch.tv/72
twu_0073,user_73,User 73,,,affiliate,,2026-09-05T08:07:15Z,https://img.twitch.tv/73
