id	title	area	status	owner	points	priority	sprint
VH-211	Act 2 marsh level greybox	level	done	Carlos	5	P1	2026-02a
VH-214	Hollow King phase 2 attack pattern	boss	in_progress	Carlos	8	P0	2026-02b
VH-219	Inventory grid drag fix	ui	in_progress	Tyler	3	P0	2026-02b
VH-221	Save system Act 2 gate flag	systems	done	Tyler	5	P1	2026-02a
VH-225	UI polish, pause menu pass	ui	backlog	Carlos	3	P2	2026-03a
VH-228	Boss arena door soft-lock	boss	done	Tyler	2	P1	2026-02a
VH-230	Rain zone audio bus overflow	audio	backlog	Tyler	3	P2	2026-03a
VH-233	Act 3 Ascent greybox	level	backlog	Carlos	8	P1	2026-08a
VH-236	Finale boss Hollow Crown design	boss	backlog	Carlos	13	P1	2026-09a
VH-240	Low-end GPU shader budget pass	perf	backlog	Tyler	5	P2	2026-07a
