media_id,impressions,reach,engagement,saves,shares,profile_visits,follows
200000,335,15,117,285,169,200,95
200011,35,173,437,474,229,373,237
200022,92,91,58,305,134,329,416
200033,77,117,500,43,76,372,174
200044,110,82,276,29,97,418,459
200055,105,338,117,309,25,436,324
200066,373,260,115,283,328,216,397
200077,123,176,3,138,307,399,121
200088,76,336,195,484,402,18,225
200099,166,299,16,425,101,395,497
200110,12,385,50,140,406,166,326
200121,6,176,264,176,124,263,495
200132,245,400,382,114,384,32,464
200143,155,340,236,181,51,280,174
200154,429,382,457,3,245,242,465
200165,187,67,484,45,77,51,342
200176,189,152,121,2,342,83,412
200187,481,280,397,311,20,87,448
200198,189,260,369,139,114,224,87
200209,88,191,344,213,473,395,87
200220,109,195,293,203,118,344,46
200231,220,83,135,94,273,175,138
200242,331,178,6,379,492,466,153
200253,478,212,127,187,345,208,61
200264,73,261,443,208,319,311,301
200275,210,83,291,294,276,266,344
200286,367,219,206,315,131,186,30
200297,20,268,253,66,370,492,181
200308,478,481,332,207,486,321,201
200319,374,500,489,391,133,56,47
200330,334,383,404,243,255,385,356
200341,323,308,95,41,307,110,476
200352,110,137,448,114,484,400,143
200363,487,231,25,102,472,22,112
200374,500,264,116,67,368,275,100
200385,250,496,372,375,105,407,401
200396,214,258,493,150,391,327,470
200407,463,276,397,375,62,425,184
200418,278,428,286,369,470,331,156
200429,295,406,305,438,102,466,45
200440,411,227,75,315,174,22,443
200451,14,11,82,419,482,212,447
200462,361,175,76,159,361,386,216
200473,493,338,397,352,347,420,379
200484,249,256,371,62,463,29,479
200495,222,26,282,367,66,492,372
200506,48,467,19,218,187,219,105
200517,386,262,221,433,62,368,22
200528,485,180,200,374,375,373,13
200539,364,359,362,164,199,367,344
200550,482,437,305,339,429,481,237
200561,41,118,267,89,407,162,473
200572,10,3,43,75,96,361,359
200583,81,288,108,206,427,119,368
200594,118,271,424,7,306,80,290
200605,432,351,494,482,29,138,434
200616,369,222,329,187,439,187,328
200627,388,318,339,387,147,268,26
200638,2,329,440,334,316,429,266
200649,376,250,299,451,361,349,274
200660,455,260,399,31,67,481,476
200671,474,89,424,498,193,31,422
200682,477,441,173,50,216,466,38
200693,497,48,256,9,239,40,189
200704,456,318,75,247,18,228,227
200715,219,372,39,469,357,123,376
200726,115,478,373,193,27,295,36
200737,110,60,424,341,228,93,444
200748,13,256,66,115,485,127,237
200759,80,35,247,259,266,487,80
200770,216,271,407,353,1,404,388
200781,230,306,471,280,247,4,216
200792,457,474,121,289,73,414,188
200803,481,313,142,174,470,232,243
200814,162,477,451,470,493,183,473
200825,217,20,195,322,113,340,258
200836,185,110,370,103,204,222,253
200847,309,408,307,432,116,371,481
200858,358,85,105,228,161,150,365
200869,495,136,412,232,156,34,227
200880,219,30,337,473,286,316,216
200891,160,233,414,279,460,30,84
200902,237,240,425,385,344,400,221
200913,426,225,352,458,369,4,17
200924,68,108,429,79,416,277,354
200935,471,427,394,480,6,153,131
200946,359,46,183,69,295,82,384
200957,234,424,187,261,354,57,485
200968,42,200,433,28,319,93,448
200979,256,109,137,450,203,236,299
200990,368,337,258,76,51,75,292
201001,417,45,218,216,113,97,462
201012,403,187,101,337,363,292,136
201023,487,21,253,36,273,203,49
201034,149,16,302,91,291,204,444
201045,151,278,432,491,166,86,370
201056,268,403,491,87,41,343,39
201067,371,378,71,450,15,179,297
201078,34,169,372,409,335,329,424
201089,427,98,356,395,265,3,285
201100,293,176,57,392,105,269,413
201111,473,269,446,180,482,349,496
201122,96,290,345,463,144,222,162
201133,143,25,344,356,112,497,423
201144,323,397,339,402,289,332,30
201155,96,243,197,320,425,190,31
201166,411,337,420,237,477,177,189
201177,240,26,236,243,291,78,100
