Date	Route	Distance_km	Duration_mins	Avg_Pace_min_per_km	Conditions	Notes
06/10/2025	Salthill prom and back	6.2	38	6:08	Overcast, 14C, light breeze	Good run. Legs felt heavy first km then settled.
09/10/2025	Salthill prom extended to Nimmo's Pier	8.4	51	6:04	Dry and cool, 12C	Went further than planned. Felt strong. Good day.
13/10/2025	Salthill prom and back	6.2	39	6:17	Light rain, 11C	Rain picked up on the way back. Still did it.
16/10/2025	Short loop, Grattan Road to Leisureland and back	4.8	29	6:03	Dry, 13C	On-call week recovery run. Kept it short.
20/10/2025	Salthill prom extended	7.5	46	6:08	Dry and bright, 10C	Autumn light is good. Best run of the month.
23/10/2025	Salthill prom and back	6.2	40	6:27	Light wind, 9C	Slower. Tired from long shift Tuesday.
28/10/2025	Salthill prom and back	6.2	38	6:08	Cold, 7C, dry	Good. Saw a seal at the Blackrock end.
31/10/2025	Salthill prom extended to Nimmo's Pier	8.1	50	6:10	Cold and clear, 6C	Halloween morning. Very quiet. Good run.
03/11/2025	Salthill prom and back	6.2	39	6:17	Rain, 9C	Wet but fine.
06/11/2025	Salthill prom and back	6.2	38	6:08	Dry, 8C	
10/11/2025	Salthill prom extended	7.8	48	6:09	Dry, wind from the Atlantic, 9C	Windy but manageable. Good.
14/11/2025	Short loop, Grattan Road and surrounding streets	4.2	26	6:11	Rain, 7C	Heavy rain. Cut it short. Right call.
17/11/2025	Salthill prom and back	6.2	39	6:17	Overcast, 8C	
20/11/2025	No run. Owen birthday gathering, Sunday.	0.0				
24/11/2025	Salthill prom and back	6.2	38	6:08	Cold and clear, 5C	Frost on the ground at 7am. Beautiful morning.
27/11/2025	Salthill prom extended to Nimmo's Pier	8.3	51	6:08	Cold, dry, 4C	Winter light. Gloves from now on.
01/12/2025	Salthill prom and back	6.2	40	6:27	Rain, 6C	
04/12/2025	No run. In Clifden for Dad's birthday.	0.0				
08/12/2025	Salthill prom and back	6.2	38	6:08	Cold, dry, 3C	
11/12/2025	Short loop	4.5	28	6:13	Rain and wind, 5C	Kept it short. Conditions weren't worth it.
15/12/2025	Salthill prom and back	6.2	39	6:17	Dry, 4C	Good run. Light fading fast by 4pm.
19/12/2025	Short loop	4.2	27	6:26	Wet, 6C	Pre-Christmas chaos. Something is better than nothing.
29/12/2025	Salthill prom and back	6.2	38	6:08	Dry and cold, 2C	Back in Galway from Christmas. Good to be out.
05/01/2026	Salthill prom and back	6.2	39	6:17	Cold, 3C, dry	New year. Same prom.
08/01/2026	Salthill prom extended	7.5	46	6:08	Cold, dry, 3C	
12/01/2026	Salthill prom and back	6.2	38	6:08	Overcast, 5C	
15/01/2026	Short loop	4.2	27	6:26	Rain, 6C	
19/01/2026	Salthill prom and back	6.2	39	6:17	Dry and cold, 2C	Coldest run of the winter. Worth it.
22/01/2026	Salthill prom extended to Nimmo's Pier	8.4	51	6:04	Cold and clear, 1C	
26/01/2026	Salthill prom and back	6.2	38	6:08	Overcast, 4C	
29/01/2026	Short loop	4.0	26	6:30	Rain, 5C	Busy week. Short but done.
02/02/2026	Salthill prom and back	6.2	39	6:17	Dry, 5C	
05/02/2026	Salthill prom extended	7.8	48	6:09	Dry and mild, 7C	Mild for February. Felt like the light is coming back.
09/02/2026	No run. Nina birthday, Ard Bia coffee and long lunch.	0.0			Rest day well spent.	
12/02/2026	Salthill prom and back	6.2	38	6:08	Rain, 6C	
16/02/2026	Salthill prom and back	6.2	39	6:17	Dry, 6C	
19/02/2026	Salthill prom extended to Nimmo's Pier	8.3	51	6:09	Dry, mild, 8C	Spring is coming.
23/02/2026	Salthill prom and back	6.2	38	6:08	Overcast, 7C	
26/02/2026	Short loop	4.2	27	6:26	Light rain, 6C	
10/10/2026	Salthill prom and back	6.2	39	6:17	Cool, 11C, dry	Back on regular schedule after busy summer and on-call catch-up.
13/10/2026	Salthill prom extended	7.5	47	6:16	Dry, 10C	Heavier than January. Need to build back up.
17/10/2026	Salthill prom and back	6.2	40	6:27	Overcast, 10C	
20/10/2026	Salthill prom and back	6.2	38	6:08	Cool and dry, 9C	Better.
24/10/2026	Salthill prom extended to Nimmo's Pier	8.0	50	6:15	Cold, 8C	
27/10/2026	Short loop	4.5	28	6:13	Rain, 7C	
31/10/2026	Salthill prom and back	6.2	39	6:17	Dry, 6C	Clocks back this weekend. Dark by 5pm.
03/11/2026	Salthill prom and back	6.2	38	6:08	Cold, 5C	
07/11/2026	No run. Masters intensive weekend, NUIG.	0.0			Module 3 intensive. Too tired to run.	
10/11/2026	Salthill prom and back	6.2	40	6:27	Rain, 6C	
14/11/2026	Salthill prom extended	7.5	47	6:16	Dry, 5C	
