# section,daily_traffic,range,2026-07-01 through 2026-10-27,note,First Baptist Paducah web analytics fall outreach cycle
date,sessions,unique_visitors,pageviews,avg_session_seconds,bounce_rate_pct,top_landing_page,top_search_term_internal
2026-07-01,159,121,338,101,29.6,/visit,baptism
2026-07-02,138,107,284,69,56.3,/search-results/error,easter service 2026
2026-07-03,160,115,527,74,40.7,/sermons/latest,communion
2026-07-04,55,46,184,248,44.8,/give,vbs 2026
2026-07-05,260,189,837,120,42.0,/search-results/error,easter service 2026
2026-07-06,160,125,454,116,37.0,/sermons/latest,christmas eve
2026-07-07,191,150,538,50,38.2,/give,youth ministry
2026-07-08,112,76,365,160,51.1,/give,service times
2026-07-09,141,115,362,194,42.5,/outreach,giving
2026-07-10,143,102,401,190,50.2,/,prayer requests
2026-07-11,84,66,174,245,52.8,/visit,youth ministry
2026-07-12,317,234,680,240,51.5,/about,service times
2026-07-13,108,90,244,192,56.5,/search-results/error,easter service 2026
2026-07-14,160,112,365,233,43.5,/search-results/error,easter service 2026
2026-07-15,154,119,519,111,38.3,/search-results/error,easter service 2026
2026-07-16,93,64,222,91,33.3,/give,map to church
2026-07-17,126,101,421,52,41.7,/,baptism
2026-07-18,47,37,115,65,33.1,/live,service times
2026-07-19,240,200,762,120,57.4,/sermons,giving
2026-07-20,90,67,225,66,55.7,/search-results/error,easter service 2026
2026-07-21,203,146,655,238,36.3,/about,pastor whitlow
2026-07-22,77,63,217,162,54.7,/search-results/error,easter service 2026
2026-07-23,165,137,441,149,39.4,/sermons/latest,outreach
2026-07-24,93,74,249,96,31.9,/live,map to church
2026-07-25,42,29,108,124,49.0,/,pastor whitlow
2026-07-26,296,210,837,78,40.2,/search-results/error,easter service 2026
2026-07-27,144,118,368,63,45.4,/events,sermon archive
2026-07-28,206,146,538,254,48.1,/search-results/error,easter service 2026
2026-07-29,149,116,472,89,34.6,/prayer-request,service times
2026-07-30,135,100,379,146,29.0,/give,youth ministry
2026-07-31,125,95,426,72,35.8,/visit,advent devotional
2026-08-01,45,35,135,110,55.7,/prayer-request,service times
2026-08-02,291,222,984,147,47.7,/sermons/latest,bulletin
2026-08-03,107,84,337,84,36.4,/about,giving
2026-08-04,213,171,614,68,48.1,/visit,youth ministry
2026-08-05,87,60,205,88,50.8,/about,christmas eve
2026-08-06,82,62,247,247,45.5,/sermons/latest,pastor whitlow
2026-08-07,134,94,328,61,35.9,/outreach,youth ministry
2026-08-08,73,60,192,236,54.9,/search-results/error,easter service 2026
2026-08-09,264,182,849,51,35.5,/visit,prayer requests
2026-08-10,121,92,270,199,44.6,/give,sermon archive
2026-08-11,180,139,598,145,29.7,/live,map to church
2026-08-12,131,102,362,206,56.3,/give,sermon archive
2026-08-13,123,101,406,145,32.2,/visit,prayer requests
2026-08-14,145,99,393,49,57.9,/outreach,pastor whitlow
2026-08-15,63,49,214,226,30.6,/search-results/error,easter service 2026
2026-08-16,258,207,817,198,29.3,/sermons/latest,christmas eve
2026-08-17,97,70,267,233,46.8,/about,vbs 2026
2026-08-18,204,140,705,102,38.8,/prayer-request,sermon archive
2026-08-19,77,60,166,124,35.6,/about,vbs 2026
2026-08-20,157,130,464,107,44.2,/visit,watchnight
2026-08-21,128,105,369,68,43.9,/search-results/error,easter service 2026
2026-08-22,89,71,266,144,48.8,/search-results/error,easter service 2026
2026-08-23,230,176,505,211,29.4,/live,giving
2026-08-24,116,92,305,81,30.6,/give,bulletin
2026-08-25,213,176,624,232,54.3,/visit,prayer requests
2026-08-26,150,109,476,56,29.5,/about,baptism
2026-08-27,110,87,221,208,34.0,/search-results/error,easter service 2026
2026-08-28,161,112,364,142,55.2,/give,christmas eve
2026-08-29,47,37,100,166,56.0,/sermons,outreach
2026-08-30,284,217,912,161,48.5,/search-results/error,easter service 2026
2026-08-31,141,112,359,118,46.6,/sermons,giving
2026-09-01,179,151,612,194,52.2,/about,service times
2026-09-02,128,98,372,106,48.4,/visit,communion
2026-09-03,98,67,273,180,31.3,/live,advent devotional
2026-09-04,125,101,433,252,51.3,/give,sermon archive
2026-09-05,67,56,136,241,31.0,/sermons/latest,watchnight
2026-09-06,276,233,735,95,31.7,/,christmas eve
2026-09-07,112,79,342,136,35.8,/search-results/error,easter service 2026
2026-09-08,212,152,645,244,33.9,/search-results/error,easter service 2026
2026-09-09,162,127,499,203,33.2,/,advent devotional
2026-09-10,148,123,497,112,46.6,/visit,vbs 2026
2026-09-11,109,79,376,165,41.7,/prayer-request,christmas eve
2026-09-12,87,59,194,66,57.4,/,service times
2026-09-13,268,216,724,80,45.6,/sermons,communion
2026-09-14,137,113,350,176,46.0,/outreach,watchnight
2026-09-15,204,172,539,83,43.3,/visit,christmas eve
2026-09-16,112,91,263,164,29.7,/sermons,communion
2026-09-17,119,81,288,121,30.5,/,vbs 2026
2026-09-18,134,98,304,83,49.6,/outreach,prayer requests
2026-09-19,79,60,161,144,48.3,/search-results/error,easter service 2026
2026-09-20,254,205,716,176,37.6,/outreach,baptism
2026-09-21,84,58,179,228,30.4,/give,map to church
2026-09-22,163,134,526,45,31.9,/search-results/error,easter service 2026
2026-09-23,165,139,354,180,43.2,/outreach,advent devotional
2026-09-24,120,90,251,107,31.0,/prayer-request,youth ministry
2026-09-25,146,118,342,163,36.7,/events,vbs 2026
2026-09-26,88,69,224,255,41.5,/live,service times
2026-09-27,305,207,724,161,31.6,/visit,advent devotional
2026-09-28,156,111,542,253,28.5,/sermons/latest,service times
2026-09-29,184,152,632,70,30.8,/outreach,outreach
2026-09-30,82,66,254,154,39.7,/outreach,giving
2026-10-01,159,112,507,203,36.8,/,bulletin
2026-10-02,136,100,309,176,43.0,/,sermon archive
2026-10-03,93,64,247,208,54.1,/outreach,outreach
2026-10-04,286,223,835,238,31.6,/search-results/error,easter service 2026
2026-10-05,180,138,542,251,45.3,/search-results/error,easter service 2026
2026-10-06,215,168,743,134,37.6,/visit,pastor whitlow
2026-10-07,158,121,395,223,42.6,/sermons/latest,prayer requests
2026-10-08,180,148,370,96,41.5,/events,service times
2026-10-09,180,149,407,256,57.4,/sermons,sermon archive
2026-10-10,77,56,161,128,37.2,/about,prayer requests
2026-10-11,327,222,1028,98,51.9,/sermons,youth ministry
2026-10-12,106,87,328,202,50.5,/search-results/error,easter service 2026
2026-10-13,222,156,519,93,30.3,/about,advent devotional
2026-10-14,146,117,483,241,55.9,/about,vbs 2026
2026-10-15,181,142,409,162,33.5,/sermons,service times
2026-10-16,122,92,351,115,38.5,/events,watchnight
2026-10-17,75,55,251,191,49.3,/about,bulletin
2026-10-18,272,215,730,91,51.4,/sermons/latest,watchnight
2026-10-19,96,68,287,210,41.4,/outreach,christmas eve
2026-10-20,167,122,471,150,40.7,/events,baptism
2026-10-21,139,97,366,213,50.6,/visit,communion
2026-10-22,154,114,514,245,52.2,/sermons,baptism
2026-10-23,96,70,204,212,36.3,/sermons,advent devotional
2026-10-24,74,57,232,173,39.9,/sermons/latest,christmas eve
2026-10-25,271,214,668,241,53.0,/outreach,pastor whitlow
2026-10-26,130,91,389,114,49.0,/events,giving
2026-10-27,194,156,393,182,54.2,/live,map to church

# section,monthly_funnel,note,Monthly funnel Jul through Oct 2026
month,visitors,viewed_sermon_page,played_video,viewed_giving_page,started_visitor_form,submitted_visitor_form,viewed_events_page,viewed_outreach_page,contacted_church
2026-07,3470,1356,756,554,241,97,756,285,107
2026-08,3453,1423,938,469,290,121,846,379,141
2026-09,3505,1485,926,550,246,105,941,344,115
2026-10,3354,1199,748,497,289,115,766,679,132

# footer,"Advent devotional feed traffic not captured, front-page link missing."
