trip_id	trip_date	launch_ramp	partner	boat	depart_time_ct	return_time_ct	water_temp_f	wind_mph	wind_dir	sky	moon_phase	total_crappie	total_bluegill	total_bass	total_catfish	kept	released	biggest_crappie_in	biggest_crappie_oz	primary_pattern	primary_lure	primary_depth_ft	notes_lower_case_because_chad_hates_shouty_notes
T-2026-01	2026-03-14	Kenlake Ramp 2	Dale	Ranger 1974	06:15	13:30	54	8	NW	overcast	waning gib	17	4	1	0	12	10	11.5	14	crappie in the cedars at 12 ft	Bobby Garland Baby Shad chart glow 1/16	12	first real trip of the year knees ached by noon
T-2026-02	2026-03-28	Sportsmans Anchor	Dale	Ranger 1974	05:45	14:00	58	4	SW	partly cloudy	new	22	2	0	1	14	11	11.75	15	spider rigging main channel drops	minnow + chartreuse tube 1/8	14	dale filleted his knees still hurt but less
T-2026-03	2026-04-11	Kenlake Ramp 2	Dale	Ranger 1974	05:30	13:00	62	11	S	sunny	waxing cres	14	6	0	0	9	11	12.25	16	post-spawn transitioning to first ledge	Bobby Garland Slab Slay'r blue ice 1/16	16	oldest fish of the year kept it for wall photo not mount
T-2026-04	2026-04-25	Blood River	Dale + Brett	Ranger 1974	06:00	12:30	66	6	W	overcast	full	9	11	2	0	11	11	11.0	13	shallow flats bluegill mixing in	minnow	4	brett drove up thursday night for it good day
T-2026-05	2026-05-09	Kenlake Ramp 2	Dale	Ranger 1974	05:30	11:00	72	13	S	partly cloudy	waning cres	11	3	0	0	7	7	11.5	14	getting hot dropping to 18 ft	pushed brush piles Charlie Brewer 1.5in	18	came home early left hand tired on the trolling motor pedal
T-2026-06	2026-05-30	Sportsmans Anchor	Dale	Ranger 1974	05:15	10:30	78	7	SW	sunny	full	6	2	1	0	5	4	11.25	13	deep summer pattern beginning	minnow + tightline	22	slow bite short trip too hot
T-2026-07	2026-06-13	Kenlake Ramp 2	Dale + Carter	Ranger 1974	06:00	10:00	82	5	E	sunny	waxing gib	4	18	0	0	11	11	10.5	11	carter wanted bluegill so we chased them	bee moth	3	carter caught 14 bluegill on his zebco and one small crappie he insisted on keeping laminated first-fish photo
T-2026-08	2026-06-27	Kenlake Ramp 2	Dale	Ranger 1974	05:15	09:30	85	10	SW	partly cloudy	full	3	4	2	1	4	6	11.75	14	brush 22-25 ft main lake	minnow	24	very hot norma made me quit early
T-2026-09	2026-07-11	Blood River	Dale	Ranger 1974	05:00	09:00	86	4	S	sunny	waning gib	5	2	0	0	3	4	11.5	13	deep summer	minnow + chartreuse tube	26	last summer trip before the ac replacement quote appts
T-2026-10	2026-08-15	Kenlake Ramp 2	Dale	Ranger 1974	05:30	09:30	83	9	NE	partly cloudy	waxing cres	7	3	1	0	5	6	11.0	12	first hint of cool front pattern shifting	Bobby Garland Baby Shad monkey milk 1/16	18	
T-2026-11	2026-09-05	Sportsmans Anchor	Dale	Ranger 1974	06:00	11:00	78	8	N	overcast	full	13	4	0	0	9	8	12.0	15	fall transition ledges 15 ft	Slab Slay'r pink lemonade	15	best fall day so far
T-2026-12	2026-09-19	Kenlake Ramp 2	Dale	Ranger 1974	06:15	12:00	73	6	NW	partly cloudy	waning gib	18	5	0	0	13	10	12.5	17	stacked on brush piles ledge	Bobby Garland Baby Shad chart glow	14	biggest fish of the year so far dale filleted them at the ramp
T-2026-13	2026-10-03	Kenlake Ramp 2	Dale	Ranger 1974	06:30	13:00	66	11	NW	overcast	new	16	3	1	0	12	8	12.0	16	classic fall in the cedars	Slab Slay'r blue ice	12	cold this morning gloves helped left hand grip
T-2026-14	2026-10-17	Blood River	Dale	Ranger 1974	06:30	13:30	62	7	W	partly cloudy	waxing gib	21	2	0	0	14	9	12.25	16	best day of the year cedars 10-14 ft	minnow + chartreuse tube	12	limit day between us dale said pre-tournament luck is a real thing
T-2026-15	2026-11-14	Kenlake Ramp 2 - TOURNAMENT	Dale	Ranger 1974	planned 05:30	planned 14:30								fall classic KLCC two-angler team	Bobby Garland Baby Shad chart glow + Slab Slay'r blue ice + minnow						pre-fished 10/17 pattern will work if front holds
year_summary	2026 season through 10/17								166	65	8	2	119	116	12.5	17				kept 119 across 14 trips 68% keeper rate biggest 12.5in / 17oz Sept 19 at Kenlake
