response_id,form_id,submitted_time,landed_time,completed
resp-salon-01,frm-salon-01,2026-10-16T09:15:00Z,2026-10-16T09:12:00Z,true
resp-salon-02,frm-salon-01,2026-10-16T14:30:00Z,2026-10-16T14:28:00Z,true
resp-salon-03,frm-salon-01,2026-10-17T11:20:00Z,2026-10-17T11:18:00Z,true
resp-salon-04,frm-salon-01,2026-10-17T18:45:00Z,2026-10-17T18:42:00Z,true
resp-salon-05,frm-salon-01,2026-10-18T10:05:00Z,2026-10-18T10:03:00Z,true
resp-salon-06,frm-salon-01,2026-10-19T15:30:00Z,2026-10-19T15:27:00Z,true
resp-salon-07,frm-salon-01,2026-10-21T09:10:00Z,2026-10-21T09:07:00Z,true
resp-salon-08,frm-salon-01,2026-10-24T13:25:00Z,2026-10-24T13:22:00Z,true
resp-salon-09,frm-salon-01,2026-10-26T20:00:00Z,2026-10-26T19:55:00Z,true
resp-salon-10,frm-salon-01,2026-10-30T21:15:00Z,2026-10-30T21:10:00Z,true
