Track,Artist,Album_Film,Year,Mood,Show_Playable
Tum Hi Ho,Arijit Singh,Aashiqui 2,2013,Romantic,Yes
Chaiyya Chaiyya,Sukhwinder Singh,Dil Se,1998,Energetic,Yes
Kal Ho Naa Ho,Sonu Nigam,Kal Ho Naa Ho,2003,Uplifting,Yes
Dil Se Re,A.R. Rahman,Dil Se,1998,Intense,Yes
Jai Ho,A.R. Rahman,Slumdog Millionaire,2008,Celebratory,Yes
Tere Bina,A.R. Rahman,Guru,2007,Soulful,Yes
Kun Faya Kun,A.R. Rahman,Rockstar,2011,Devotional,Yes
Balam Pichkari,Vishal Dadlani,Yeh Jawaani Hai Deewani,2013,Festive,Yes
Nagada Sang Dhol,Shreya Ghoshal,Goliyon Ki Raasleela,2013,Diwali vibe,Yes
Manwa Laage,Shreya Ghoshal,Happy New Year,2014,Warm,Yes
Badtameez Dil,Benny Dayal,Yeh Jawaani Hai Deewani,2013,Fun,Yes
Gallan Goodiyan,Shankar Mahadevan,Dil Dhadakne Do,2015,Party,Yes
Maahi Ve,A.R. Rahman,Highway,2014,Reflective,No - personal
Gerua,Arijit Singh,Dilwale,2015,Romantic,Yes
Khalibali,Shivam Pathak,Padmaavat,2018,High energy,Yes
