Task_ID,Title,Board,Priority,Due_Date,Status,Assigned_To,Created,Notes
TASK-001,Follow up with Allstate on Chen claim underpayment,Shop,High,2026-09-15,Overdue,Hari Jefferson,2026-09-02,$400 shortfall needs adjuster call
TASK-002,Order replacement Bondo - backorder from NAPA,Shop,Medium,2026-09-20,Overdue,Amit Sharma,2026-09-08,4 units still owed
TASK-003,Send Q3 reconciliation to accountant,Shop,High,2026-10-05,Open,Hari Jefferson,2026-09-25,Waiting on reconciliation completion
TASK-004,Confirm Ravi for BBQ grill duty,Shop,Medium,2026-10-03,Overdue,Hari Jefferson,2026-09-20,Text sent but no reply
TASK-005,Finalize BBQ invitation second wave,Shop,High,2026-10-01,Overdue,Maya Singh,2026-09-22,6+ customers still uninvited
TASK-006,Book Diwali episode guests,Radio,High,2026-09-30,Overdue,Hari Jefferson,2026-09-15,Emails received but not confirmed
TASK-007,Rebuild Diwali run sheet from template,Radio,Medium,2026-10-05,Open,Hari Jefferson,2026-09-25,Current sheet is stale
TASK-008,Respond to Patel Jewelers ad inquiry,Radio,Medium,2026-10-02,Overdue,Hari Jefferson,2026-09-28,Rate card not sent
TASK-009,Confirm Edison Savings Bank Q4 renewal,Radio,Low,2026-10-07,Open,Hari Jefferson,2026-09-20,Same terms $200/mo
TASK-010,Update shop website with fall hours,Shop,Low,2026-09-25,Overdue,Maya Singh,2026-09-10,
TASK-011,Schedule Ana's flu shot,Personal,Low,2026-10-15,Open,Hari Jefferson,2026-09-28,Dr Gupta's office
TASK-012,Get truck oil change,Personal,Low,2026-10-08,Open,Hari Jefferson,2026-09-20,Tacoma at 47K miles
TASK-013,Pay shop insurance quarterly,Shop,High,2026-10-01,Overdue,Hari Jefferson,2026-09-15,$485 due
TASK-014,Review and respond to new Yelp review,Shop,Medium,2026-10-02,Overdue,Hari Jefferson,2026-09-29,1-star review from Pete R.
TASK-015,Draft crew coverage note for Oct thin days,Shop,High,2026-10-01,Open,Hari Jefferson,2026-09-28,Oct 2-3 short staffed
