Invoice_ID,Date,Vendor,PO_Ref,Description,Qty,Unit_Price,Total,Status,Notes
INV-AZ-4412,2026-09-03,AutoZone,PO-SEP-078,Brake pads assorted,10,38.95,389.50,Paid,Matches PO
INV-AZ-4471,2026-09-06,AutoZone,PO-SEP-089,Brake rotors front,20,52.99,1059.80,Open,PRICE MISMATCH: PO says $45.99 x 20 = $919.80. Invoice $140 over.
INV-NAPA-8821,2026-09-08,NAPA,PO-SEP-095,Bondo body filler qt,8,15.50,124.00,Partial,"SHORT: ordered 12, received 8. Backorder pending."
INV-AZ-4490,2026-09-10,AutoZone,PO-SEP-098,Oil filters bulk,24,8.75,210.00,Paid,Matches PO
INV-LKQ-3301,2026-09-14,LKQ,PO-SEP-103,Fender assembly - Civic 4x,4,310.00,1240.00,Open,Delivered complete
INV-SW-2201,2026-09-04,Sherwin-Williams,PO-SEP-085,Clear coat gallon,4,57.00,228.00,Paid,
INV-NAPA-8835,2026-09-14,NAPA,PO-SEP-107,Sandpaper assorted grits,50,3.20,160.00,Paid,
INV-SW-2218,2026-09-18,Sherwin-Williams,PO-SEP-110,Basecoat custom mix,2,185.00,370.00,Paid,
INV-LKQ-3318,2026-09-22,LKQ,PO-SEP-112,Door panel Accord,2,275.00,550.00,Open,
INV-AZ-4505,2026-09-24,AutoZone,PO-SEP-115,Masking tape and supplies,1,89.00,89.00,Paid,
