ticket_id	title	assignee	priority	status	created	due	category
TK-001	Resolve Allstate Chen $400 ledger discrepancy	Hari	High	Open	2026-09-28	2026-10-04	Finance
TK-002	Follow up LKQ phantom invoice INV-LKQ-2026-0921	Maya	High	Open	2026-09-22	2026-10-01	Vendor
TK-003	Send BBQ reminder wave to uninvited customers	Hari	High	Open	2026-09-30	2026-10-05	Event
TK-004	Confirm tent delivery time with Garden State Party	Maya	Medium	Open	2026-09-29	2026-10-07	Event
TK-005	Draft Neela Patel reply confirmation for Diwali show	Hari	High	Open	2026-10-01	2026-10-03	Radio
TK-006	Draft Chef Arjun reply confirmation	Hari	High	Open	2026-10-01	2026-10-03	Radio
TK-007	Send Patel's Jewelers ad rate card	Sunita	Medium	Open	2026-09-28	2026-10-05	Radio
TK-008	Respond to new Yelp review REV-2026-089	Hari	Medium	Open	2026-09-29	2026-10-02	Customer
TK-009	Order replacement DA sander pads	Amit	Low	Open	2026-09-30	2026-10-07	Shop
TK-010	Schedule Reeves supplement inspection with Progressive	Maya	Medium	Open	2026-09-27	2026-10-03	Insurance
TK-011	Update NAPA about Bondo short delivery	Maya	Medium	Closed	2026-09-26	2026-09-28	Vendor
TK-012	File State Farm C-7712 final paperwork	Maya	Low	Open	2026-09-29	2026-10-10	Insurance
TK-013	Text Ravi about BBQ grill duty	Hari	Medium	Open	2026-10-01	2026-10-03	Event
TK-014	Review Q3 payroll totals before Oct 6 close	Hari	High	Open	2026-10-01	2026-10-05	Payroll
TK-015	Call Dad about BBQ catering quantities	Hari	Medium	Open	2026-10-01	2026-10-04	Event
TK-016	Check AutoZone PO-SEP-089 price discrepancy	Maya	High	Open	2026-09-30	2026-10-03	Vendor
TK-017	Update Diwali run sheet from template	Hari	Medium	Open	2026-10-01	2026-10-10	Radio
TK-018	Confirm Edison Savings Bank ad renewal terms	Sunita	Medium	Open	2026-09-28	2026-10-08	Radio
TK-019	Schedule Murphy estimate follow-up	Maya	Low	Open	2026-09-30	2026-10-07	Customer
TK-020	Prep staff schedule for week of Oct 5 considering PTO	Hari	High	Open	2026-10-01	2026-10-03	Staffing
TK-021	Order Kim supplement parts after approval	Maya	Medium	Waiting	2026-09-29	TBD	Parts
TK-022	Clean paint booth intake filters	Carlos	Low	Open	2026-09-30	2026-10-04	Maintenance
TK-023	Update QuickBooks with Sep vendor payments	Maya	Medium	Open	2026-09-30	2026-10-05	Finance
TK-024	Renew shop floor mats contract	Amit	Low	Open	2026-09-15	2026-10-15	Maintenance
TK-025	File Q3 NJ sales tax return	Hari	High	Open	2026-10-01	2026-10-20	Tax
