id,parent_type,parent_id,title,created_time,last_edited_time,created_by,archived,icon,cover_url
page-studio-root,workspace,workspace-farmer-studio,Farmer Studio Notebook,2023-04-15T10:05:00.000Z,2026-09-30T20:00:00.000Z,user-margaret,False,home,
page-kiln-log-current,database,db-kiln-log,Firing 2026-09-28 reduction cone ten,2026-09-28T18:00:00.000Z,2026-09-30T20:00:00.000Z,user-margaret,False,flame,
page-wood-ash-current,database,db-wood-ash,Wood-ash mountain cedar batch 07 current authoritative,2026-09-25T14:20:00.000Z,2026-09-30T09:00:00.000Z,user-margaret,False,leaf,
page-glaze-index,database,db-glaze-test,Glaze test index seasonal table,2026-08-01T09:00:00.000Z,2026-09-30T09:00:00.000Z,user-margaret,False,beaker,
page-kiln-log-001,database,db-kiln-log,Firing 2024-01-31 reduction cone ten result,2024-01-31T09:00:00Z,2024-02-01T09:00:00Z,user-margaret,False,flame,
page-kiln-log-002,database,db-kiln-log,Firing 2024-03-01 reduction cone ten result,2024-03-01T09:00:00Z,2024-03-02T09:00:00Z,user-margaret,False,flame,
page-kiln-log-003,database,db-kiln-log,Firing 2024-03-31 reduction cone ten result,2024-03-31T09:00:00Z,2024-04-01T09:00:00Z,user-margaret,False,flame,
page-kiln-log-004,database,db-kiln-log,Firing 2024-04-30 reduction cone ten result,2024-04-30T09:00:00Z,2024-05-01T09:00:00Z,user-margaret,False,flame,
page-kiln-log-005,database,db-kiln-log,Firing 2024-05-30 reduction cone ten result,2024-05-30T09:00:00Z,2024-05-31T09:00:00Z,user-margaret,False,flame,
page-kiln-log-006,database,db-kiln-log,Firing 2024-06-29 reduction cone ten result,2024-06-29T09:00:00Z,2024-06-30T09:00:00Z,user-margaret,False,flame,
page-kiln-log-007,database,db-kiln-log,Firing 2024-07-29 reduction cone ten result,2024-07-29T09:00:00Z,2024-07-30T09:00:00Z,user-margaret,False,flame,
page-kiln-log-008,database,db-kiln-log,Firing 2024-08-28 reduction cone ten result,2024-08-28T09:00:00Z,2024-08-29T09:00:00Z,user-margaret,False,flame,
page-kiln-log-009,database,db-kiln-log,Firing 2024-09-27 reduction cone ten result,2024-09-27T09:00:00Z,2024-09-28T09:00:00Z,user-margaret,False,flame,
page-kiln-log-010,database,db-kiln-log,Firing 2024-10-27 reduction cone ten result,2024-10-27T09:00:00Z,2024-10-28T09:00:00Z,user-margaret,False,flame,
page-kiln-log-011,database,db-kiln-log,Firing 2024-11-26 reduction cone ten result,2024-11-26T09:00:00Z,2024-11-27T09:00:00Z,user-margaret,False,flame,
page-kiln-log-012,database,db-kiln-log,Firing 2024-12-26 reduction cone ten result,2024-12-26T09:00:00Z,2024-12-27T09:00:00Z,user-margaret,False,flame,
page-kiln-log-013,database,db-kiln-log,Firing 2025-01-25 reduction cone ten result,2025-01-25T09:00:00Z,2025-01-26T09:00:00Z,user-margaret,False,flame,
page-kiln-log-014,database,db-kiln-log,Firing 2025-02-24 reduction cone ten result,2025-02-24T09:00:00Z,2025-02-25T09:00:00Z,user-margaret,False,flame,
page-kiln-log-015,database,db-kiln-log,Firing 2025-03-26 reduction cone ten result,2025-03-26T09:00:00Z,2025-03-27T09:00:00Z,user-margaret,False,flame,
page-kiln-log-016,database,db-kiln-log,Firing 2025-04-25 reduction cone ten result,2025-04-25T09:00:00Z,2025-04-26T09:00:00Z,user-margaret,False,flame,
page-kiln-log-017,database,db-kiln-log,Firing 2025-05-25 reduction cone ten result,2025-05-25T09:00:00Z,2025-05-26T09:00:00Z,user-margaret,False,flame,
page-kiln-log-018,database,db-kiln-log,Firing 2025-06-24 reduction cone ten result,2025-06-24T09:00:00Z,2025-06-25T09:00:00Z,user-margaret,False,flame,
page-kiln-log-019,database,db-kiln-log,Firing 2025-07-24 reduction cone ten result,2025-07-24T09:00:00Z,2025-07-25T09:00:00Z,user-margaret,False,flame,
page-kiln-log-020,database,db-kiln-log,Firing 2025-08-23 reduction cone ten result,2025-08-23T09:00:00Z,2025-08-24T09:00:00Z,user-margaret,False,flame,
page-kiln-log-021,database,db-kiln-log,Firing 2025-09-22 reduction cone ten result,2025-09-22T09:00:00Z,2025-09-23T09:00:00Z,user-margaret,False,flame,
page-kiln-log-022,database,db-kiln-log,Firing 2025-10-22 reduction cone ten result,2025-10-22T09:00:00Z,2025-10-23T09:00:00Z,user-margaret,False,flame,
page-kiln-log-023,database,db-kiln-log,Firing 2025-11-21 reduction cone ten result,2025-11-21T09:00:00Z,2025-11-22T09:00:00Z,user-margaret,False,flame,
page-kiln-log-024,database,db-kiln-log,Firing 2025-12-21 reduction cone ten result,2025-12-21T09:00:00Z,2025-12-22T09:00:00Z,user-margaret,False,flame,
page-kiln-log-025,database,db-kiln-log,Firing 2026-01-20 reduction cone ten result,2026-01-20T09:00:00Z,2026-01-21T09:00:00Z,user-margaret,False,flame,
page-kiln-log-026,database,db-kiln-log,Firing 2026-02-19 reduction cone ten result,2026-02-19T09:00:00Z,2026-02-20T09:00:00Z,user-margaret,False,flame,
