page_id,property_name,property_type,value
page-kiln-log-current,Cone,number,10
page-kiln-log-current,PeakTempC,number,1290
page-kiln-log-current,Atmosphere,select,reduction
page-kiln-log-current,HoldMinutes,number,45
page-kiln-log-current,Status,select,complete
page-wood-ash-current,Batch,title,mountain-cedar-07
page-wood-ash-current,AshPercent,number,40
page-wood-ash-current,FeldsparPercent,number,35
page-wood-ash-current,BodyPercent,number,25
page-glaze-index,TestId,title,GT-2026-index
page-glaze-index,PassRate,number,0.72
page-kiln-log-001,Cone,number,10
page-kiln-log-001,PeakTempC,number,1290
page-kiln-log-001,Atmosphere,select,reduction
page-kiln-log-001,HoldMinutes,number,45
page-kiln-log-001,Status,select,complete
page-kiln-log-002,Cone,number,10
page-kiln-log-002,PeakTempC,number,1290
page-kiln-log-002,Atmosphere,select,reduction
page-kiln-log-002,HoldMinutes,number,45
page-kiln-log-002,Status,select,complete
page-kiln-log-003,Cone,number,10
page-kiln-log-003,PeakTempC,number,1290
page-kiln-log-003,Atmosphere,select,reduction
page-kiln-log-003,HoldMinutes,number,45
page-kiln-log-003,Status,select,complete
page-kiln-log-004,Cone,number,10
page-kiln-log-004,PeakTempC,number,1290
page-kiln-log-004,Atmosphere,select,reduction
page-kiln-log-004,HoldMinutes,number,45
page-kiln-log-004,Status,select,complete
page-kiln-log-005,Cone,number,10
page-kiln-log-005,PeakTempC,number,1290
page-kiln-log-005,Atmosphere,select,reduction
page-kiln-log-005,HoldMinutes,number,45
page-kiln-log-005,Status,select,complete
page-kiln-log-006,Cone,number,10
page-kiln-log-006,PeakTempC,number,1290
page-kiln-log-006,Atmosphere,select,reduction
page-kiln-log-006,HoldMinutes,number,45
page-kiln-log-006,Status,select,complete
page-kiln-log-007,Cone,number,10
page-kiln-log-007,PeakTempC,number,1290
page-kiln-log-007,Atmosphere,select,reduction
page-kiln-log-007,HoldMinutes,number,45
page-kiln-log-007,Status,select,complete
page-kiln-log-008,Cone,number,10
page-kiln-log-008,PeakTempC,number,1290
page-kiln-log-008,Atmosphere,select,reduction
page-kiln-log-008,HoldMinutes,number,45
page-kiln-log-008,Status,select,complete
page-kiln-log-009,Cone,number,10
page-kiln-log-009,PeakTempC,number,1290
page-kiln-log-009,Atmosphere,select,reduction
page-kiln-log-009,HoldMinutes,number,45
page-kiln-log-009,Status,select,complete
page-kiln-log-010,Cone,number,10
page-kiln-log-010,PeakTempC,number,1290
page-kiln-log-010,Atmosphere,select,reduction
page-kiln-log-010,HoldMinutes,number,45
page-kiln-log-010,Status,select,complete
page-kiln-log-011,Cone,number,10
page-kiln-log-011,PeakTempC,number,1290
page-kiln-log-011,Atmosphere,select,reduction
page-kiln-log-011,HoldMinutes,number,45
page-kiln-log-011,Status,select,complete
page-kiln-log-012,Cone,number,10
page-kiln-log-012,PeakTempC,number,1290
page-kiln-log-012,Atmosphere,select,reduction
page-kiln-log-012,HoldMinutes,number,45
page-kiln-log-012,Status,select,complete
page-kiln-log-013,Cone,number,10
page-kiln-log-013,PeakTempC,number,1290
page-kiln-log-013,Atmosphere,select,reduction
page-kiln-log-013,HoldMinutes,number,45
page-kiln-log-013,Status,select,complete
page-kiln-log-014,Cone,number,10
page-kiln-log-014,PeakTempC,number,1290
page-kiln-log-014,Atmosphere,select,reduction
page-kiln-log-014,HoldMinutes,number,45
page-kiln-log-014,Status,select,complete
page-kiln-log-015,Cone,number,10
page-kiln-log-015,PeakTempC,number,1290
page-kiln-log-015,Atmosphere,select,reduction
page-kiln-log-015,HoldMinutes,number,45
page-kiln-log-015,Status,select,complete
page-kiln-log-016,Cone,number,10
page-kiln-log-016,PeakTempC,number,1290
page-kiln-log-016,Atmosphere,select,reduction
page-kiln-log-016,HoldMinutes,number,45
page-kiln-log-016,Status,select,complete
page-kiln-log-017,Cone,number,10
page-kiln-log-017,PeakTempC,number,1290
page-kiln-log-017,Atmosphere,select,reduction
page-kiln-log-017,HoldMinutes,number,45
page-kiln-log-017,Status,select,complete
page-kiln-log-018,Cone,number,10
page-kiln-log-018,PeakTempC,number,1290
page-kiln-log-018,Atmosphere,select,reduction
page-kiln-log-018,HoldMinutes,number,45
page-kiln-log-018,Status,select,complete
page-kiln-log-019,Cone,number,10
page-kiln-log-019,PeakTempC,number,1290
page-kiln-log-019,Atmosphere,select,reduction
page-kiln-log-019,HoldMinutes,number,45
page-kiln-log-019,Status,select,complete
page-kiln-log-020,Cone,number,10
