Semester	Year	Course_Code	Course_Title	Credits	Status	Grade	Notes
Fall	2024	CS 101	Introduction to Computer Science	3	Completed	A-	
Fall	2024	MATH 151	Calculus I	4	Completed	B+	
Fall	2024	ENG 101	First-Year Writing	3	Completed	A	
Fall	2024	CS 102	Programming Fundamentals	3	Completed	A-	
Fall	2024	SOC 100	Social Problems	3	Completed	B	Gen-ed requirement
Spring	2025	CS 150	Computer Organization	3	Completed	B+	
Spring	2025	MATH 152	Calculus II	4	Completed	B	
Spring	2025	ENG 200	Writing and Research	3	Completed	A	
Spring	2025	PHIL 101	Critical Thinking	3	Completed	A-	Gen-ed requirement
Spring	2025	CS 105	Introduction to Web Development	3	Completed	B+	
Fall	2025	CS 201	Data Structures and Algorithms	3	Withdrawn	W	Medical withdrawal - retaking Spring 2026
Fall	2025	CS 202	Computer Architecture	3	Completed	B+	
Fall	2025	MATH 231	Discrete Mathematics	3	Completed	B	Retaking Spring 2026 to strengthen foundation
Fall	2025	CS 210	Software Engineering I	3	Completed	A-	
Fall	2025	PSYCH 100	Introduction to Psychology	3	Completed	A	Gen-ed requirement
Spring	2026	CS 201	Data Structures and Algorithms (retake)	3	In Progress		CRN 71042
Spring	2026	MATH 231	Discrete Mathematics (retake)	3	In Progress		CRN 71083 - stronger grade target
Spring	2026	CS 211	Introduction to Systems	3	In Progress		CRN 71195
Spring	2026	SOC 101	Introduction to Sociology	3	In Progress		CRN 71334 - gen-ed elective
Fall	2026	CS 301	Algorithms and Complexity	3	Planned		Requires CS 201 completion
Fall	2026	CS 311	Operating Systems	3	Planned		Requires CS 211
Fall	2026	MATH 250	Linear Algebra	3	Planned		CS elective / math requirement
Fall	2026	CS 315	Database Systems	3	Planned		
Fall	2026	ENG 250	Technical Writing	3	Planned		Professional skills requirement
Spring	2027	CS 320	Computer Networks	3	Planned		Requires CS 211
Spring	2027	CS 330	Programming Languages	3	Planned		
Spring	2027	CS 340	Software Engineering II	3	Planned		Requires CS 210
Spring	2027	CS 350	Machine Learning Foundations	3	Planned		Elective
Spring	2027	GEN-ED	Humanities elective (TBD)	3	Planned		
Fall	2027	CS 401	Senior Capstone I	3	Planned		Requires senior standing
Fall	2027	CS 410	Computer Security	3	Planned		Elective
Fall	2027	CS 420	Distributed Systems	3	Planned		Elective
Fall	2027	GEN-ED	Social science elective (TBD)	3	Planned		
Fall	2027	CS 415	Human-Computer Interaction	3	Planned		Elective
Spring	2028	CS 402	Senior Capstone II	3	Planned		Requires CS 401
Spring	2028	CS 430	Advanced Algorithms	3	Planned		Elective
Spring	2028	CS 440	Cloud Computing	3	Planned		Elective
Spring	2028	GEN-ED	Arts elective (TBD)	3	Planned		
Spring	2028	CS elective	Open elective in CS (TBD)	3	Planned		
