uuid,owner,event_type,name,status,start_time,end_time,location_type,location,created_at,canceled_reason
sev-1001,user-brian-henderson,et-intro-15,Quick intro,active,2025-12-09T14:00:00.000000Z,2025-12-09T14:15:00.000000Z,zoom,https://zoom.us/j/8800000000,2025-12-01T00:00:00Z,
sev-1002,user-brian-henderson,et-discovery-30,Discovery call,canceled,2025-12-12T15:00:00.000000Z,2025-12-12T15:30:00.000000Z,google_conference,https://meet.google.com/0000007627,2025-11-30T00:00:00Z,Rescheduling — calendar conflict
sev-1003,user-brian-henderson,et-deepdive-60,Working session,active,2025-12-15T16:00:00.000000Z,2025-12-15T17:00:00.000000Z,zoom,https://zoom.us/j/8800002000,2025-11-30T00:00:00Z,
sev-1004,user-brian-henderson,et-followup-20,Follow-up,active,2025-12-18T17:00:00.000000Z,2025-12-18T17:20:00.000000Z,google_conference,https://meet.google.com/000003188e,2025-11-29T00:00:00Z,
sev-1005,user-brian-henderson,et-intro-15,Quick intro,active,2025-12-21T14:00:00.000000Z,2025-12-21T14:15:00.000000Z,zoom,https://zoom.us/j/8800004000,2025-11-28T00:00:00Z,
sev-1006,user-brian-henderson,et-discovery-30,Discovery call,active,2025-12-24T15:00:00.000000Z,2025-12-24T15:30:00.000000Z,google_conference,https://meet.google.com/00000cf5f4,2025-11-27T00:00:00Z,
se_950db71f5fe1,,et-amberfield-ph206,PH 206 Office Hours - problem set 5 review,active,2026-10-20T20:30:00Z,2026-10-20T21:00:00Z,physical,"Amberfield 204, in person after PH 206 class",2026-10-10T18:00:00Z,
se_a595768938eb,,et-first-gen-mentorship,Amberfield First-Gen STEM Mentorship - Alicia N.,active,2026-10-27T21:00:00Z,2026-10-27T21:45:00Z,zoom,Zoom,2026-10-13T18:00:00Z,
se_6ff0e7cc6868,,et-amberfield-ph206,PH 206 Office Hours - survival analysis follow-up,active,2026-10-27T20:30:00Z,2026-10-27T21:00:00Z,physical,Amberfield 204,2026-10-14T18:00:00Z,
sev-2000,user-brian-henderson,et-discovery-30,Discovery call,canceled,2026-07-23T19:00:00.000000Z,2026-07-23T19:30:00.000000Z,google_conference,https://meet.google.com/00001cbcf5,2026-07-23T00:00:00Z,Rescheduling - calendar conflict
sev-2001,user-brian-henderson,et-deepdive-60,Working session,active,2026-06-09T18:00:00.000000Z,2026-06-09T19:00:00.000000Z,zoom,https://zoom.us/j/8843751195,2026-06-09T00:00:00Z,
sev-2002,user-brian-henderson,et-intro-15,Quick intro,active,2026-05-06T14:00:00.000000Z,2026-05-06T14:15:00.000000Z,google_conference,https://meet.google.com/00003873f9,2026-05-06T00:00:00Z,
sev-2003,user-brian-henderson,et-discovery-30,Discovery call,active,2026-08-10T13:00:00.000000Z,2026-08-10T13:30:00.000000Z,google_conference,https://meet.google.com/0000f4dddd,2026-08-10T00:00:00Z,
sev-2004,user-brian-henderson,et-deepdive-60,Working session,active,2026-08-15T20:00:00.000000Z,2026-08-15T21:00:00.000000Z,zoom,https://zoom.us/j/8871535575,2026-08-15T00:00:00Z,
sev-2005,user-brian-henderson,et-deepdive-60,Working session,active,2026-07-06T16:00:00.000000Z,2026-07-06T17:00:00.000000Z,google_conference,https://meet.google.com/00001f2b5f,2026-07-06T00:00:00Z,
sev-2006,user-brian-henderson,et-discovery-30,Discovery call,canceled,2026-06-14T14:00:00.000000Z,2026-06-14T14:30:00.000000Z,zoom,https://zoom.us/j/8833291377,2026-06-14T00:00:00Z,Rescheduling - calendar conflict
sev-2007,user-brian-henderson,et-intro-15,Quick intro,active,2026-09-27T19:00:00.000000Z,2026-09-27T19:15:00.000000Z,zoom,https://zoom.us/j/8841222961,2026-09-27T00:00:00Z,
sev-2008,user-brian-henderson,et-deepdive-60,Working session,canceled,2026-09-23T16:00:00.000000Z,2026-09-23T17:00:00.000000Z,zoom,https://zoom.us/j/8870310782,2026-09-23T00:00:00Z,Rescheduling - calendar conflict
sev-2009,user-brian-henderson,et-followup-20,Follow-up,active,2026-08-04T14:00:00.000000Z,2026-08-04T14:20:00.000000Z,google_conference,https://meet.google.com/0000639a1e,2026-08-04T00:00:00Z,
sev-2010,user-brian-henderson,et-intro-15,Quick intro,active,2026-09-05T17:00:00.000000Z,2026-09-05T17:15:00.000000Z,google_conference,https://meet.google.com/00005dc016,2026-09-05T00:00:00Z,
sev-2011,user-brian-henderson,et-followup-20,Follow-up,active,2026-06-06T17:00:00.000000Z,2026-06-06T17:20:00.000000Z,google_conference,https://meet.google.com/00007b9ca5,2026-06-06T00:00:00Z,
sev-2012,user-brian-henderson,et-deepdive-60,Working session,active,2026-08-15T15:00:00.000000Z,2026-08-15T16:00:00.000000Z,google_conference,https://meet.google.com/0000bacc71,2026-08-15T00:00:00Z,
