pair,base,currency,amount
BTC-USD,BTC,USD,62000.00
ETH-USD,ETH,USD,2400.00
SOL-USD,SOL,USD,145.00
USDC-USD,USDC,USD,1.00
ADA-USD,ADA,USD,0.45
DOT-USD,DOT,USD,6.20
MATIC-USD,MATIC,USD,0.71
LINK-USD,LINK,USD,15.40
AVAX-USD,AVAX,USD,27.60
DOGE-USD,DOGE,USD,0.16
XRP-USD,XRP,USD,0.6100
BNB-USD,BNB,USD,598.20
ATOM-USD,ATOM,USD,9.40
ALGO-USD,ALGO,USD,0.2200
FIL-USD,FIL,USD,5.90
NEAR-USD,NEAR,USD,7.10
APT-USD,APT,USD,10.85
ARB-USD,ARB,USD,1.180
OP-USD,OP,USD,2.250
TRX-USD,TRX,USD,0.1290
