id,name,primary,type,currency_code,currency_name,balance_amount,native_balance_amount,native_currency,created_at,updated_at
6a618156-a0f7-9bbe-490c-ef78666685ed,BTC Wallet,true,wallet,BTC,Bitcoin,0.44132700,27362.27,USD,2024-12-25T00:00:00Z,2026-03-26T00:00:00Z
6d8ec764-c9a0-e18d-4dfa-48e36b74ad4d,ETH Wallet,false,wallet,ETH,Ethereum,0.20018300,480.44,USD,2025-02-23T00:00:00Z,2026-03-25T00:00:00Z
36841a5e-4bfc-b390-4d76-35386e0bffc7,USDC Wallet,false,wallet,USDC,USD Coin,83.33533400,83.34,USD,2025-10-24T00:00:00Z,2026-03-24T00:00:00Z
d16b949e-b86f-4ca7-4d4d-80069b95132e,SOL Wallet,false,wallet,SOL,Solana,1.34988700,195.73,USD,2025-12-23T00:00:00Z,2026-03-23T00:00:00Z
2b71c9d4-1a2b-3c4d-5e6f-7a8b9c0d1e2f,ADA Wallet,false,wallet,ADA,Cardano,1250.50000000,550.22,USD,2025-01-10T00:00:00Z,2026-03-20T00:00:00Z
3c82daed-2b3c-4d5e-6f70-8b9c0d1e2f30,DOT Wallet,false,wallet,DOT,Polkadot,340.20000000,2006.18,USD,2025-01-18T00:00:00Z,2026-03-22T00:00:00Z
4d93ebfe-3c4d-5e6f-7081-9c0d1e2f3041,MATIC Wallet,false,wallet,MATIC,Polygon,5600.00000000,1232.00,USD,2025-02-02T00:00:00Z,2026-03-18T00:00:00Z
5ea4fc0f-4d5e-6f70-8192-ad1e2f304152,LINK Wallet,false,wallet,LINK,Chainlink,210.75000000,3161.25,USD,2025-02-14T00:00:00Z,2026-03-24T00:00:00Z
6fb50d10-5e6f-7081-92a3-be2f30415263,AVAX Wallet,false,wallet,AVAX,Avalanche,88.40000000,3841.28,USD,2025-03-01T00:00:00Z,2026-03-19T00:00:00Z
70c61e21-6f70-8192-a3b4-cf3041526374,DOGE Wallet,false,wallet,DOGE,Dogecoin,15000.00000000,1935.00,USD,2025-03-12T00:00:00Z,2026-03-21T00:00:00Z
81d72f32-7081-92a3-b4c5-d04152637485,XRP Wallet,false,wallet,XRP,XRP,4200.00000000,2562.00,USD,2025-03-22T00:00:00Z,2026-03-15T00:00:00Z
92e83043-8192-a3b4-c5d6-e15263748596,BNB Wallet,false,wallet,BNB,BNB,12.30000000,7357.86,USD,2025-10-10T00:00:00Z,2026-03-17T00:00:00Z
a3f94154-92a3-b4c5-d6e7-f263748596a7,ATOM Wallet,false,wallet,ATOM,Cosmos,310.00000000,2914.00,USD,2025-10-20T00:00:00Z,2026-03-16T00:00:00Z
b40a5265-a3b4-c5d6-e7f8-03748596a7b8,ALGO Wallet,false,wallet,ALGO,Algorand,8900.00000000,1958.00,USD,2025-11-08T00:00:00Z,2026-03-14T00:00:00Z
c51b6376-b4c5-d6e7-f809-148596a7b8c9,FIL Wallet,false,wallet,FIL,Filecoin,145.60000000,859.04,USD,2025-11-11T00:00:00Z,2026-03-13T00:00:00Z
d62c7487-c5d6-e7f8-091a-2596a7b8c9da,NEAR Wallet,false,wallet,NEAR,NEAR Protocol,520.00000000,3692.00,USD,2025-12-02T00:00:00Z,2026-03-12T00:00:00Z
e73d8598-d6e7-f809-1a2b-36a7b8c9daeb,APT Wallet,false,wallet,APT,Aptos,410.00000000,4448.50,USD,2025-12-19T00:00:00Z,2026-03-11T00:00:00Z
f84e96a9-e7f8-091a-2b3c-47b8c9daebfc,ARB Wallet,false,wallet,ARB,Arbitrum,1800.00000000,2124.00,USD,2026-01-23T00:00:00Z,2026-03-10T00:00:00Z
095fa7ba-f809-1a2b-3c4d-58c9daebfc0d,OP Wallet,false,wallet,OP,Optimism,2100.00000000,4725.00,USD,2026-02-07T00:00:00Z,2026-03-09T00:00:00Z
1a60b8cb-091a-2b3c-4d5e-69daebfc0d1e,USDT Wallet,false,wallet,USDT,Tether,12500.00000000,12500.00,USD,2024-12-20T00:00:00Z,2026-03-25T00:00:00Z
