id,account_id,type,status,amount,currency,native_amount,native_currency,description,created_at
ad34e7b1-68ae-588d-4c43-bf078b7b5742,6a618156-a0f7-9bbe-490c-ef78666685ed,buy,completed,0.20666100,BTC,12812.98,USD,Buy 0.206661 BTC,2026-03-26T00:00:00Z
f420d2e0-16ea-d0a1-4236-a3bf3f72bd5b,6d8ec764-c9a0-e18d-4dfa-48e36b74ad4d,buy,completed,0.12905700,ETH,309.74,USD,Buy 0.129057 ETH,2026-03-21T00:00:00Z
c6c2ac7d-1e21-0b83-4adb-72f3b0134bb3,36841a5e-4bfc-b390-4d76-35386e0bffc7,send,completed,-0.02673700,USDC,-0.03,USD,Send 0.026737 USDC,2026-03-16T00:00:00Z
8f789525-f195-f684-49ec-fcf6ec89d712,d16b949e-b86f-4ca7-4d4d-80069b95132e,buy,completed,0.19396300,SOL,28.12,USD,Buy 0.193963 SOL,2026-03-11T00:00:00Z
055a205f-25b6-1ab7-4126-3a89ff91be1c,6a618156-a0f7-9bbe-490c-ef78666685ed,buy,completed,0.39215900,BTC,24313.86,USD,Buy 0.392159 BTC,2026-03-06T00:00:00Z
a8a4e254-70fe-f488-4ba1-dae90621386b,6d8ec764-c9a0-e18d-4dfa-48e36b74ad4d,send,completed,-0.01630000,ETH,-39.12,USD,Send 0.0163 ETH,2026-03-01T00:00:00Z
a5214927-fd71-b79a-44d6-050f6f7ee566,36841a5e-4bfc-b390-4d76-35386e0bffc7,buy,completed,0.19690200,USDC,0.20,USD,Buy 0.196902 USDC,2026-02-24T00:00:00Z
b7abc709-0d0c-1dac-44e1-225f8632ac4b,d16b949e-b86f-4ca7-4d4d-80069b95132e,buy,completed,0.06664900,SOL,9.66,USD,Buy 0.066649 SOL,2026-02-19T00:00:00Z
62c32352-7fba-aab0-4419-1b87e18e2658,6a618156-a0f7-9bbe-490c-ef78666685ed,send,completed,-0.35979800,BTC,-22307.48,USD,Send 0.359798 BTC,2026-02-14T00:00:00Z
54392111-74e6-d19c-4cce-2bfa22711543,6d8ec764-c9a0-e18d-4dfa-48e36b74ad4d,buy,completed,0.22082300,ETH,529.98,USD,Buy 0.220823 ETH,2026-02-09T00:00:00Z
1f2e3d4c-5b6a-7089-9a0b-1c2d3e4f5061,6d8ec764-c9a0-e18d-4dfa-48e36b74ad4d,buy,completed,0.15000000,ETH,567.00,USD,Buy 0.15 ETH,2026-02-04T00:00:00Z
2f3e4d5c-6b7a-8190-0a1b-2c3d4e5f6172,d16b949e-b86f-4ca7-4d4d-80069b95132e,buy,completed,5.00000000,SOL,875.00,USD,Buy 5 SOL,2026-01-30T00:00:00Z
3f4e5d6c-7b8a-9201-1a2b-3c4d5e6f7283,6a618156-a0f7-9bbe-490c-ef78666685ed,send,completed,0.05000000,BTC,3100.00,USD,Send 0.05 BTC,2026-01-25T00:00:00Z
4f5e6d7c-8b9a-0312-2a3b-4c5d6e7f8394,36841a5e-4bfc-b390-4d76-35386e0bffc7,buy,completed,500.00000000,USDC,500.00,USD,Buy 500 USDC,2026-01-20T00:00:00Z
5f6e7d8c-9b0a-1423-3a4b-5c6d7e8f94a5,6d8ec764-c9a0-e18d-4dfa-48e36b74ad4d,buy,completed,0.30000000,ETH,1134.00,USD,Buy 0.30 ETH,2026-01-14T00:00:00Z
6f7e8d9c-0b1a-2534-4a5b-6c7d8e9f05b6,6a618156-a0f7-9bbe-490c-ef78666685ed,buy,completed,0.10000000,BTC,6200.00,USD,Buy 0.10 BTC,2026-01-08T00:00:00Z
7f8e9d0c-1b2a-3645-5a6b-7c8d9e0f16c7,d16b949e-b86f-4ca7-4d4d-80069b95132e,send,completed,3.00000000,SOL,525.00,USD,Send 3 SOL,2025-12-28T00:00:00Z
8f9e0d1c-2b3a-4756-6a7b-8c9d0e1f27d8,36841a5e-4bfc-b390-4d76-35386e0bffc7,buy,completed,1000.00000000,USDC,1000.00,USD,Buy 1000 USDC,2025-12-18T00:00:00Z
9f0e1d2c-3b4a-5867-7a8b-9c0d1e2f38e9,6a618156-a0f7-9bbe-490c-ef78666685ed,buy,completed,0.08000000,BTC,4960.00,USD,Buy 0.08 BTC,2025-12-05T00:00:00Z
0f1e2d3c-4b5a-6978-8a9b-0c1d2e3f49f0,6d8ec764-c9a0-e18d-4dfa-48e36b74ad4d,send,completed,0.20000000,ETH,756.00,USD,Send 0.20 ETH,2025-11-22T00:00:00Z
