Restaurant	Cuisine	Address	Neighborhood	GF Kitchen	Dedicated Fryer	Notes	Last Visited	Rating
The Roosevelt	American / New Southern	623 N 25th St, Richmond, VA 23223	Church Hill	Yes	Yes	Kitchen takes celiac seriously. Staff trained. Ask for GF menu at seating. Confirmed with chef in 2024.	2025-12-14	5/5
Stella's Grocery	Mediterranean	1012 Lafayette St, Richmond, VA 23221	Museum District	Yes	Yes	*Regular rotation. Nearly everything GF by default. Owner has celiac family member. Ask to confirm sauces.	2025-11-01	5/5
Coppola's Deli	Italian	2900 W Cary St, Richmond, VA 23221	Carytown	Partial	No	GF pasta available but kitchen is not dedicated. Go at off-peak for lower cross-contact risk. Not for bad-flare periods.	2025-10-18	3/5
Max's on Broad	Burgers	3057 W Broad St, Richmond, VA 23230	Scott's Addition	Yes	Yes	*GF bun available, dedicated fryer for GF fries. Staff reliable. Good for Nate outings.	2025-12-20	4.5/5
Spice N Dice	Indian	3457 Mayland Ct, Richmond, VA 23233	West End	Yes	No	Rice-based dishes are GF. Dal, tikka, biryani. Confirm no wheat in marinade each visit. Good standby for Sunday takeout.	2025-11-22	4/5
Luce	Italian	24 E Main St, Richmond, VA 23219	Downtown	Partial	No	Some GF pasta. Kitchen is mixed. Not worth the risk unless eating simple protein and vegetables. Weekend crowds make staff communication harder.	2025-02-08	2.5/5
Fuzzy Cactus	Mexican	3045 W Cary St, Richmond, VA 23221	Carytown	Yes	No	Corn tortillas, GF-flagged menu. Cross-contact possible at chips station. Ask staff to change gloves. We eat here semi-regularly -- has been fine.	2025-10-25	4/5
Sub Rosa Bakery	Bakery / Bread	620 N 25th St, Richmond, VA 23223	Church Hill	No	N/A	All wheat, all sourdough. Obviously not for eating. Sometimes stop to talk shop with the bakers.	N/A	N/A
Tazza Kitchen	New American	3 E Broad St, Richmond, VA 23219	Downtown	Yes	Yes	Full GF menu available. Staff well-trained. Good for business dinners.	2024-11-15	4.5/5
Saison	New American	23 W Marshall St, Richmond, VA 23220	Carver	Yes	Yes	Upscale, attentive. Best for anniversary or special occasion. Called ahead for reservations -- chef confirmed all protocols.	2024-06-20	5/5
Bien Peru	Peruvian	2929 W Broad St, Richmond, VA 23230	Scott's Addition	Yes	No	Ceviche, rice dishes, most proteins naturally GF. Avoid fried items -- shared oil. Good Sunday option.	2025-12-07	4/5
Thai Kitchen	Thai	4620 Forest Hill Ave, Richmond, VA 23225	Forest Hill	No	No	Soy sauce in most dishes. Cross-contact risk high. Added here as a reminder to avoid. February 2025 flare traced here (likely).	2025-02-01	1/5
