Date	Loaf Name	Flour Blend	Hydration %	Starter %	Salt %	Bulk Ferment (hrs)	Fridge Retard (hrs)	Bake Temp (F)	Steam	Crust	Crumb	Overall	Notes
2025-01-04	Plain Ruth Country	100% bread flour	75	20	2.0	5.5	14	500	yes	thick, blistered	open, chewy	4/5	Benchmark loaf. Reliable.
2025-01-11	Whole Wheat 20	80% bread / 20% WW	76	20	2.1	6.0	14	500	yes	medium, matte	slightly denser, nutty	4/5	20% WW adds flavor without sacrificing too much lift
2025-01-18	Einkorn 15	85% bread / 15% einkorn	73	18	2.0	5.0	16	495	yes	thin, blistered	open, sweet finish	5/5	Best batch in weeks. Einkorn adds complexity. Repeat.
2025-01-25	High Hydration Experiment	100% bread flour	82	20	2.0	6.5	18	505	yes	blistered	very open, gummy near crust	3/5	Too wet. Shaping difficult. Back to 78% max for HH experiments.
2025-02-01	Seeded Rye Dark	60% bread / 40% dark rye	78	22	2.2	7.0	12	490	yes	dark, crackly	tight, slightly gummy	3.5/5	40% rye is the ceiling before it goes gummy. Sweet spot at 30%.
2025-02-08	Oat Porridge	90% bread / 10% oat flour + cooked oat porridge	80	20	2.0	6.0	14	500	yes	medium, matte	custardy, moist	5/5	Porridge addition transforms crumb. Adding to Tuesday rotation.
2025-02-15	Cinnamon Currant	100% bread flour + 12% currants + cinnamon	74	18	1.9	5.5	14	490	no	thin, soft	tight, sweet	4/5	No steam -- softer crust works for enriched dough. Good seller.
2025-02-22	Einkorn 25	75% bread / 25% einkorn	71	18	2.0	5.0	16	495	yes	thin, pale	tight, sweet, low volume	2.5/5	25% einkorn killed oven spring. Weak gluten network. Stay at 15%.
2025-11-01	Einkorn 15 Repeat	85% bread / 15% einkorn	73	18	2.0	5.0	14	495	yes	blistered, thin	open, sweet	4.5/5	Consistent with January batch. Ruth is strong this time of year.
2025-11-08	Blood Orange Polenta (loaf trial)	80% bread / 20% fine polenta + zest	72	18	1.9	5.5	14	490	no	soft, golden	tight, moist	4/5	Polenta adds texture and color. Works better as cake. Converted recipe.
2025-11-15	High Hydration Repeat 78	100% bread flour	78	20	2.0	6.0	16	500	yes	blistered	open, airy	4.5/5	78% is the sweet spot for open crumb without shaping problems.
2025-11-22	Seeded Rye 30	70% bread / 30% dark rye + caraway	76	22	2.2	7.5	12	490	yes	dark, crackly	tight, moist	4.5/5	30% rye with caraway is the Friday standard. Stop experimenting upward.
2025-12-06	Holiday Spice	100% bread flour + cardamom + anise	74	18	1.9	5.5	14	488	no	soft, pale	medium, fragrant	3.5/5	Novelty seasonal. Not complex enough. Better as a roll than loaf.
2026-01-10	Ruth After Refresh	100% bread flour	75	20	2.0	5.5	14	500	yes	thick, blistered	open, balanced	4.5/5	Ruth fed twice before this batch after the holiday slowdown. Back to peak.
2026-02-07	Emmer Wheat 20	80% bread / 20% emmer	74	18	2.0	5.5	16	495	yes	thin, blistered	open, nutty, slightly dense	4/5	Emmer has more body than einkorn. Lower hydration needed. Try 72% next.
