Date	Item	Description	Reported by	Handled by	Cost	Status	Notes
2023-10-12	Bathroom faucet	Slow drip from hot water handle, getting worse	Aiden	Landlord (plumber sent)	$0 (landlord)	Resolved 2023-10-18	Plumber replaced washer. Fixed same week. Landlord responsive.
2023-11-20	Kitchen outlet	One outlet near stove not working after circuit trip	Nate	Landlord (electrician)	$0 (landlord)	Resolved 2023-12-01	Loose wire in the panel. Fixed. No cost to us.
2024-01-15	Heating unit	Baseboard heater in bedroom not cycling on	Aiden	Landlord (HVAC)	$0 (landlord)	Resolved 2024-01-22	Replaced thermostat on unit. A week without heat in that room -- cold January. Landlord apologized.
2024-03-04	Back porch door	Porch door sticks badly, won't close flush in the rain	Nate	Nate (self-fix)	$12 (materials)	Resolved 2024-03-08	Nate planed the bottom edge and refinished it. Works fine now.
2024-04-19	Bathroom grout	Grout cracking and discoloring along shower pan	Aiden	Landlord (contractor)	$0 (landlord)	Resolved 2024-05-10	Contractor re-grouted the pan. Took longer than expected but clean now.
2024-06-28	GF prep area shelf	Added a wall shelf in the kitchen for the dedicated GF prep area	Aiden	Aiden and Nate	$48 (IKEA shelf + brackets)	Completed	Installed with landlord verbal approval. Reversible mounting.
2024-08-10	Window AC leak	Window unit in living room dripping condensate inside	Nate	Nate	$0	Resolved 2024-08-11	Nate re-seated the unit and adjusted tilt. No drip since.
2024-09-03	Refrigerator	Fridge door seal starting to pull away at bottom left corner	Aiden	Landlord	$0 (landlord)	Resolved 2024-09-18	Landlord provided a new gasket. Nate installed it. Works.
2024-10-22	Parking space	Neighbor's car repeatedly in our assigned rear space	Nate	Landlord (written notice)	$0	Resolved 2024-11-01	Landlord put up a sign. Has not been a recurring issue.
2024-12-09	Kitchen light	Overhead kitchen light fixture humming and flickering	Aiden	Landlord (electrician)	$0 (landlord)	Resolved 2024-12-14	Ballast replaced. Fixed.
2025-01-18	Hallway light bulb	Hall bulb out (our responsibility per lease)	Nate	Nate	$4	Resolved 2025-01-18	Swapped to LED. Done same day.
2025-02-26	Water pressure	Low water pressure in kitchen sink, normal elsewhere	Nate	Nate	$8 (aerator)	Resolved 2025-02-26	Aerator clogged with mineral buildup. Replaced. Normal pressure restored.
2025-04-14	Porch railing	One section of back porch railing loose, slightly wobbly	Aiden	Landlord	$0 (landlord)	Resolved 2025-04-28	Landlord contractor re-fastened the balusters. Safe.
2025-05-30	HVAC filter	Seasonal HVAC filter change (our responsibility per lease)	Nate	Nate	$14 (two filters)	Completed	Nate keeps these on a quarterly rotation.
2025-07-04	Bathroom exhaust fan	Fan working but loud/rattling	Nate	Landlord	$0 (landlord)	Resolved 2025-07-20	Landlord took a while. Eventually sent someone. Fan replaced.
2025-08-22	Sourdough shelf reinforcement	Reinforced the counter shelf where Ruth's jar sits -- wobbled when leaned on	Aiden	Aiden	$0 (tightened existing screws)	Resolved 2025-08-22	Screws on the shelf bracket were loose. Tightened in 5 minutes.
2025-09-15	HVAC filter	Quarterly filter change	Nate	Nate	$14	Completed	
2025-11-03	Exterior light	Porch light bulb out -- exterior, landlord fixture	Aiden	Reported to landlord	$0 (pending)	Pending	Landlord acknowledged via text. Waiting on repair.
2025-12-07	Kitchen faucet	Mild drip from cold water side -- same fixture as 2023 repair	Nate	Reported to landlord	$0 (pending)	In progress	Landlord aware. Plumber scheduled for December 15.
2025-12-15	Kitchen faucet	Follow-up on faucet repair	Nate	Landlord (plumber)	$0	Resolved 2025-12-15	Plumber re-repaired. Same washer. Landlord agreed to replace the whole faucet -- scheduled for January 2026.
2026-01-09	Kitchen faucet replacement	Landlord replaced kitchen faucet fully	Nate	Landlord (plumber)	$0 (landlord)	Resolved 2026-01-09	New single-handle faucet. Works perfectly. No more drips.
2026-01-28	HVAC filter	Quarterly filter change	Nate	Nate	$14	Completed	Using higher MERV rating this time for air quality.
2026-02-14	Back porch light	Exterior porch light replaced (our bulb responsibility)	Nate	Nate	$6 (LED bulb)	Completed	
