Product	Unit	SEF Unit Price	Millstone Unit Price	Difference	% Difference	Preferred	Notes
Bread flour (50lb bag)	bag	28.40	26.10	-2.30	-8.1%	Millstone	Millstone consistently cheaper on bread flour. Biggest volume item.
Whole wheat flour (50lb bag)	bag	31.20	29.80	-1.40	-4.5%	Millstone	Millstone cheaper. Same protein range (12.5%).
Dark rye flour (25lb bag)	bag	24.80	27.40	2.60	10.5%	SEF	SEF better on rye. Millstone rye too coarse for bakery production.
Einkorn flour (10lb bag)	bag	18.90	21.50	2.60	13.8%	SEF	SEF einkorn is significantly cheaper. Quality similar.
Fine polenta (10lb bag)	bag	9.40	10.80	1.40	14.9%	SEF	Small volume item -- minor.
Oat flour (25lb bag)	bag	16.20	15.90	-0.30	-1.9%	Millstone	Negligible difference. Millstone slightly cheaper.
Sea salt fine (5lb bag)	bag	6.80	7.10	0.30	4.4%	SEF	Marginal. SEF slightly cheaper.
Active dry yeast (1lb)	lb	4.20	4.75	0.55	13.1%	SEF	Yeast is a small-volume item -- stick with SEF relationship.
Sesame seeds (5lb bag)	bag	11.40	12.60	1.20	10.5%	SEF	SEF better on seeds.
Caraway seeds (5lb bag)	bag	10.80	12.20	1.40	13.0%	SEF	SEF better on seeds.
Sunflower seeds (5lb bag)	bag	7.90	7.60	-0.30	-3.8%	Millstone	Marginal -- go with Millstone for bulk order consolidation.
Currants (5lb bag)	bag	14.20	16.80	2.60	18.3%	SEF	SEF significantly cheaper on dried fruit inclusions.
GF rice flour (25lb bag)	bag	22.80	24.10	1.30	5.7%	SEF	SEF better on GF ingredients -- important line.
GF tapioca starch (10lb bag)	bag	12.40	14.20	1.80	14.5%	SEF	SEF better on GF ingredients.
GF oat flour (10lb bag)	bag	15.60	17.80	2.20	14.1%	SEF	SEF wins clearly on GF oats. Millstone GF oat tested positive for trace gluten in 2024 -- do not use Millstone for GF line.
Almond flour (5lb bag)	bag	18.70	19.40	0.70	3.7%	SEF	Minor difference. SEF preferred for GF line consistency.
