id,name,vanityName,industry,website,location,staffCountRange,followerCount,description
linkedin_organizations_1000,Linkedin item 0,Linkedin item 0,industry_0,website_0,location_0,3847,785,description_0
linkedin_organizations_1001,Linkedin item 1,Linkedin item 1,industry_1,website_1,location_1,2543,3540,description_1
linkedin_organizations_1002,Linkedin item 2,Linkedin item 2,industry_2,website_2,location_2,1721,2650,description_2
linkedin_organizations_1003,Linkedin item 3,Linkedin item 3,industry_3,website_3,location_3,4985,10,description_3
linkedin_organizations_1004,Linkedin item 4,Linkedin item 4,industry_4,website_4,location_4,1816,523,description_4
linkedin_organizations_1005,Linkedin item 5,Linkedin item 5,industry_5,website_5,location_5,839,3039,description_5
linkedin_organizations_1006,Linkedin item 6,Linkedin item 6,industry_6,website_6,location_6,3714,1443,description_6
linkedin_organizations_1007,Linkedin item 7,Linkedin item 7,industry_7,website_7,location_7,1048,1761,description_7
linkedin_organizations_1008,Linkedin item 8,Linkedin item 8,industry_8,website_8,location_8,3828,252,description_8
linkedin_organizations_1009,Linkedin item 9,Linkedin item 9,industry_9,website_9,location_9,4425,4211,description_9
linkedin_organizations_1010,Linkedin item 10,Linkedin item 10,industry_10,website_10,location_10,4539,4223,description_10
linkedin_organizations_1011,Linkedin item 11,Linkedin item 11,industry_11,website_11,location_11,2595,194,description_11
linkedin_organizations_1012,Linkedin item 12,Linkedin item 12,industry_12,website_12,location_12,319,4685,description_12
linkedin_organizations_1013,Linkedin item 13,Linkedin item 13,industry_13,website_13,location_13,3174,300,description_13
linkedin_organizations_1014,Linkedin item 14,Linkedin item 14,industry_14,website_14,location_14,1610,662,description_14
linkedin_organizations_1015,Linkedin item 15,Linkedin item 15,industry_15,website_15,location_15,1580,4145,description_15
linkedin_organizations_1016,Linkedin item 16,Linkedin item 16,industry_16,website_16,location_16,896,1668,description_16
linkedin_organizations_1017,Linkedin item 17,Linkedin item 17,industry_17,website_17,location_17,1609,3823,description_17
linkedin_organizations_1018,Linkedin item 18,Linkedin item 18,industry_18,website_18,location_18,2053,595,description_18
linkedin_organizations_1019,Linkedin item 19,Linkedin item 19,industry_19,website_19,location_19,2020,2164,description_19
linkedin_organizations_1020,Linkedin item 20,Linkedin item 20,industry_20,website_20,location_20,1114,3065,description_20
linkedin_organizations_1021,Linkedin item 21,Linkedin item 21,industry_21,website_21,location_21,1421,3382,description_21
linkedin_organizations_1022,Linkedin item 22,Linkedin item 22,industry_22,website_22,location_22,4003,2251,description_22
linkedin_organizations_1023,Linkedin item 23,Linkedin item 23,industry_23,website_23,location_23,4516,4914,description_23
linkedin_organizations_1024,Linkedin item 24,Linkedin item 24,industry_24,website_24,location_24,4282,1391,description_24
linkedin_organizations_1025,Linkedin item 25,Linkedin item 25,industry_25,website_25,location_25,2353,4845,description_25
linkedin_organizations_1026,Linkedin item 26,Linkedin item 26,industry_26,website_26,location_26,1558,2390,description_26
linkedin_organizations_1027,Linkedin item 27,Linkedin item 27,industry_27,website_27,location_27,3420,4754,description_27
linkedin_organizations_1028,Linkedin item 28,Linkedin item 28,industry_28,website_28,location_28,3040,2188,description_28
