id,name,description,type,created
00g001teach,All Teaching Staff,Ridgewood teaching staff,OKTA_GROUP,2022-08-15T08:00:00.000Z
00g002admin,School Administration,Principal and vice principals,OKTA_GROUP,2022-08-15T08:00:00.000Z
00g003office,Office and Support,Office and support staff,OKTA_GROUP,2022-08-15T08:00:00.000Z
00g004custod,Custodial and Facilities,Custodial staff,OKTA_GROUP,2022-08-15T08:00:00.000Z
00g005equity,Equity Committee,Equity and Inclusion working group,OKTA_GROUP,2024-09-01T08:00:00.000Z
00g006wellns,Wellness Committee,Staff Wellness Initiative group,OKTA_GROUP,2024-09-01T08:00:00.000Z
00g006dept,Arts Department 6,Access group for arts department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-08-21T08:00:00.000Z
00g007dept,Technology Department 7,Access group for technology department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-08-22T08:00:00.000Z
00g008dept,Guidance Department 8,Access group for guidance department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-08-23T08:00:00.000Z
00g009dept,Special Education Department 9,Access group for special education department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-08-24T08:00:00.000Z
00g010dept,Library Staff 10,Access group for library staff at Ridgewood Collegiate Institute,OKTA_GROUP,2022-08-25T08:00:00.000Z
00g011dept,Facilities Team 11,Access group for facilities team at Ridgewood Collegiate Institute,OKTA_GROUP,2022-08-26T08:00:00.000Z
00g012dept,First Aid Responders 12,Access group for first aid responders at Ridgewood Collegiate Institute,OKTA_GROUP,2022-08-27T08:00:00.000Z
00g013dept,Fire Wardens 13,Access group for fire wardens at Ridgewood Collegiate Institute,OKTA_GROUP,2022-08-28T08:00:00.000Z
00g014dept,Field Trip Leads 14,Access group for field trip leads at Ridgewood Collegiate Institute,OKTA_GROUP,2022-08-29T08:00:00.000Z
00g015dept,Clubs and Councils 15,Access group for clubs and councils at Ridgewood Collegiate Institute,OKTA_GROUP,2022-08-30T08:00:00.000Z
00g016dept,Athletics Coaches 16,Access group for athletics coaches at Ridgewood Collegiate Institute,OKTA_GROUP,2022-08-31T08:00:00.000Z
00g017dept,Parent Liaisons 17,Access group for parent liaisons at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-01T08:00:00.000Z
00g018dept,Data Stewards 18,Access group for data stewards at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-02T08:00:00.000Z
00g019dept,Emergency Contacts 19,Access group for emergency contacts at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-03T08:00:00.000Z
00g020dept,English Department 20,Access group for english department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-04T08:00:00.000Z
00g021dept,Mathematics Department 21,Access group for mathematics department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-05T08:00:00.000Z
00g022dept,Science Department 22,Access group for science department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-06T08:00:00.000Z
00g023dept,Social Studies Department 23,Access group for social studies department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-07T08:00:00.000Z
00g024dept,French Department 24,Access group for french department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-08T08:00:00.000Z
00g025dept,Physical Education Department 25,Access group for physical education department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-09T08:00:00.000Z
00g026dept,Arts Department 26,Access group for arts department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-10T08:00:00.000Z
00g027dept,Technology Department 27,Access group for technology department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-11T08:00:00.000Z
00g028dept,Guidance Department 28,Access group for guidance department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-12T08:00:00.000Z
00g029dept,Special Education Department 29,Access group for special education department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-13T08:00:00.000Z
00g030dept,Library Staff 30,Access group for library staff at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-14T08:00:00.000Z
00g031dept,Facilities Team 31,Access group for facilities team at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-15T08:00:00.000Z
00g032dept,First Aid Responders 32,Access group for first aid responders at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-16T08:00:00.000Z
00g033dept,Fire Wardens 33,Access group for fire wardens at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-17T08:00:00.000Z
00g034dept,Field Trip Leads 34,Access group for field trip leads at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-18T08:00:00.000Z
00g035dept,Clubs and Councils 35,Access group for clubs and councils at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-19T08:00:00.000Z
00g036dept,Athletics Coaches 36,Access group for athletics coaches at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-20T08:00:00.000Z
00g037dept,Parent Liaisons 37,Access group for parent liaisons at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-21T08:00:00.000Z
00g038dept,Data Stewards 38,Access group for data stewards at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-22T08:00:00.000Z
00g039dept,Emergency Contacts 39,Access group for emergency contacts at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-23T08:00:00.000Z
00g040dept,English Department 40,Access group for english department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-24T08:00:00.000Z
00g041dept,Mathematics Department 41,Access group for mathematics department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-25T08:00:00.000Z
00g042dept,Science Department 42,Access group for science department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-26T08:00:00.000Z
00g043dept,Social Studies Department 43,Access group for social studies department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-27T08:00:00.000Z
00g044dept,French Department 44,Access group for french department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-28T08:00:00.000Z
00g045dept,Physical Education Department 45,Access group for physical education department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-29T08:00:00.000Z
00g046dept,Arts Department 46,Access group for arts department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-09-30T08:00:00.000Z
00g047dept,Technology Department 47,Access group for technology department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-01T08:00:00.000Z
00g048dept,Guidance Department 48,Access group for guidance department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-02T08:00:00.000Z
00g049dept,Special Education Department 49,Access group for special education department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-03T08:00:00.000Z
00g050dept,Library Staff 50,Access group for library staff at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-04T08:00:00.000Z
00g051dept,Facilities Team 51,Access group for facilities team at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-05T08:00:00.000Z
00g052dept,First Aid Responders 52,Access group for first aid responders at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-06T08:00:00.000Z
00g053dept,Fire Wardens 53,Access group for fire wardens at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-07T08:00:00.000Z
00g054dept,Field Trip Leads 54,Access group for field trip leads at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-08T08:00:00.000Z
00g055dept,Clubs and Councils 55,Access group for clubs and councils at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-09T08:00:00.000Z
00g056dept,Athletics Coaches 56,Access group for athletics coaches at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-10T08:00:00.000Z
00g057dept,Parent Liaisons 57,Access group for parent liaisons at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-11T08:00:00.000Z
00g058dept,Data Stewards 58,Access group for data stewards at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-12T08:00:00.000Z
00g059dept,Emergency Contacts 59,Access group for emergency contacts at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-13T08:00:00.000Z
00g060dept,English Department 60,Access group for english department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-14T08:00:00.000Z
00g061dept,Mathematics Department 61,Access group for mathematics department at Ridgewood Collegiate Institute,OKTA_GROUP,2022-10-15T08:00:00.000Z
