id,name,label,status,sign_on_mode,created
0oa01sis,student_info_system,Maplewood SIS,ACTIVE,SAML_2_0,2022-08-20T08:00:00.000Z
0oa02mail,staff_mail,Ridgewood Staff Mail,ACTIVE,OPENID_CONNECT,2022-08-20T08:00:00.000Z
0oa03hr,bamboohr,BambooHR,ACTIVE,SAML_2_0,2022-08-20T08:00:00.000Z
0oa04pay,gusto,Gusto Payroll,ACTIVE,SAML_2_0,2022-08-20T08:00:00.000Z
0oa05lms,learning_mgmt,Ridgewood Learning,ACTIVE,OPENID_CONNECT,2023-01-10T08:00:00.000Z
0oa05app,app_5,Attendance Portal 5,ACTIVE,OPENID_CONNECT,2023-01-15T08:00:00.000Z
0oa06app,app_6,PD Registration 6,ACTIVE,OPENID_CONNECT,2023-01-16T08:00:00.000Z
0oa07app,app_7,Facilities Booking 7,ACTIVE,OPENID_CONNECT,2023-01-17T08:00:00.000Z
0oa08app,app_8,Help Desk 8,ACTIVE,OPENID_CONNECT,2023-01-18T08:00:00.000Z
0oa09app,app_9,Newsletter Tool 9,ACTIVE,SAML_2_0,2023-01-19T08:00:00.000Z
0oa10app,app_10,Survey Tool 10,ACTIVE,SAML_2_0,2023-01-20T08:00:00.000Z
0oa11app,app_11,Field Trip Portal 11,ACTIVE,SAML_2_0,2023-01-21T08:00:00.000Z
0oa12app,app_12,Wellness Hub 12,ACTIVE,OPENID_CONNECT,2023-01-22T08:00:00.000Z
0oa13app,app_13,Equity Dashboard 13,ACTIVE,OPENID_CONNECT,2023-01-23T08:00:00.000Z
0oa14app,app_14,Timetable Builder 14,ACTIVE,OPENID_CONNECT,2023-01-24T08:00:00.000Z
0oa15app,app_15,Library System 15,ACTIVE,SAML_2_0,2023-01-25T08:00:00.000Z
0oa16app,app_16,Cafeteria POS 16,ACTIVE,SAML_2_0,2023-01-26T08:00:00.000Z
0oa17app,app_17,Sign In Kiosk 17,ACTIVE,OPENID_CONNECT,2023-01-27T08:00:00.000Z
0oa18app,app_18,Bus Tracker 18,ACTIVE,SAML_2_0,2023-01-28T08:00:00.000Z
0oa19app,app_19,Grade Book 19,ACTIVE,SAML_2_0,2023-01-29T08:00:00.000Z
0oa20app,app_20,Attendance Portal 20,ACTIVE,SAML_2_0,2023-01-30T08:00:00.000Z
0oa21app,app_21,PD Registration 21,ACTIVE,SAML_2_0,2023-01-31T08:00:00.000Z
0oa22app,app_22,Facilities Booking 22,ACTIVE,OPENID_CONNECT,2023-02-01T08:00:00.000Z
0oa23app,app_23,Help Desk 23,ACTIVE,OPENID_CONNECT,2023-02-02T08:00:00.000Z
0oa24app,app_24,Newsletter Tool 24,ACTIVE,SAML_2_0,2023-02-03T08:00:00.000Z
0oa25app,app_25,Survey Tool 25,ACTIVE,OPENID_CONNECT,2023-02-04T08:00:00.000Z
0oa26app,app_26,Field Trip Portal 26,ACTIVE,OPENID_CONNECT,2023-02-05T08:00:00.000Z
0oa27app,app_27,Wellness Hub 27,ACTIVE,OPENID_CONNECT,2023-02-06T08:00:00.000Z
0oa28app,app_28,Equity Dashboard 28,ACTIVE,SAML_2_0,2023-02-07T08:00:00.000Z
0oa29app,app_29,Timetable Builder 29,ACTIVE,SAML_2_0,2023-02-08T08:00:00.000Z
0oa30app,app_30,Library System 30,ACTIVE,OPENID_CONNECT,2023-02-09T08:00:00.000Z
