symbol,interval,open_time,open,high,low,close,volume,close_time
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
SOLUSDT,1d,2026-10-11T00:00:00Z,180.15,187.20,178.65,184.00,984210.2,2026-10-11T23:59:59Z
ETHUSDT,1d,2026-10-11T00:00:00Z,3611.50,3712.40,3596.10,3680.00,182450.5,2026-10-11T23:59:59Z
