symbol,side,price,qty
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
ETHUSDT,bid,3679.85,2.410
ETHUSDT,ask,3680.15,1.820
SOLUSDT,bid,183.95,42.10
SOLUSDT,ask,184.05,38.60
