asset,free,locked
ETH,0.110,0.000
SOL,1.200,0.000
USDT,14.920,0.000
ETH-e001,0.110,0.000
SOL-e001,1.200,0.000
USDT-e001,14.920,0.000
ETH-e002,0.110,0.000
SOL-e002,1.200,0.000
USDT-e002,14.920,0.000
ETH-e003,0.110,0.000
SOL-e003,1.200,0.000
USDT-e003,14.920,0.000
ETH-e004,0.110,0.000
SOL-e004,1.200,0.000
USDT-e004,14.920,0.000
ETH-e005,0.110,0.000
SOL-e005,1.200,0.000
USDT-e005,14.920,0.000
ETH-e006,0.110,0.000
SOL-e006,1.200,0.000
USDT-e006,14.920,0.000
ETH-e007,0.110,0.000
SOL-e007,1.200,0.000
USDT-e007,14.920,0.000
ETH-e008,0.110,0.000
SOL-e008,1.200,0.000
USDT-e008,14.920,0.000
ETH-e009,0.110,0.000
SOL-e009,1.200,0.000
USDT-e009,14.920,0.000
ETH-e010,0.110,0.000
SOL-e010,1.200,0.000
USDT-e010,14.920,0.000
ETH-e011,0.110,0.000
SOL-e011,1.200,0.000
USDT-e011,14.920,0.000
ETH-e012,0.110,0.000
SOL-e012,1.200,0.000
USDT-e012,14.920,0.000
ETH-e013,0.110,0.000
SOL-e013,1.200,0.000
USDT-e013,14.920,0.000
ETH-e014,0.110,0.000
SOL-e014,1.200,0.000
USDT-e014,14.920,0.000
ETH-e015,0.110,0.000
SOL-e015,1.200,0.000
USDT-e015,14.920,0.000
ETH-e016,0.110,0.000
SOL-e016,1.200,0.000
USDT-e016,14.920,0.000
ETH-e017,0.110,0.000
SOL-e017,1.200,0.000
USDT-e017,14.920,0.000
ETH-e018,0.110,0.000
SOL-e018,1.200,0.000
USDT-e018,14.920,0.000
ETH-e019,0.110,0.000
SOL-e019,1.200,0.000
USDT-e019,14.920,0.000
ETH-e020,0.110,0.000
SOL-e020,1.200,0.000
USDT-e020,14.920,0.000
ETH-e021,0.110,0.000
SOL-e021,1.200,0.000
USDT-e021,14.920,0.000
ETH-e022,0.110,0.000
SOL-e022,1.200,0.000
USDT-e022,14.920,0.000
ETH-e023,0.110,0.000
SOL-e023,1.200,0.000
USDT-e023,14.920,0.000
ETH-e024,0.110,0.000
SOL-e024,1.200,0.000
USDT-e024,14.920,0.000
ETH-e025,0.110,0.000
SOL-e025,1.200,0.000
USDT-e025,14.920,0.000
ETH-e026,0.110,0.000
SOL-e026,1.200,0.000
