symbol,price,priceChange,priceChangePercent,highPrice,lowPrice,volume
ETHUSDT,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e001,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e001,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e001,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e002,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e002,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e002,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e003,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e003,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e003,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e004,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e004,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e004,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e005,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e005,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e005,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e006,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e006,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e006,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e007,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e007,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e007,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e008,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e008,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e008,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e009,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e009,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e009,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e010,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e010,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e010,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e011,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e011,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e011,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e012,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e012,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e012,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e013,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e013,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e013,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e014,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e014,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e014,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e015,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e015,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e015,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e016,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e016,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e016,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e017,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e017,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e017,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e018,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e018,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e018,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e019,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e019,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e019,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e020,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e020,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e020,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e021,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e021,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e021,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e022,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e022,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e022,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e023,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e023,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e023,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e024,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e024,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e024,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e025,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e025,184.00,3.85,2.14,187.20,178.65,984210.2
USDTUSD-e025,1.0000,0.0000,0.00,1.0001,0.9999,1250000000.0
ETHUSDT-e026,3680.00,42.10,1.15,3712.40,3611.90,182450.5
SOLUSDT-e026,184.00,3.85,2.14,187.20,178.65,984210.2
