tableId,id,name,type
tbl_projects,fld_proj_name,Name,singleLineText
tbl_projects,fld_proj_status,Status,singleSelect
tbl_projects,fld_proj_owner,Owner,singleLineText
tbl_projects,fld_proj_budget,Budget,number
tbl_tasks,fld_task_name,Name,singleLineText
tbl_tasks,fld_task_status,Status,singleSelect
tbl_tasks,fld_task_project,Project,singleLineText
tbl_tasks,fld_task_estimate,EstimateHours,number
tbl_tasks,fld_task_done,Done,checkbox
tbl_contacts,fld_contact_name,Name,singleLineText
tbl_contacts,fld_contact_email,Email,email
tbl_contacts,fld_contact_company,Company,singleLineText
tbl_contacts,fld_contact_role,Role,singleLineText
