Section	Item	Detail
Equipment	Telescope	8 inch computerized, alt azimuth mount
Equipment	Eyepiece 25mm	Wide field, low power survey
Equipment	Eyepiece 13mm	Medium power, planets and clusters
Equipment	Eyepiece 9mm	High power, planetary detail
Equipment	Barlow 2x	Doubles effective power
Equipment	Moon filter	Cuts glare near full phase
Equipment	Red flashlight	Preserves night vision
Equipment	Observation notebook	Paper log, weatherproof cover
		
UpcomingPass	Date	Details
Pass	2026-10-03	19:42 to 19:48, peak 61 degrees, very bright
Pass	2026-10-07	20:15 to 20:21, peak 47 degrees, bright
Pass	2026-10-12	05:58 to 06:04, peak 73 degrees, morning pass
Pass	2026-10-19	19:05 to 19:11, peak 38 degrees, low and quick
