Id,Name,Description,Type,UnitPrice,IncomeAccountRef_value,IncomeAccountRef_name,Active,Taxable
1,Class - Beginner Mon 7pm - Drop-in,Beginner Monday 7pm single drop-in,Service,22.00,3,Class Income - Beginner Mon 7pm,true,false
2,Class - Beginner Mon 7pm - 4wk session,Beginner Monday 7pm four-week session,Service,80.00,3,Class Income - Beginner Mon 7pm,true,false
3,Class - Beginner Mon 7pm - 10 punch card,Beginner Monday 7pm ten-class punch card,Service,135.00,3,Class Income - Beginner Mon 7pm,true,false
4,Class - Intermediate Wed 7pm - Monthly,Intermediate Wednesday 7pm monthly auto-pay,Service,140.00,4,Class Income - Intermediate Wed 7pm,true,false
5,Class - Contemporary Fusion Thu 8pm - Monthly,Contemporary Fusion Thursday 8pm monthly,Service,131.00,5,Class Income - Contemporary Fusion Thu 8pm,true,false
6,Class - Open Sat 11am - Drop-in,Open Saturday 11am drop-in,Service,22.00,6,Class Income - Open Sat 11am,true,false
7,Private Lesson - 60 minute,Private lesson sixty minute,Service,120.00,7,Private Lesson Income,true,false
8,Workshop or Pop-up Session,Workshop or pop-up session admission,Service,45.00,8,Workshop and Pop-up Income,true,false
9,Merch - Studio Tee,Studio tee shirt,Inventory,25.00,9,Merch - T-shirts and Tanks,true,true
10,Merch - Studio Tank,Studio tank top,Inventory,22.00,9,Merch - T-shirts and Tanks,true,true
10001,Class - Beginner Mon 7pm - Drop-in,Beginner Monday 7pm single drop-in,Service,22.00,3,Class Income - Beginner Mon 7pm,true,false
10002,Class - Beginner Mon 7pm - 4wk session,Beginner Monday 7pm four-week session,Service,80.00,3,Class Income - Beginner Mon 7pm,true,false
10003,Class - Beginner Mon 7pm - 10 punch card,Beginner Monday 7pm ten-class punch card,Service,135.00,3,Class Income - Beginner Mon 7pm,true,false
10004,Class - Intermediate Wed 7pm - Monthly,Intermediate Wednesday 7pm monthly auto-pay,Service,140.00,4,Class Income - Intermediate Wed 7pm,true,false
10005,Class - Contemporary Fusion Thu 8pm - Monthly,Contemporary Fusion Thursday 8pm monthly,Service,131.00,5,Class Income - Contemporary Fusion Thu 8pm,true,false
