id,guild_id,name,color,position,hoist,mentionable,permissions
R_CBRA_MEMBER,G_CBRA_RIDERS_001,Member,5814783,1,False,False,1071698660929
R_CBRA_OPEN_4D,G_CBRA_RIDERS_001,Open 4D,15844367,2,True,True,1071698660929
R_CBRA_MOD,G_CBRA_RIDERS_001,Events Mod,15158332,3,True,True,8589934591
R_VET_VERIFIED,G_HORSE_HEALTH_NW,Verified Pro,3447003,1,True,False,1071698660929
R_VET_TECH,G_HORSE_HEALTH_NW,Vet Tech,3066993,2,False,True,1071698660929
R_VET_DVM,G_HORSE_HEALTH_NW,DVM,10181046,3,True,True,1071698660929
R_VET_MOD,G_HORSE_HEALTH_NW,Mod,15158332,4,True,True,8589934591
R_AUTO_0001,G_HORSE_HEALTH_NW,DVM,5814783,1,False,True,1071698660929
R_AUTO_0002,G_CBRA_RIDERS_001,Open 4D,10181046,2,False,True,8589934591
R_AUTO_0003,G_CBRA_RIDERS_001,Mod,15844367,3,True,False,8589934591
R_AUTO_0004,G_CBRA_RIDERS_001,Senior 4D,15158332,4,True,False,1071698660929
R_AUTO_0005,G_HORSE_HEALTH_NW,Events Mod,3426654,5,False,True,8589934591
R_AUTO_0006,G_HORSE_HEALTH_NW,Verified Pro,3447003,6,True,False,8589934591
R_AUTO_0007,G_CBRA_RIDERS_001,Vet Tech,10038562,7,False,True,1071698660929
R_AUTO_0008,G_HORSE_HEALTH_NW,Member,15277667,0,False,False,8589934591
R_AUTO_0009,G_CBRA_RIDERS_001,Vet Tech,10181046,1,True,True,8589934591
R_AUTO_0010,G_HORSE_HEALTH_NW,Member,10038562,2,False,False,1071698660929
R_AUTO_0011,G_CBRA_RIDERS_001,Sponsor,3066993,3,True,True,1071698660929
R_AUTO_0012,G_CBRA_RIDERS_001,Youth,15277667,4,False,False,8589934591
R_AUTO_0013,G_HORSE_HEALTH_NW,Verified Pro,3426654,5,True,False,8589934591
R_AUTO_0014,G_HORSE_HEALTH_NW,Youth,1752220,6,False,False,1071698660929
R_AUTO_0015,G_HORSE_HEALTH_NW,Verified Pro,15277667,7,False,True,1071698660929
R_AUTO_0016,G_HORSE_HEALTH_NW,Verified Pro,3426654,0,True,True,8589934591
R_AUTO_0017,G_CBRA_RIDERS_001,Member,15844367,1,True,False,8589934591
R_AUTO_0018,G_HORSE_HEALTH_NW,Youth,15844367,2,False,True,1071698660929
R_AUTO_0019,G_HORSE_HEALTH_NW,Sponsor,1752220,3,False,True,8589934591
R_AUTO_0020,G_CBRA_RIDERS_001,Youth,1752220,4,True,False,8589934591
R_AUTO_0021,G_HORSE_HEALTH_NW,Youth,3066993,5,False,False,1071698660929
R_AUTO_0022,G_CBRA_RIDERS_001,Events Mod,3066993,6,True,False,8589934591
R_AUTO_0023,G_CBRA_RIDERS_001,DVM,15844367,7,True,True,1071698660929
R_AUTO_0024,G_HORSE_HEALTH_NW,Open 4D,15158332,0,False,False,8589934591
R_AUTO_0025,G_CBRA_RIDERS_001,Vet Tech,10038562,1,False,True,8589934591
R_AUTO_0026,G_CBRA_RIDERS_001,Sponsor,5814783,2,True,True,1071698660929
R_AUTO_0027,G_CBRA_RIDERS_001,Mod,15277667,3,False,False,1071698660929
R_AUTO_0028,G_CBRA_RIDERS_001,Vet Tech,5814783,4,False,False,1071698660929
R_AUTO_0029,G_CBRA_RIDERS_001,Member,5814783,5,True,False,8589934591
R_AUTO_0030,G_HORSE_HEALTH_NW,Events Mod,10038562,6,True,False,1071698660929
R_AUTO_0031,G_CBRA_RIDERS_001,Open 4D,15277667,7,False,False,1071698660929
R_AUTO_0032,G_CBRA_RIDERS_001,Events Mod,15277667,0,True,True,1071698660929
R_AUTO_0033,G_HORSE_HEALTH_NW,Events Mod,5814783,1,False,True,1071698660929
R_AUTO_0034,G_CBRA_RIDERS_001,Verified Pro,15277667,2,True,False,1071698660929
R_AUTO_0035,G_HORSE_HEALTH_NW,DVM,15844367,3,True,True,8589934591
R_AUTO_0036,G_CBRA_RIDERS_001,Open 4D,3426654,4,False,True,8589934591
R_AUTO_0037,G_CBRA_RIDERS_001,Events Mod,3447003,5,False,True,8589934591
R_AUTO_0038,G_CBRA_RIDERS_001,Verified Pro,10181046,6,False,False,1071698660929
R_AUTO_0039,G_HORSE_HEALTH_NW,Member,1752220,7,False,False,8589934591
R_AUTO_0040,G_CBRA_RIDERS_001,Mod,3066993,0,False,False,1071698660929
R_AUTO_0041,G_CBRA_RIDERS_001,Open 4D,10181046,1,True,True,8589934591
R_AUTO_0042,G_CBRA_RIDERS_001,Events Mod,15844367,2,False,False,8589934591
R_AUTO_0043,G_HORSE_HEALTH_NW,Member,10181046,3,True,False,8589934591
R_AUTO_0044,G_CBRA_RIDERS_001,Events Mod,1752220,4,True,True,1071698660929
R_AUTO_0045,G_HORSE_HEALTH_NW,Open 4D,3426654,5,True,True,8589934591
R_AUTO_0046,G_HORSE_HEALTH_NW,Events Mod,3447003,6,True,True,8589934591
R_AUTO_0047,G_CBRA_RIDERS_001,Sponsor,10038562,7,False,True,1071698660929
R_AUTO_0048,G_CBRA_RIDERS_001,Events Mod,5814783,0,True,True,1071698660929
R_AUTO_0049,G_HORSE_HEALTH_NW,Youth,15844367,1,True,True,8589934591
R_AUTO_0050,G_CBRA_RIDERS_001,Events Mod,10181046,2,True,False,8589934591
R_AUTO_0051,G_CBRA_RIDERS_001,Events Mod,3066993,3,False,False,8589934591
R_AUTO_0052,G_CBRA_RIDERS_001,Events Mod,10038562,4,False,True,1071698660929
R_AUTO_0053,G_HORSE_HEALTH_NW,Youth,3066993,5,True,True,8589934591
R_AUTO_0054,G_CBRA_RIDERS_001,Open 4D,3066993,6,False,False,1071698660929
R_AUTO_0055,G_CBRA_RIDERS_001,Sponsor,3447003,7,False,True,8589934591
R_AUTO_0056,G_HORSE_HEALTH_NW,DVM,5814783,0,False,False,8589934591
R_AUTO_0057,G_HORSE_HEALTH_NW,Mod,15158332,1,False,True,8589934591
R_AUTO_0058,G_HORSE_HEALTH_NW,Youth,10038562,2,True,True,8589934591
R_AUTO_0059,G_CBRA_RIDERS_001,DVM,3447003,3,False,False,8589934591
R_AUTO_0060,G_HORSE_HEALTH_NW,Events Mod,15277667,4,True,False,8589934591
