order_id,product_id,quantity,unit_price,line_total,replacement_for
order-00001,prod-00196,3,3.42,10.26,
order-00001,prod-00267,2,10.87,21.74,
order-00001,prod-00307,1,6.29,6.29,
order-00001,prod-00307,1,6.29,6.29,
order-00001,prod-00267,3,10.87,32.61,
order-00002,prod-00015,2,7.36,14.72,
order-00002,prod-00054,1,7.96,7.96,
order-00002,prod-00054,1,7.96,7.96,
order-00002,prod-00015,1,7.36,7.36,
order-00002,prod-00015,1,7.36,7.36,
order-00003,prod-00176,1,8.45,8.45,
order-00003,prod-00176,2,8.45,16.90,
order-00003,prod-00176,1,8.45,8.45,
order-00003,prod-00176,3,8.45,25.35,
order-00004,prod-00268,2,5.30,10.60,
order-00004,prod-00058,2,2.55,5.10,
order-00004,prod-00268,2,5.30,10.60,
order-00004,prod-00268,2,5.30,10.60,
order-00005,prod-00073,3,1.76,5.28,
order-00005,prod-00073,2,1.76,3.52,
order-00006,prod-00033,1,7.99,7.99,
order-00006,prod-00218,2,7.53,15.06,
order-00007,prod-00237,1,9.67,9.67,
order-00007,prod-00237,3,9.67,29.01,
order-00007,prod-00237,1,9.67,9.67,
order-00007,prod-00237,1,9.67,9.67,
order-00007,prod-00237,1,9.67,9.67,
order-00008,prod-00078,3,8.57,25.71,
order-00008,prod-00050,3,8.66,25.98,
order-00008,prod-00078,1,8.57,8.57,
order-00008,prod-00050,1,8.66,8.66,
order-00009,prod-00062,3,3.74,11.22,
order-00009,prod-00062,2,3.74,7.48,
order-00009,prod-00062,1,3.74,3.74,
order-00010,prod-00303,2,10.79,21.58,
order-00010,prod-00303,3,10.79,32.37,
order-00011,prod-00120,1,3.16,3.16,
order-00011,prod-00120,3,3.16,9.48,
order-00011,prod-00120,3,3.16,9.48,
order-00011,prod-00272,2,2.80,5.60,
order-00012,prod-00045,3,6.26,18.78,
order-00012,prod-00045,2,6.26,12.52,
order-00012,prod-00045,2,6.26,12.52,
order-00012,prod-00045,3,6.26,18.78,
order-00013,prod-00291,1,11.60,11.60,
order-00013,prod-00291,3,11.60,34.80,
order-00014,prod-00213,3,9.88,29.64,
order-00014,prod-00213,1,9.88,9.88,
order-00014,prod-00213,3,9.88,29.64,
order-00015,prod-00278,3,3.94,11.82,
order-00015,prod-00025,2,10.60,21.20,
order-00015,prod-00025,3,10.60,31.80,
order-00016,prod-00213,3,9.88,29.64,
order-00016,prod-00213,3,9.88,29.64,
order-00016,prod-00213,3,9.88,29.64,
order-00016,prod-00213,1,9.88,9.88,
order-00016,prod-00213,3,9.88,29.64,
order-00017,prod-00112,1,4.86,4.86,
order-00017,prod-00112,2,4.86,9.72,
order-00018,prod-00030,2,8.52,17.04,
order-00018,prod-00030,2,8.52,17.04,
order-00018,prod-00030,3,8.52,25.56,
order-00018,prod-00030,3,8.52,25.56,
order-00018,prod-00030,1,8.52,8.52,
order-00019,prod-00069,1,8.99,8.99,
order-00019,prod-00186,3,9.72,29.16,
order-00019,prod-00069,1,8.99,8.99,
order-00019,prod-00186,1,9.72,9.72,
order-00019,prod-00186,2,9.72,19.44,
order-00020,prod-00211,1,5.67,5.67,
order-00020,prod-00211,3,5.67,17.01,
order-00020,prod-00211,1,5.67,5.67,
order-00020,prod-00211,3,5.67,17.01,
order-00021,prod-00024,1,9.02,9.02,
order-00021,prod-00024,1,9.02,9.02,
order-00021,prod-00024,1,9.02,9.02,
order-00022,prod-00170,1,8.38,8.38,
order-00022,prod-00170,2,8.38,16.76,
order-00022,prod-00170,3,8.38,25.14,
order-00023,prod-00084,2,4.59,9.18,
order-00023,prod-00092,3,7.48,22.44,
order-00023,prod-00296,2,5.92,11.84,
order-00023,prod-00082,3,3.12,9.36,
order-00023,prod-00114,3,7.55,22.65,
order-00024,prod-00017,3,4.19,12.57,
order-00024,prod-00017,1,4.19,4.19,
order-00024,prod-00017,3,4.19,12.57,
order-00024,prod-00017,1,4.19,4.19,
order-00024,prod-00242,3,11.97,35.91,
order-00025,prod-00136,1,10.37,10.37,
order-00025,prod-00136,2,10.37,20.74,
order-00025,prod-00136,2,10.37,20.74,
order-00025,prod-00136,1,10.37,10.37,
order-00026,prod-00165,2,4.54,9.08,
order-00026,prod-00165,2,4.54,9.08,
order-00027,prod-00198,2,12.86,25.72,
order-00027,prod-00198,3,12.86,38.58,
order-00027,prod-00198,3,12.86,38.58,
order-00027,prod-00198,2,12.86,25.72,
order-00027,prod-00198,1,12.86,12.86,
order-00028,prod-00136,1,10.37,10.37,
order-00028,prod-00136,3,10.37,31.11,
order-00028,prod-00136,2,10.37,20.74,
order-00028,prod-00136,2,10.37,20.74,
order-00028,prod-00136,2,10.37,20.74,
order-00029,prod-00128,1,4.15,4.15,
order-00029,prod-00128,3,4.15,12.45,
order-00029,prod-00128,3,4.15,12.45,
order-00030,prod-00283,2,7.95,15.90,
order-00030,prod-00283,2,7.95,15.90,
order-00031,prod-00234,1,11.26,11.26,
order-00031,prod-00207,1,10.79,10.79,
order-00031,prod-00234,1,11.26,11.26,
order-00032,prod-00245,3,2.87,8.61,
order-00032,prod-00230,2,7.64,15.28,
order-00032,prod-00230,2,7.64,15.28,
order-00032,prod-00230,1,7.64,7.64,
order-00032,prod-00245,3,2.87,8.61,
order-00033,prod-00146,1,5.29,5.29,
order-00033,prod-00163,3,10.08,30.24,
