retailer_id,name,logo_url,delivers_to_zips,min_basket,delivery_fee,service_fee_pct,eta_minutes
ret-0001,Aurora Latin Grocery,https://logos.example.com/ret1.png,"80203,80206,80218",10.00,4.39,5.0,98
ret-0002,Trader Joe's,https://logos.example.com/ret2.png,"80203,80206,80218",10.00,5.38,5.0,115
ret-0003,King Soopers,https://logos.example.com/ret3.png,"80203,80206,80218",10.00,4.92,5.0,87
ret-0004,Sprouts Farmers Market,https://logos.example.com/ret4.png,"80203,80206,80218",10.00,4.40,5.0,101
ret-0005,Safeway,https://logos.example.com/ret5.png,"80203,80206,80218",10.00,4.53,5.0,120
ret-0006,Costco,https://logos.example.com/ret6.png,"80203,80206,80218",10.00,4.79,5.0,108
ret-0007,Denver Market 106,https://logos.example.com/ret7.png,"80203,80206,80218",10.00,4.03,5.0,114
ret-0008,Denver Market 107,https://logos.example.com/ret8.png,"80203,80206,80218",10.00,4.20,5.0,74
ret-0009,Denver Market 108,https://logos.example.com/ret9.png,"80203,80206,80218",10.00,4.24,5.0,119
ret-0010,Denver Market 109,https://logos.example.com/ret10.png,"80203,80206,80218",10.00,4.68,5.0,104
ret-0011,Denver Market 110,https://logos.example.com/ret11.png,"80203,80206,80218",10.00,4.58,5.0,94
ret-0012,Denver Market 111,https://logos.example.com/ret12.png,"80203,80206,80218",10.00,5.91,5.0,100
ret-0013,Denver Market 112,https://logos.example.com/ret13.png,"80203,80206,80218",10.00,5.13,5.0,101
ret-0014,Denver Market 113,https://logos.example.com/ret14.png,"80203,80206,80218",10.00,5.84,5.0,109
ret-0015,Denver Market 114,https://logos.example.com/ret15.png,"80203,80206,80218",10.00,5.02,5.0,62
ret-0016,Denver Market 115,https://logos.example.com/ret16.png,"80203,80206,80218",10.00,4.48,5.0,68
ret-0017,Denver Market 116,https://logos.example.com/ret17.png,"80203,80206,80218",10.00,5.43,5.0,61
ret-0018,Denver Market 117,https://logos.example.com/ret18.png,"80203,80206,80218",10.00,5.50,5.0,95
ret-0019,Denver Market 118,https://logos.example.com/ret19.png,"80203,80206,80218",10.00,5.18,5.0,73
ret-0020,Denver Market 119,https://logos.example.com/ret20.png,"80203,80206,80218",10.00,4.51,5.0,113
ret-0021,Denver Market 120,https://logos.example.com/ret21.png,"80203,80206,80218",10.00,5.18,5.0,95
ret-0022,Denver Market 121,https://logos.example.com/ret22.png,"80203,80206,80218",10.00,5.13,5.0,98
ret-0023,Denver Market 122,https://logos.example.com/ret23.png,"80203,80206,80218",10.00,4.19,5.0,70
ret-0024,Denver Market 123,https://logos.example.com/ret24.png,"80203,80206,80218",10.00,5.80,5.0,61
ret-0025,Denver Market 124,https://logos.example.com/ret25.png,"80203,80206,80218",10.00,4.89,5.0,63
ret-0026,Denver Market 125,https://logos.example.com/ret26.png,"80203,80206,80218",10.00,4.24,5.0,114
ret-0027,Denver Market 126,https://logos.example.com/ret27.png,"80203,80206,80218",10.00,5.64,5.0,119
ret-0028,Denver Market 127,https://logos.example.com/ret28.png,"80203,80206,80218",10.00,5.64,5.0,102
ret-0029,Denver Market 128,https://logos.example.com/ret29.png,"80203,80206,80218",10.00,4.36,5.0,83
ret-0030,Denver Market 129,https://logos.example.com/ret30.png,"80203,80206,80218",10.00,5.05,5.0,98
ret-0031,Denver Market 130,https://logos.example.com/ret31.png,"80203,80206,80218",10.00,4.48,5.0,119
ret-0032,Denver Market 131,https://logos.example.com/ret32.png,"80203,80206,80218",10.00,5.78,5.0,120
ret-0033,Denver Market 132,https://logos.example.com/ret33.png,"80203,80206,80218",10.00,5.03,5.0,118
ret-0034,Denver Market 133,https://logos.example.com/ret34.png,"80203,80206,80218",10.00,4.99,5.0,88
ret-0035,Denver Market 134,https://logos.example.com/ret35.png,"80203,80206,80218",10.00,4.37,5.0,81
ret-0036,Denver Market 135,https://logos.example.com/ret36.png,"80203,80206,80218",10.00,4.17,5.0,103
ret-0037,Denver Market 136,https://logos.example.com/ret37.png,"80203,80206,80218",10.00,5.90,5.0,112
ret-0038,Denver Market 137,https://logos.example.com/ret38.png,"80203,80206,80218",10.00,5.25,5.0,107
ret-0039,Denver Market 138,https://logos.example.com/ret39.png,"80203,80206,80218",10.00,5.94,5.0,60
ret-0040,Denver Market 139,https://logos.example.com/ret40.png,"80203,80206,80218",10.00,4.29,5.0,76
ret-0041,Denver Market 140,https://logos.example.com/ret41.png,"80203,80206,80218",10.00,4.88,5.0,104
ret-0042,Denver Market 141,https://logos.example.com/ret42.png,"80203,80206,80218",10.00,5.42,5.0,106
ret-0043,Denver Market 142,https://logos.example.com/ret43.png,"80203,80206,80218",10.00,5.20,5.0,88
ret-0044,Denver Market 143,https://logos.example.com/ret44.png,"80203,80206,80218",10.00,5.12,5.0,79
ret-0045,Denver Market 144,https://logos.example.com/ret45.png,"80203,80206,80218",10.00,4.52,5.0,80
ret-0046,Denver Market 145,https://logos.example.com/ret46.png,"80203,80206,80218",10.00,5.20,5.0,108
ret-0047,Denver Market 146,https://logos.example.com/ret47.png,"80203,80206,80218",10.00,5.55,5.0,117
ret-0048,Denver Market 147,https://logos.example.com/ret48.png,"80203,80206,80218",10.00,5.36,5.0,81
ret-0049,Denver Market 148,https://logos.example.com/ret49.png,"80203,80206,80218",10.00,4.89,5.0,77
ret-0050,Denver Market 149,https://logos.example.com/ret50.png,"80203,80206,80218",10.00,5.37,5.0,74
ret-0051,Denver Market 150,https://logos.example.com/ret51.png,"80203,80206,80218",10.00,5.39,5.0,110
ret-0052,Denver Market 151,https://logos.example.com/ret52.png,"80203,80206,80218",10.00,5.12,5.0,119
ret-0053,Denver Market 152,https://logos.example.com/ret53.png,"80203,80206,80218",10.00,4.51,5.0,94
ret-0054,Denver Market 153,https://logos.example.com/ret54.png,"80203,80206,80218",10.00,4.49,5.0,85
ret-0055,Denver Market 154,https://logos.example.com/ret55.png,"80203,80206,80218",10.00,4.53,5.0,77
ret-0056,Denver Market 155,https://logos.example.com/ret56.png,"80203,80206,80218",10.00,4.79,5.0,65
ret-0057,Denver Market 156,https://logos.example.com/ret57.png,"80203,80206,80218",10.00,5.82,5.0,110
ret-0058,Denver Market 157,https://logos.example.com/ret58.png,"80203,80206,80218",10.00,5.07,5.0,69
ret-0059,Denver Market 158,https://logos.example.com/ret59.png,"80203,80206,80218",10.00,5.19,5.0,104
ret-0060,Denver Market 159,https://logos.example.com/ret60.png,"80203,80206,80218",10.00,4.00,5.0,108
ret-0061,Denver Market 160,https://logos.example.com/ret61.png,"80203,80206,80218",10.00,4.31,5.0,94
ret-0062,Denver Market 161,https://logos.example.com/ret62.png,"80203,80206,80218",10.00,4.28,5.0,91
ret-0063,Denver Market 162,https://logos.example.com/ret63.png,"80203,80206,80218",10.00,4.59,5.0,62
ret-0064,Denver Market 163,https://logos.example.com/ret64.png,"80203,80206,80218",10.00,5.91,5.0,107
ret-0065,Denver Market 164,https://logos.example.com/ret65.png,"80203,80206,80218",10.00,5.87,5.0,103
ret-0066,Denver Market 165,https://logos.example.com/ret66.png,"80203,80206,80218",10.00,4.27,5.0,120
ret-0067,Denver Market 166,https://logos.example.com/ret67.png,"80203,80206,80218",10.00,4.68,5.0,60
ret-0068,Denver Market 167,https://logos.example.com/ret68.png,"80203,80206,80218",10.00,4.35,5.0,109
ret-0069,Denver Market 168,https://logos.example.com/ret69.png,"80203,80206,80218",10.00,4.24,5.0,104
ret-0070,Denver Market 169,https://logos.example.com/ret70.png,"80203,80206,80218",10.00,5.24,5.0,114
