product_id,retailer_id,name,brand,category,unit_size,price,in_stock,sale_price,image_url
prod-00001,ret-0129,Organic Bananas,La Costena,Meat,1 gal,4.69,false,3.99,
prod-00002,ret-0106,Hominy,La Costena,Bakery,1 lb,8.31,false,,
prod-00003,ret-0204,Avocados,Maseca,Dairy,2 lb,1.76,false,1.50,
prod-00004,ret-0143,Eggs Dozen,Lucerne,Dairy,2 lb,6.30,false,,
prod-00005,ret-0143,Epazote,Maseca,Meat,dozen,7.48,true,,
prod-00006,ret-0089,Masa Harina,Lucerne,Bakery,dozen,3.76,true,,
prod-00007,ret-0145,Piloncillo,Aurora Organics,Dairy,dozen,9.34,true,,
prod-00008,ret-0192,Masa Harina,Maseca,Produce,16 oz,6.53,true,,
prod-00009,ret-0065,Hominy,Aurora Organics,Pantry,16 oz,9.07,true,7.71,
prod-00010,ret-0073,Epazote,365,Pantry,1 lb,3.31,true,2.81,
prod-00011,ret-0143,Mexican Chocolate,Lucerne,Meat,dozen,7.63,false,,
prod-00012,ret-0009,Tomatillos,Aurora Organics,Produce,2 lb,11.98,false,,
prod-00013,ret-0033,Chile Ancho,Aurora Organics,Pantry,12 oz,12.57,false,,
prod-00014,ret-0090,Piloncillo,Maseca,Produce,12 oz,3.08,false,2.62,
prod-00015,ret-0053,Dried Guajillo Chiles,Maseca,Pantry,1 lb,7.36,true,,
prod-00016,ret-0141,Limes,Maseca,Meat,12 oz,6.27,true,,
prod-00017,ret-0017,Chicken Thighs,Lucerne,Pantry,12 oz,4.19,true,,
prod-00018,ret-0042,Hominy,Maseca,Bakery,1 lb,12.71,true,,
prod-00019,ret-0191,Tomatillos,Maseca,Meat,16 oz,7.95,false,,
prod-00020,ret-0199,Mexican Crema,Lucerne,Meat,2 lb,8.05,true,,
prod-00021,ret-0105,Organic Bananas,La Costena,Meat,16 oz,9.34,true,7.94,
prod-00022,ret-0026,Canela Sticks,Maseca,Meat,dozen,8.87,true,,
prod-00023,ret-0055,Organic Bananas,Lucerne,Pantry,16 oz,8.65,false,,
prod-00024,ret-0169,Mexican Chocolate,La Costena,Bakery,1 gal,9.02,true,,
prod-00025,ret-0187,Limes,Lucerne,Produce,dozen,10.60,true,,
prod-00026,ret-0107,Tomatillos,La Costena,Dairy,2 lb,11.84,true,10.06,
prod-00027,ret-0137,Dried Guajillo Chiles,Lucerne,Bakery,dozen,5.10,true,4.33,
prod-00028,ret-0190,Chicken Thighs,La Costena,Meat,12 oz,10.34,true,8.79,
prod-00029,ret-0166,Queso Fresco,Maseca,Dairy,16 oz,10.80,true,,
prod-00030,ret-0100,Piloncillo,Aurora Organics,Meat,2 lb,8.52,true,7.24,
prod-00031,ret-0109,Cilantro,Aurora Organics,Meat,dozen,5.59,true,,
prod-00032,ret-0202,Black Beans,La Costena,Bakery,12 oz,9.55,true,,
prod-00033,ret-0092,Greek Yogurt,365,Bakery,2 lb,7.99,true,,
prod-00034,ret-0063,Corn Tortillas,Aurora Organics,Produce,16 oz,4.39,false,,
prod-00035,ret-0089,Chicken Thighs,Maseca,Pantry,2 lb,8.33,true,7.08,
prod-00036,ret-0087,Mexican Chocolate,Maseca,Pantry,2 lb,2.31,true,,
prod-00037,ret-0039,Mexican Chocolate,Lucerne,Produce,1 lb,12.14,true,,
prod-00038,ret-0013,Chile Ancho,365,Dairy,1 gal,7.50,false,6.38,
prod-00039,ret-0052,Limes,365,Pantry,1 gal,7.40,true,,
prod-00040,ret-0116,Queso Fresco,La Costena,Dairy,2 lb,4.05,true,,
