invoice_id	invoice_number	vendor	date	due_date	status	total	reference
i0000108-0000-0000-0000-000000000108	BILL-8068	Rittenhouse Square Material	2026-07-01	2026-07-31	PAID	4508.38	Q3 supply purchase Rittenhouse Square Material
i0000098-0000-0000-0000-000000000098	BILL-8058	Belmont Plumbing Goods	2026-07-02	2026-08-01	PAID	2032.11	Q3 supply purchase Belmont Plumbing Goods
i0000123-0000-0000-0000-000000000123	BILL-8083	Henry Avenue Wholesale	2026-07-02	2026-08-01	AUTHORISED	3957.75	Q3 supply purchase Henry Avenue Wholesale
i0000148-0000-0000-0000-000000000148	BILL-8108	Garden Court Industrial	2026-07-03	2026-08-02	PAID	3905.33	Q3 supply purchase Garden Court Industrial
i0000165-0000-0000-0000-000000000165	BILL-8125	Feltonville Fasteners	2026-07-04	2026-08-03	PAID	2225.72	Q3 supply purchase Feltonville Fasteners
i0000158-0000-0000-0000-000000000158	BILL-8118	Kensington Iron Works	2026-07-05	2026-08-04	PAID	2328.14	Q3 supply purchase Kensington Iron Works
i0000180-0000-0000-0000-000000000180	BILL-8140	Rittenhouse Square Material	2026-07-05	2026-08-04	PAID	3281.77	Q3 supply purchase Rittenhouse Square Material
i0000053-0000-0000-0000-000000000053	BILL-8013	Walnut Hill Hardware	2026-07-07	2026-08-06	PAID	4666.91	Q3 supply purchase Walnut Hill Hardware
i0000041-0000-0000-0000-000000000041	BILL-8001	Riverdale Plumbing Supply	2026-07-08	2026-08-07	PAID	2110.00	Q3 supply purchase Riverdale Plumbing Supply
i0000070-0000-0000-0000-000000000070	BILL-8030	Washington West Supply	2026-07-09	2026-08-08	AUTHORISED	4901.39	Q3 supply purchase Washington West Supply
i0000080-0000-0000-0000-000000000080	BILL-8040	Olney Industrial Supply	2026-07-09	2026-08-08	PAID	1156.92	Q3 supply purchase Olney Industrial Supply
i0000092-0000-0000-0000-000000000092	BILL-8052	Mount Airy Hardware	2026-07-10	2026-08-09	PAID	1419.48	Q3 supply purchase Mount Airy Hardware
i0000105-0000-0000-0000-000000000105	BILL-8065	Lyceum Avenue Tools	2026-07-10	2026-08-09	PAID	1323.23	Q3 supply purchase Lyceum Avenue Tools
i0000160-0000-0000-0000-000000000160	BILL-8120	Tabor Industrial Goods	2026-07-10	2026-08-09	PAID	3131.80	Q3 supply purchase Tabor Industrial Goods
i0000110-0000-0000-0000-000000000110	BILL-8070	Garden Court Industrial	2026-07-11	2026-08-10	PAID	4778.55	Q3 supply purchase Garden Court Industrial
i0000061-0000-0000-0000-000000000061	BILL-8021	Belmont Bar Tools	2026-07-12	2026-08-11	AUTHORISED	876.68	Q3 supply purchase Belmont Bar Tools
