vendor_page_id	vendor_name	tax_id	address	notion_outstanding_balance	xero_q3_accpay_total	delta_xero_minus_notion	reconciliation_flag
page-vendor-001	Home Depot Aramingo	82-7802913	3742 Roosevelt Avenue Philadelphia PA	1680.00	2349.60	669.60	MISMATCH
page-vendor-002	Riverdale Plumbing Supply	81-1372070	916 Kelly Avenue Philadelphia PA	3820.00	4210.00	390.00	MISMATCH
page-vendor-003	Northgate Tool Rental	85-8210745	539 Cheltenham Avenue Philadelphia PA	1475.00	1150.00	-325.00	MISMATCH
page-vendor-004	Eastside Hardware Mart	26-3975622	8831 Spring Garden Avenue Philadelphia PA	1200.00	880.00	-320.00	MISMATCH
page-vendor-005	Aramingo Fuel plus Service	47-2083491	6705 Stenton Avenue Philadelphia PA	0.00	612.50	612.50	MISMATCH
page-vendor-006	Brewerytown Pipe Supply	82-9588788	9027 Frankford Avenue Philadelphia PA	2275.66	0.00	-2275.66	noise
page-vendor-007	Manayunk Lumber and Building	46-6862694	9197 Lancaster Avenue Philadelphia PA	740.19	10428.18	9687.99	noise
page-vendor-008	Old City Fixtures Wholesale	23-7617173	758 Ridge Avenue Philadelphia PA	3351.10	0.00	-3351.10	noise
page-vendor-009	Frankford Avenue Salvage	23-9882982	5461 Stenton Avenue Philadelphia PA	1195.15	8110.60	6915.45	noise
page-vendor-010	Northern Liberties Hardware	27-2119988	2336 Spring Garden Avenue Philadelphia PA	1189.23	1472.36	283.13	noise
page-vendor-011	Port Richmond Tile Depot	46-6366350	7939 Roosevelt Avenue Philadelphia PA	3772.25	0.00	-3772.25	noise
page-vendor-012	Grays Ferry Industrial Supply	26-1666892	4810 Allegheny Avenue Philadelphia PA	1337.25	6037.44	4700.19	noise
page-vendor-013	Point Breeze Welding Co	23-1742619	4595 Frankford Avenue Philadelphia PA	3134.88	0.00	-3134.88	noise
page-vendor-014	Fishtown Tool Exchange	23-4604875	8511 Aramingo Avenue Philadelphia PA	59.03	369.28	310.25	noise
page-vendor-015	Kensington Iron Works	81-3232158	4959 Spring Garden Avenue Philadelphia PA	1697.37	4124.67	2427.30	noise
page-vendor-016	Roxborough Sand and Gravel	47-7194871	5790 Cottman Avenue Philadelphia PA	2668.31	1398.02	-1270.29	noise
page-vendor-017	South Philly Plumbing Parts	82-9983369	2892 Spring Garden Avenue Philadelphia PA	287.66	1779.02	1491.36	noise
page-vendor-018	West Philly Roofing Supply	26-2246788	2080 Stenton Avenue Philadelphia PA	1783.92	0.00	-1783.92	noise
page-vendor-019	Center City Electrical Wholesale	26-7936441	8068 Roosevelt Avenue Philadelphia PA	2943.01	2249.41	-693.60	noise
page-vendor-020	Strawberry Mansion Concrete	81-2376922	8116 Stenton Avenue Philadelphia PA	4204.23	817.76	-3386.47	noise
page-vendor-021	Bella Vista Glass Supply	47-2104484	8458 Lehigh Avenue Philadelphia PA	240.15	0.00	-240.15	noise
page-vendor-022	Spring Garden Insulation	47-3872462	7260 Cottman Avenue Philadelphia PA	162.63	2365.32	2202.69	noise
page-vendor-023	Pennsport Drain Supply	47-4934997	6820 Cottman Avenue Philadelphia PA	3260.23	3091.84	-168.39	noise
page-vendor-024	Olde Kensington Pipe Yard	85-9889812	8724 Aramingo Avenue Philadelphia PA	524.31	0.00	-524.31	noise
page-vendor-025	East Falls Material Supply	27-3018770	1189 Ridge Avenue Philadelphia PA	786.52	1971.67	1185.15	noise
page-vendor-026	Mantua Construction Goods	27-7653387	8770 Cheltenham Avenue Philadelphia PA	3698.65	720.13	-2978.52	noise
page-vendor-027	Wynnefield Plumbing Wholesale	81-7948744	8297 Cheltenham Avenue Philadelphia PA	342.49	0.00	-342.49	noise
page-vendor-028	Tioga Heating Parts	47-7480211	2694 Lehigh Avenue Philadelphia PA	3603.95	1103.47	-2500.48	noise
page-vendor-029	Logan Pump and Motor	85-7972229	7745 Kelly Avenue Philadelphia PA	2146.03	370.97	-1775.06	noise
page-vendor-030	Rittenhouse Hardware Plus	26-3241731	9417 Allegheny Avenue Philadelphia PA	2810.44	6569.40	3758.96	noise
page-vendor-031	Bridesburg Welding Equipment	85-5556427	2492 Lehigh Avenue Philadelphia PA	1788.13	4185.30	2397.17	noise
page-vendor-032	Society Hill Trim Supply	47-5069830	5704 Aramingo Avenue Philadelphia PA	1504.59	6666.56	5161.97	noise
page-vendor-033	Queen Village Lumber Co	81-4282382	4279 Allegheny Avenue Philadelphia PA	1403.59	1092.10	-311.49	noise
page-vendor-034	Northern Industries Group	45-9781830	1653 Spring Garden Avenue Philadelphia PA	3206.97	950.76	-2256.21	noise
page-vendor-035	Kensington Casting Works	81-1346370	5813 Spring Garden Avenue Philadelphia PA	1845.41	786.10	-1059.31	noise
page-vendor-036	Aramingo Auto Parts	47-9783378	1939 Kelly Avenue Philadelphia PA	2282.57	4397.97	2115.40	noise
page-vendor-037	Hunting Park Hardware	45-3423396	1358 Frankford Avenue Philadelphia PA	759.28	0.00	-759.28	noise
page-vendor-038	Crescentville Building Supply	81-8004397	3232 Kelly Avenue Philadelphia PA	1028.55	4259.76	3231.21	noise
page-vendor-039	Belmont Plumbing Goods	47-6197826	6749 Girard Avenue Philadelphia PA	541.01	2032.11	1491.10	noise
page-vendor-040	Tacony Tool Rental	82-9586758	3455 Henry Avenue Philadelphia PA	3674.90	12194.12	8519.22	noise
page-vendor-041	Brewery Town Pipe Outlet	45-5011011	3586 Ridge Avenue Philadelphia PA	767.87	7865.13	7097.26	noise
