Item	Unit	Aldi_Price	Walmart_Price	Cheaper_At	Notes
Brown rice	2 lb bag	1.69	1.94	Aldi	Buy two for meal prep
Chicken thighs	per lb	1.29	1.47	Aldi	Bone in, freeze half
Collard greens	bunch	1.45	1.68	Aldi	Fresh, not bagged
Turkey bacon	12 oz	2.79	2.64	Walmart	For the greens
Cornmeal	5 lb	2.99	3.12	Aldi	Lasts a month
Yellow onions	3 lb bag	1.89	2.18	Aldi	
Eggs	dozen	2.34	2.12	Walmart	Price swings weekly
Black beans	15 oz can	0.69	0.74	Aldi	Stock up
Garlic	3 pack	1.05	0.98	Walmart	
Vegetable oil	48 oz	3.19	3.34	Aldi	For frying chicken
Oxtail	per lb	6.49	5.98	Walmart	Splurge, special weekend
Bell peppers	each	0.79	0.68	Walmart	
Hot sauce	12 oz	1.59	1.42	Walmart	Mabel uses the red kind
Cornbread mix	6 oz box	0.55	0.62	Aldi	Backup for scratch days
Whole chicken	per lb	1.19	1.27	Aldi	Best value protein
